Month|Views of page Andrew Napolitano|Views of page Glenn Beck|Views of page Joe Scarborough|Views of page John Stossel|Views of page Keith Olbermann|Views of page Rachel Maddow|Views of page Rush Limbaugh|Views of page Sean Hannity|Total|Percentage
201608|7297|29295|47412|5594|17521|24420|29726|39711|200976|0.6
201607|6635|22143|19877|4695|19810|24153|26910|32113|156336|0.5
201606|10462|20854|21773|5886|12331|21000|20931|14614|127851|0.4
201605|9993|36418|17500|9421|12691|25973|23644|16609|152249|0.4
201604|12222|22111|17629|18566|15419|25860|23806|18257|153870|0.5
201603|16352|34683|20014|6905|21570|43004|29691|22169|194388|0.6
201602|9946|35072|30467|6396|15378|42437|30089|16176|185961|0.5
201601|7041|38191|17566|5423|13270|23847|26760|14648|146746|0.4
201512|4747|34493|13821|5148|11894|19926|27947|15037|133013|0.4
201511|4479|27663|10431|5871|16961|32126|27947|12903|138381|0.4
201510|5107|26612|11733|8128|14086|28354|24525|14201|132746|0.4
201509|6764|29010|9969|7385|12957|22427|24147|12616|125275|0.4
201508|6171|33955|11739|7404|14766|28732|24947|17940|145654|0.4
201507|15869|26149|9638|8656|29633|24212|25833|15743|155733|0.5
201506|10647|27083|7406|7466|11303|21646|23817|14504|123872|0.4
201505|4340|26323|8145|8230|12342|16817|28456|16223|120876|0.4
201504|5641|35664|9978|10471|12402|18815|26800|15680|135451|0.4
201503|6185|35391|10023|10625|15487|23651|27708|17989|147059|0.4
201502|5068|29842|9062|8112|46610|18908|26396|17833|161831|0.5
201501|5077|32204|6364|8660|21356|20496|30213|18641|143011|0.4
201412|11548|31493|18711|8241|14320|19618|41226|20931|166088|0.5
201411|5629|48477|10706|6832|14056|26287|33121|17051|162159|0.5
201410|4922|38676|9677|8120|17518|23833|34980|22382|160108|0.5
201409|5468|33840|13035|8113|41176|26301|37009|25860|190802|0.6
201408|4726|40984|13919|11275|21095|25137|38716|49154|205006|0.6
201407|7724|41341|11395|10259|23597|23840|33766|28789|180711|0.5
201406|6785|38098|15527|9378|17315|21552|29418|16906|154979|0.5
201405|5776|37900|15651|10270|15308|24210|41409|19335|169859|0.5
201404|9243|45115|14430|11523|20003|29884|44832|32183|207213|0.6
201403|24409|41200|25377|13931|16665|45431|42000|22297|231310|0.7
201402|11014|37405|17299|16262|16997|43131|36442|26135|204685|0.6
201401|11014|48008|15607|15597|19934|38440|44196|34864|227660|0.7
201312|8526|47144|11181|14723|18464|27702|52036|21299|201075|0.6
201311|22294|40032|32335|14090|21289|55124|43705|22868|251737|0.7
201310|7202|43654|28581|12405|29346|37973|41868|27861|228890|0.7
201309|6916|37624|10197|10050|31194|21789|37732|20641|176143|0.5
201308|6850|46345|14323|11199|41750|26404|58097|39799|244767|0.7
201307|11698|39837|12706|12033|36776|32792|56116|25644|227602|0.7
201306|10716|75351|14263|13477|24851|38808|45403|20247|243116|0.7
201305|10865|59398|14024|12567|21474|43770|51340|22894|236332|0.7
201304|13876|88856|19801|13967|22222|68137|50096|27972|304927|0.9
201303|11088|62133|26297|18174|33438|107854|63326|34782|357092|1
201302|11542|87967|22677|16038|25889|49046|58000|29326|300485|0.9
201301|15176|85261|32413|17254|36927|70838|74727|38410|371006|1.1
201212|10284|61650|41159|16531|25814|60742|60271|30452|306903|0.9
201211|34778|107620|54058|19154|40522|189240|113690|82667|641729|1.9
201210|10162|89216|35983|17301|44113|134787|91011|59860|482433|1.4
201209|7608|76668|52023|16232|41658|115070|89977|42622|441858|1.3
201208|8611|58100|22458|15779|38539|90925|73907|35136|343455|1
201207|7882|61054|14485|18917|39511|60402|88076|29009|319336|0.9
201206|11108|59361|14827|20595|31705|55253|61880|29223|283952|0.8
201205|11387|51588|18967|25069|33954|63821|78297|29470|312553|0.9
201204|12799|59861|20773|25435|86610|86897|67370|35258|395003|1.2
201203|16799|72428|20196|16476|54294|105435|489892|33914|809434|2.4
