Month|Views of page Andrew Napolitano|Views of page Glenn Beck|Views of page Joe Scarborough|Views of page John Stossel|Views of page Keith Olbermann|Views of page Rachel Maddow|Views of page Rush Limbaugh|Views of page Sean Hannity|Total|Percentage
201608|648|1467|991|1367|946|900|1330|1462|9111|6.1
201607|576|1477|892|1708|1193|1737|1762|1990|11335|7.6
201606|693|2206|719|2517|1184|811|1451|1219|10800|7.3
201605|771|1983|606|3297|1112|807|1457|1251|11284|7.6
201604|820|3774|1003|3546|2050|1561|4912|3178|20844|14.1
201603|647|2979|690|2188|1456|1314|1753|1590|12617|8.5
201602|706|3445|610|1203|1152|1145|1710|1433|11404|7.7
201601|524|3635|985|1371|972|975|2044|1033|11539|7.8
201512|534|4346|706|971|917|722|1858|968|11022|7.4
201511|409|3788|655|760|840|1682|1884|889|10907|7.4
201510|370|960|704|1074|812|649|1263|811|6643|4.5
201509|368|1015|399|977|908|442|883|806|5798|3.9
201508|341|1663|581|1058|514|511|830|457|5955|4
201507|544|1291|502|2220|1266|964|1504|749|9040|6.1
201506|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0
Total|7951|34029|10043|24257|15322|14220|24641|17836|148299|100
Percentage|5.4|22.9|6.8|16.4|10.3|9.6|16.6|12|100
