Month|Views of page Andrew Napolitano|Views of page Glenn Beck|Views of page Joe Scarborough|Views of page John Stossel|Views of page Keith Olbermann|Views of page Rachel Maddow|Views of page Rush Limbaugh|Views of page Sean Hannity|Total|Percentage
201608|6697|33390|47599|5265|21044|40772|35205|43557|233529|10
201607|5579|24593|30988|4911|22700|47473|34430|42904|213578|9.1
201606|8326|20834|22988|5343|14307|35538|22560|20486|150382|6.4
201605|8956|30074|17767|11511|12333|40695|22860|19815|164011|7
201604|8448|20469|18603|12997|15189|41975|24314|23525|165520|7.1
201603|13414|31108|20919|5165|21748|65344|33096|34771|225565|9.6
201602|10320|31171|32639|5922|14558|67852|30870|21106|214438|9.2
201601|5662|48744|19715|5057|12193|28880|30888|18158|169297|7.2
201512|4044|29424|12122|3553|10496|20022|29840|17761|127262|5.4
201511|4448|25083|9982|3859|17077|41342|30364|13158|145313|6.2
201510|0|19157|14327|6555|11929|34043|22497|14850|123358|5.3
201509|487|27528|11654|5142|10695|26512|21255|13235|116508|5
201508|5528|33172|12654|6012|11347|41504|28579|19412|158208|6.8
201507|11473|21308|8810|5509|24841|27157|22747|14281|136126|5.8
201506|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0
Total|93382|396055|280767|86801|220457|559109|389505|3170192343095|100
Percentage|4|16.9|12|3.7|9.4|23.9|16.6|13.5|100
