Month|Views of page Andrew Napolitano|Views of page Glenn Beck|Views of page Joe Scarborough|Views of page John Stossel|Views of page Keith Olbermann|Views of page Rachel Maddow|Views of page Rush Limbaugh|Views of page Sean Hannity|Total|Percentage
201608|254|1213|1727|207|871|1458|1497|1671|8898|10.9
201607|155|895|920|187|775|1664|1270|1432|7298|9
201606|242|827|755|195|599|1300|907|640|5465|6.7
201605|286|1201|534|356|494|1555|989|663|6078|7.5
201604|195|706|555|400|636|1255|828|638|5213|6.4
201603|403|1079|583|250|814|2228|1189|927|7473|9.2
201602|242|1092|931|214|543|2057|1070|599|6748|8.3
201601|141|1409|585|136|501|892|1136|499|5299|6.5
201512|79|787|343|97|436|673|1040|488|3943|4.9
201511|88|769|272|122|707|1433|1158|444|4993|6.1
201510|80|623|388|183|496|1214|839|435|4258|5.2
201509|129|880|298|164|491|883|873|388|4106|5.1
201508|145|1257|393|212|635|1592|1276|640|6150|7.6
201507|318|765|322|166|1273|1016|931|567|5358|6.6
201506|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0
Total|2757|13503|8606|2889|9271|19220|15003|1003181280|100
Percentage|3.4|16.6|10.6|3.6|11.4|23.6|18.5|12.3|100
