Month|Views of page Andrew Napolitano|Views of page Glenn Beck|Views of page Joe Scarborough|Views of page John Stossel|Views of page Keith Olbermann|Views of page Rachel Maddow|Views of page Rush Limbaugh|Views of page Sean Hannity|Total|Percentage
201608|46|117|90|43|87|116|154|116|769|7.8
201607|66|107|63|34|56|127|97|117|667|6.8
201606|67|140|79|39|80|111|97|62|675|6.9
201605|51|117|67|58|62|106|102|54|617|6.3
201604|81|132|59|68|118|115|165|86|824|8.4
201603|64|270|67|50|89|108|147|115|910|9.3
201602|59|120|72|54|59|156|98|66|684|7
201601|54|196|75|49|73|97|146|73|763|7.8
201512|51|116|76|50|66|73|117|60|609|6.2
201511|66|158|56|47|81|115|111|78|712|7.3
201510|57|134|69|56|68|106|110|71|671|6.8
201509|74|116|60|45|62|98|110|67|632|6.4
201508|49|106|49|42|57|100|90|78|571|5.8
201507|51|139|44|39|114|101|85|125|698|7.1
201506|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0
Total|836|1968|926|674|1072|1529|1629|1168|9802|100
Percentage|8.5|20.1|9.4|6.9|10.9|15.6|16.6|11.9|100
