Month|Views of page Abidjan|Views of page Addis Ababa|Views of page Ahmedabad|Views of page Alexandria|Views of page Ankara|Views of page Austin, Texas|Views of page Baghdad|Views of page Bangalore|Views of page Bangkok|Views of page Beihai|Views of page Beijing|Views of page Berkeley, California|Views of page Berlin|Views of page Boston|Views of page Buenos Aires|Views of page Busan|Views of page Cairo|Views of page Cape Town|Views of page Casablanca|Views of page Changchun|Views of page Changsha|Views of page Charlotte, North Carolina|Views of page Chengdu|Views of page Chennai|Views of page Chicago|Views of page Chongqing|Views of page Columbus, Ohio|Views of page Dalian|Views of page Dallas|Views of page Dar es Salaam|Views of page Delhi|Views of page Denver|Views of page Detroit|Views of page Dhaka|Views of page Dongguan|Views of page Durban|Views of page Ekurhuleni|Views of page El Paso, Texas|Views of page Faisalabad|Views of page Fort Worth, Texas|Views of page Foshan|Views of page Frankfurt|Views of page Fuzhou|Views of page Giza|Views of page Guangzhou|Views of page Guiyang|Views of page Haikou|Views of page Hangzhou|Views of page Hanoi|Views of page Harbin|Views of page Hefei|Views of page Ho Chi Minh City|Views of page Houston|Views of page Huhhot|Views of page Hyderabad|Views of page Indianopolis|Views of page Istanbul|Views of page Jacksonville, Florida|Views of page Jaipur|Views of page Jakarta|Views of page Jeddah|Views of page Jinan|Views of page Johannesburg|Views of page Kabul|Views of page Kanpur|Views of page Karachi|Views of page Kolkata|Views of page Kunming|Views of page Lagos|Views of page Lahore|Views of page Lanzhou|Views of page Lima|Views of page London|Views of page Los Angeles|Views of page Madrid|Views of page Manila|Views of page Memphis, Tennessee|Views of page Mexico City|Views of page Moscow|Views of page Mumbai|Views of page Nairobi|Views of page Nanchang|Views of page Nanjing|Views of page Nanning|Views of page New Taipei City|Views of page New York City|Views of page Ningbo|Views of page Oakland, California|Views of page Paris|Views of page Peshawar|Views of page Philadelphia|Views of page Phoenix, Arizona|Views of page Pune|Views of page Pyongyang|Views of page Qingdao|Views of page Quanzhou|Views of page Rawalpindi|Views of page Rio de Janeiro|Views of page Riyadh|Views of page Saint Petersburg|Views of page San Antonio|Views of page San Diego|Views of page San Francisco|Views of page San Jose, California|Views of page Santiago|Views of page Sanya|Views of page São Paulo|Views of page Seattle|Views of page Seoul|Views of page Shanghai|Views of page Shantou|Views of page Shenyang|Views of page Shenzhen|Views of page Shijiazhuang|Views of page Singapore|Views of page Surat|Views of page Suzhou|Views of page Taiyuan|Views of page Tehran|Views of page Tianjin|Views of page Tokyo|Views of page Urumqi|Views of page Washington, D.C.|Views of page Wenzhou|Views of page Wuhan|Views of page Wuxi|Views of page Xiamen|Views of page Yangon|Views of page Yinchuan|Views of page Yokohama|Views of page Zhengzhou|Views of page Zhongshan|Views of page Zunyi|Total|Percentage
201608|1417|1905|1727|3797|2802|3939|3078|4874|4334|443|8853|1631|9484|9155|5193|1857|5217|7206|2051|1151|1351|2632|2385|7640|12997|2596|3097|1637|6545|1658|6212|4468|5180|3455|1623|1969|132|2622|1530|2051|1279|4715|1214|927|4008|729|862|2611|2039|1866|866|2359|8304|62|4516|10|8242|2781|1995|10818|1726|1844|5245|2471|1704|4077|6259|1615|2598|3786|816|2619|23946|12463|6799|4473|2591|4903|8100|6563|4295|956|2735|771|641|19007|1181|2637|16706|1651|11829|4722|2997|2073|1961|1204|1200|14581|2290|4746|2644|4263|15287|2491|1942|1136|3963|6020|4662|6446|994|1763|3128|1021|14774|2155|1749|955|3464|3143|7362|320|7570|1429|2209|1264|1989|1506|649|1898|1563|1200|461|526298|3.4
201607|1357|2031|1815|3656|3087|3741|4826|3685|4110|486|6365|1751|7392|6565|4612|1812|4867|5425|1856|1126|1434|2576|1992|5321|10078|2332|2491|1338|6911|1446|4993|3994|4327|3281|1214|2135|128|2150|2084|2352|1015|3123|1312|1065|4330|724|838|2103|2670|1598|815|2714|7027|74|3763|8|5198|2729|2087|8909|1919|1223|2658|3761|1486|3428|3757|1690|3587|2720|933|3075|23289|13215|5085|4284|2226|4804|6445|5622|4096|866|2419|896|650|18132|1219|3299|15424|1548|12189|5196|3195|2073|1981|1081|1087|5472|2130|4169|2966|7385|13980|3132|2134|903|3166|5412|4311|5666|872|1777|2775|1129|25872|2194|1871|876|2581|2829|4849|316|8393|1004|2076|1204|1500|1383|641|1852|1255|922|449|485248|3.2
201606|1462|2563|2996|6287|3262|3545|5021|4525|8091|549|9827|1855|12259|10145|4699|2162|7169|5082|2196|2625|1406|2938|3958|6663|17081|4043|2574|1604|7716|1722|8267|4936|7863|4280|1745|2565|148|2948|3188|3101|1449|3966|1391|1274|4650|804|988|2550|3849|1995|970|2894|7509|60|4416|12|10564|2854|3076|9738|2034|1542|3561|3071|2350|5498|5051|2563|2942|3562|1057|4805|36383|13986|6256|5956|3383|2356483|10564|9549|5655|1120|4015|985|826|22531|1577|4520|22290|1976|17223|6111|3837|2107|2181|1384|1520|5449|2707|5004|4116|5221|16158|4456|2775|1069|3501|7618|5874|10135|977|2971|3817|1252|13924|2135|2463|1143|4379|3681|9826|293|10216|1391|3563|1365|1690|3892|666|2838|2507|1169|562|2981332|19.5
201605|1455|2343|2239|5418|2883|4367|4446|4698|4129|446|7699|2411|10251|9026|4932|1789|6571|5113|2598|1349|1245|3223|2015|4958|14170|2116|2779|1233|6285|1462|7698|5368|7407|3634|1247|1810|150|3003|1818|2380|1267|2813|995|945|3787|536|713|1678|2269|1492|778|2607|6603|72|3731|14|5295|3020|2024|9987|1942|1072|4013|2142|1780|5265|3778|1073|2735|3894|783|4179|27355|13200|6832|5852|2473|1868656|7055|7385|5015|874|2284|701|745|20502|996|4099|17623|1563|12329|5444|2680|1682|1581|990|1496|5102|2470|4322|3533|5529|16333|4139|2944|979|4117|7274|5447|6541|810|1661|3100|979|11540|1505|2062|1044|2805|2810|8978|290|10124|1278|2596|1286|1694|1450|699|1988|2104|1174|536|2392101|15.7
201604|11582|10111|10482|27170|16260|34566|26657|31174|28798|850|73116|15991|114707|114459|52450|13115|36123|32115|10560|3446|4940|20147|8910|40629|170669|10442|24048|5363|48310|6671|39395|41106|59823|16422|2386|15514|121|12440|4649|18112|2455|28909|4323|2705|22350|1549|2001|7971|12415|5585|2647|14363|58482|80|24903|12|46422|20919|9652|30824|7392|3373|27516|14949|6147|27409|45035|4094|12880|25129|2434|18594|346375|209710|56707|33029|27880|51746|93204|63446|18926|2599|15082|2208|2846|330640|4200|26763|204581|9353|127672|28924|20176|7313|6840|2577|6643|46568|8453|72113|29597|57753|123146|19794|20534|2377|31137|65519|40848|43252|2215|5715|10254|4201|93319|5666|6022|4141|26958|11269|69325|241|161027|2632|7115|2960|4321|9611|1472|13005|3820|2099|863|4416130|28.9
201603|1604|2058|2237|8567|4760|4253|3461|3911|3823|527|9401|2164|13907|12915|7577|1444|7108|5425|1951|1172|1107|3120|2396|6116|17735|2461|2896|1482|9488|1232|7582|7905|7805|3153|1487|1839|133|2391|1175|3228|1332|3935|1219|808|3119|684|806|1860|2601|1701|963|3103|10725|78|3381|11|8511|4904|2184|10151|1783|1063|3779|1912|1310|4319|3273|1372|2511|3985|705|4124|31130|14613|6124|5309|3294|5808|12494|7158|3997|806|2591|702|630|25753|977|3192|22837|1522|14888|8775|3311|2145|1555|997|1102|8250|2234|5084|4024|7783|18856|3248|2408|972|5663|9521|5966|8409|817|1559|2776|699|16282|1965|1761|864|3240|2691|7651|280|9995|958|2171|1445|1661|1857|548|1539|1217|937|486|602735|3.9
201602|1272|2194|2466|7683|5603|3480|3779|3850|4696|437|8122|1975|18210|12403|5573|1273|7763|4902|1506|841|832|2974|2162|5958|14872|2053|2824|1238|8434|1490|8597|7235|8070|2665|1094|1834|247|2611|1412|2227|1044|5334|1212|918|4301|451|691|1905|3071|1452|781|2927|9767|106|4054|18|5207|5707|2230|10649|1763|790|4143|1932|1205|7175|3335|1156|4229|3288|585|5454|32771|13905|6350|5232|2900|5227|14153|7523|4458|654|3093|545|790|24329|816|2870|26728|1740|15451|6833|2940|1785|1318|892|1007|5439|2338|4783|3758|5130|18005|2942|2875|722|5000|8208|5147|7884|610|1385|3062|727|17516|2724|1629|684|3223|2542|7978|368|8831|741|1714|880|1095|1308|500|1599|704|642|371|591111|3.9
201601|1570|3098|2204|7779|3076|4431|3058|5251|3893|465|7949|2243|13275|11655|5820|1497|6575|4340|1704|1051|1062|3253|2127|5512|12236|1953|3748|1368|6711|1555|9053|7196|7515|3582|1125|1914|125|3178|2874|3336|836|5058|928|847|3279|613|660|2447|2545|2090|765|2681|8273|96|3664|13|6757|5768|2196|12982|2339|856|3446|1796|1327|4482|3983|1165|3148|3092|662|4052|26164|14668|6696|5250|3812|6011|10218|7019|3628|696|4577|597|671|23372|786|3681|24262|2298|16446|6981|3301|2334|1276|744|1027|12760|2750|5195|3979|7134|20698|3489|2146|843|10832|8308|4925|5441|670|1251|3327|715|13267|2194|1282|663|3434|2424|6579|286|11071|693|1478|815|1539|1693|646|1374|709|592|387|585307|3.8
201512|1418|2122|1926|6003|3357|6305|3747|4601|3830|457|9067|3142|11347|10273|5887|1461|8634|4441|1787|1058|958|3012|2221|6307|15846|2158|3097|1623|6553|1488|5917|5733|7917|3130|1190|1921|147|2304|2132|2939|916|5125|1032|1432|2706|575|764|1830|2446|1509|886|2471|7042|107|3079|14|5417|6598|2061|12275|1895|812|3214|2420|1300|3888|3501|1141|2761|3432|769|3442|29663|11265|6147|4397|3427|5226|10513|6200|4169|580|2216|642|594|24156|777|3046|30653|1708|20294|6661|2546|1698|1619|735|1238|11715|2662|4187|3288|4973|18040|5483|2378|941|10929|9782|37052|6248|729|1406|3693|677|22694|1657|1238|674|3536|2322|6393|315|9500|902|1654|720|1108|1565|601|1386|881|705|346|616866|4
201511|1135|2084|1669|5248|2663|3862|2997|3337|4699|361|6574|3329|10036|10701|5201|1113|5183|3628|1283|708|817|2269|1599|3738|10572|1494|2626|1268|5327|916|5326|4813|5505|2842|823|1331|97|1809|1309|2911|693|4111|790|663|2203|452|538|1363|1990|1279|663|2394|6346|75|2705|10|4021|4164|1691|10789|1725|788|4682|2305|1038|2675|2856|792|1865|3536|438|2713|30190|9657|4920|3622|2095|5138|7301|6161|3296|482|1731|410|475|25629|657|2456|32738|1679|15429|5009|2386|1368|1392|557|1053|7350|2834|3354|2756|3377|17152|4395|1826|820|6732|8032|37964|5747|752|1290|1970|611|18121|1363|1201|452|2723|1900|6232|227|8259|650|1111|634|1697|1200|363|1060|560|663|266|527031|3.4
