Month|Views of page Abidjan|Views of page Addis Ababa|Views of page Ahmedabad|Views of page Alexandria|Views of page Ankara|Views of page Austin, Texas|Views of page Baghdad|Views of page Bangalore|Views of page Bangkok|Views of page Beihai|Views of page Beijing|Views of page Berkeley, California|Views of page Berlin|Views of page Boston|Views of page Buenos Aires|Views of page Busan|Views of page Cairo|Views of page Cape Town|Views of page Casablanca|Views of page Changchun|Views of page Changsha|Views of page Charlotte, North Carolina|Views of page Chengdu|Views of page Chennai|Views of page Chicago|Views of page Chongqing|Views of page Columbus, Ohio|Views of page Dalian|Views of page Dallas|Views of page Dar es Salaam|Views of page Delhi|Views of page Denver|Views of page Detroit|Views of page Dhaka|Views of page Dongguan|Views of page Durban|Views of page Ekurhuleni|Views of page El Paso, Texas|Views of page Faisalabad|Views of page Fort Worth, Texas|Views of page Foshan|Views of page Frankfurt|Views of page Fuzhou|Views of page Giza|Views of page Guangzhou|Views of page Guiyang|Views of page Haikou|Views of page Hangzhou|Views of page Hanoi|Views of page Harbin|Views of page Hefei|Views of page Ho Chi Minh City|Views of page Houston|Views of page Huhhot|Views of page Hyderabad|Views of page Indianopolis|Views of page Istanbul|Views of page Jacksonville, Florida|Views of page Jaipur|Views of page Jakarta|Views of page Jeddah|Views of page Jinan|Views of page Johannesburg|Views of page Kabul|Views of page Kanpur|Views of page Karachi|Views of page Kolkata|Views of page Kunming|Views of page Lagos|Views of page Lahore|Views of page Lanzhou|Views of page Lima|Views of page London|Views of page Los Angeles|Views of page Madrid|Views of page Manila|Views of page Memphis, Tennessee|Views of page Mexico City|Views of page Moscow|Views of page Mumbai|Views of page Nairobi|Views of page Nanchang|Views of page Nanjing|Views of page Nanning|Views of page New Taipei City|Views of page New York City|Views of page Ningbo|Views of page Oakland, California|Views of page Paris|Views of page Peshawar|Views of page Philadelphia|Views of page Phoenix, Arizona|Views of page Pune|Views of page Pyongyang|Views of page Qingdao|Views of page Quanzhou|Views of page Rawalpindi|Views of page Rio de Janeiro|Views of page Riyadh|Views of page Saint Petersburg|Views of page San Antonio|Views of page San Diego|Views of page San Francisco|Views of page San Jose, California|Views of page Santiago|Views of page Sanya|Views of page São Paulo|Views of page Seattle|Views of page Seoul|Views of page Shanghai|Views of page Shantou|Views of page Shenyang|Views of page Shenzhen|Views of page Shijiazhuang|Views of page Singapore|Views of page Surat|Views of page Suzhou|Views of page Taiyuan|Views of page Tehran|Views of page Tianjin|Views of page Tokyo|Views of page Urumqi|Views of page Washington, D.C.|Views of page Wenzhou|Views of page Wuhan|Views of page Wuxi|Views of page Xiamen|Views of page Yangon|Views of page Yinchuan|Views of page Yokohama|Views of page Zhengzhou|Views of page Zhongshan|Views of page Zunyi|Total|Percentage
201608|7825|25068|24807|20437|14551|49627|19687|65602|43850|494|66076|14545|58533|72749|35885|13893|21699|41943|29069|2786|4668|46458|11862|57012|117359|13709|35874|5801|44361|16445|73329|58883|62875|27078|3927|25280|239|26827|7911|16401|3605|26605|3397|4847|30758|1590|1735|13820|17906|7085|1995|27617|59715|43|55680|3|56531|32878|28572|35505|18167|3078|41121|17573|16082|48267|58707|5109|33350|31250|1992|21146|169422|161519|40608|32012|33216|64020|48545|119912|25753|1721|12185|2513|4150|243087|3749|27703|83849|12723|73252|44009|35345|27263|7539|2052|9580|684740|23268|47995|32177|50993|101420|28511|0|2826|84946|85596|46304|50627|1883|5379|17332|1920|271904|19523|6485|1582|24986|12185|102345|577|146123|2824|7817|2254|6123|16315|1358|10457|3947|1643|484|5181730|8.1
201607|7654|24203|34474|20221|35621|53234|38346|81843|50084|525|46927|13843|58313|76895|30042|11591|21858|36523|25024|2668|4259|51068|12056|68643|120802|13549|36997|6414|83616|16928|90887|60076|63188|51572|3612|20700|136|26595|8015|18102|4419|30472|3293|4008|30303|1552|1738|12129|17837|7047|2190|28594|63112|50|65345|6|95257|33419|37781|42650|20382|4161|36881|23736|20960|45773|73148|5105|30923|31177|2091|17663|171919|155625|54673|33269|36158|57996|45548|139041|27009|1793|11868|2364|4157|238872|3743|31649|102781|11743|88886|46950|46052|16149|7307|2507|9358|128556|25263|48546|36312|59793|99745|29526|15327|3153|32625|87725|37270|51426|1877|5220|17374|1834|213158|24076|6261|1618|24109|10707|65963|624|158061|2573|8072|2103|6028|15622|1444|10164|3344|1565|403|4805190|7.5
201606|7753|22913|42520|19993|17384|51297|20794|91792|49751|597|43117|17387|56030|68957|34790|11176|22258|35799|23385|2426|3976|47583|11274|72404|114864|12887|36623|5720|44297|14547|104360|55063|56367|26612|3944|17801|144|24948|7729|17040|3904|30331|3445|4017|28555|1301|1470|9522|17070|6633|1988|27200|63448|25|72996|1|106551|33182|44683|36935|18469|2834|36454|15415|24563|43971|82068|5403|31339|27855|2331|19470|208818|153012|47292|33421|36623|60702|44955|149293|24342|1799|11286|2074|3455|219815|3598|67737|113556|10214|75039|54769|52898|14453|7165|1871|8027|78154|23722|50060|35186|51350|103128|45923|18125|3085|30798|82538|38004|52476|1807|4642|16900|1673|220681|27469|6437|1519|22600|10035|62352|560|177667|2925|7087|2262|5859|16109|1302|9675|3124|1602|373|4745154|7.4
201605|7232|25027|46445|25325|15149|56707|25608|101829|52901|641|46189|14701|58209|68817|31449|11745|28917|38418|27315|2784|3950|55530|12218|76233|119932|14017|34086|5548|47312|14798|103352|56002|60829|28061|3602|19539|182|27878|7383|19161|3943|28215|3459|4319|30187|1322|1793|10134|22129|7117|2046|32827|65731|24|79993|4|66586|34870|43727|37063|18783|2838|39340|13796|28202|41144|84397|5404|45541|27743|2386|19581|208314|155028|56930|55556|39104|65534|46675|148193|24449|2023|13459|2164|3500|235839|3440|51558|106848|10571|76328|47272|52599|20954|7119|1954|8039|67016|23814|48763|39930|56428|104476|40505|15978|3046|33301|81447|37102|52439|1883|5084|21105|1718|211238|27862|6952|1574|25720|10336|70633|527|154713|2600|7682|2209|5793|16270|1408|10304|3591|1762|383|4838707|7.5
201604|7205|23031|32953|20362|14373|53394|20782|85229|52077|644|43156|14506|52575|68030|30901|10979|22546|35867|23396|2406|3715|51055|11368|71357|107429|13743|32247|6016|47569|13214|84034|50539|57656|26382|3571|18346|160|26094|6984|17670|4296|25940|3296|4072|30813|1264|1603|10004|19574|7591|1786|30040|72314|41|64508|1|62281|31639|33395|41890|18268|2468|35661|19815|18357|37197|82276|4910|31276|28197|1968|19723|176655|150903|45108|32056|41377|58984|40635|134676|22525|1421|12274|1995|3075|231967|12711|33613|96096|11135|76180|45378|47136|19518|6133|1750|7654|60948|26167|42856|38929|51928|93149|29135|16738|2872|30356|75401|35903|51236|1907|4491|17544|1708|200542|21865|6765|1470|23457|9619|69566|531|150847|2433|7277|2300|5806|15709|1143|10249|3418|1571|306|4437122|6.9
201603|9260|23412|33397|24965|34117|71780|22051|81214|47972|548|43337|14076|53828|73294|33040|11468|24024|39240|23877|2513|3708|49420|11000|64906|120710|12480|35773|5124|46981|14471|84658|54774|66094|30360|3916|20005|149|27435|7264|18107|4930|28045|3384|4480|29404|1164|1777|9678|19829|9074|2251|32468|64956|24|61822|4|79067|32692|37875|33833|18354|2490|34497|15584|18836|42803|76187|4974|30241|44367|1832|18336|180048|156858|40787|31024|39437|62957|45144|133550|23871|1501|12421|2104|3104|230576|3307|30435|97816|12371|75043|51955|41562|23172|6684|1743|9959|56822|24359|44729|39125|52910|97363|28756|18947|3017|35027|75073|36281|51137|2073|4754|16749|1491|209700|22079|6897|1467|22810|9252|68276|434|175744|2189|6640|2309|6255|17984|1051|10105|3132|1770|339|4584481|7.1
201602|7088|23183|36420|21733|27200|52167|21387|83606|47253|608|43046|13027|53223|67164|32551|9893|23720|37276|27627|2679|3601|59335|10115|65525|101543|12130|30438|4812|41946|13785|84131|64816|58523|28291|3549|17142|163|28769|6164|16078|3993|25999|3542|4829|31562|1336|1707|9853|19214|9656|1716|33745|59201|33|65330|1|67711|30730|48824|32773|20045|2473|34364|14283|18331|37707|67441|4800|31722|31304|1828|16749|169804|151105|36546|31494|34841|67754|43688|141057|22144|1504|14709|2007|3620|208691|3078|31952|91746|12112|75972|48423|46142|20440|6493|2069|7756|56308|24618|52632|33667|47968|98651|28711|17936|3035|30861|68004|33537|51769|2680|4680|15957|1543|204677|22888|6115|1422|24858|8865|66103|481|145043|2151|6710|1874|6107|19000|945|8880|3068|1497|345|4393242|6.8
201601|7966|27905|41694|22534|16738|56962|27612|91149|54649|674|45101|14408|55506|75402|38173|11211|26920|43410|26836|3021|4216|76243|11358|82484|116400|12578|33117|5427|46203|15062|95835|79728|71761|26235|4001|18455|247|32453|6879|18176|4850|28029|3662|4992|31627|1298|1806|9546|21639|12726|1902|37654|66018|33|74114|6|83333|37269|53664|70369|21910|2715|38823|17792|20923|42074|74822|5216|34257|33069|1797|20668|189770|166669|37508|34611|43429|68329|49027|154323|24941|1751|13092|2279|4406|241507|3401|42911|96278|17011|87290|57978|50563|27690|6619|1945|8872|62271|31843|65117|43976|56807|99706|31157|20064|3761|34348|81847|38629|52840|1892|5134|20327|1616|238632|24120|6178|1518|36555|9158|69239|497|191632|2440|6906|2248|6497|19159|1139|10574|3526|1630|396|5018911|7.8
201512|6725|27166|40396|20294|17787|49153|23256|91726|48660|542|47425|11921|51677|66993|33634|9345|22701|33987|27039|2341|4039|49111|10232|125351|108744|11907|29876|4806|43978|14262|92948|55983|60313|24220|3646|19779|134|48854|6423|16700|4049|25358|3323|4047|31104|1275|1786|8596|18412|9403|1628|33530|61041|33|66536|2|75054|32651|46310|35631|21341|2165|30410|18400|19585|44609|71861|5230|31453|31487|1688|17589|172140|142882|32980|31092|34504|58722|46979|150369|22889|1461|11110|2031|3179|223982|3224|34544|90078|14622|75494|46661|54285|16075|5708|1658|8484|48282|26774|43642|33424|48980|90016|27911|16756|6709|30155|72933|32476|48553|1784|4782|26700|1679|207789|23845|5332|1400|26937|8540|63868|513|129767|2307|6294|1951|5846|17411|1289|10786|3435|1439|249|4485368|7
201511|7035|29777|27300|21265|22651|48140|30607|79397|44653|594|39486|11912|51583|70420|32925|9712|25471|31505|23569|2622|3701|53514|10022|70204|106515|11919|32586|4718|42713|10469|79917|59378|62991|25220|3890|15292|145|22137|6393|16562|3312|24784|3481|5163|27919|1294|1587|9951|16917|7137|1618|32927|60519|29|61409|3|81646|33064|40354|33952|18858|2175|29098|15865|18251|42800|63144|5845|30944|28807|1524|18597|209255|129496|39026|35245|32660|59503|46847|138948|23373|1505|10556|2048|3495|219294|3533|36169|289698|11089|74147|42329|40829|14678|5813|1657|8109|48218|25616|47277|29348|47441|88366|26715|16822|4000|32405|73284|33096|53077|1794|5172|16334|1651|215844|22809|5971|1085|25858|8887|68237|534|132367|2344|6429|2114|5987|21008|912|9100|2967|1476|201|4535932|7.1
