Month|Views of page Abidjan|Views of page Addis Ababa|Views of page Ahmedabad|Views of page Alexandria|Views of page Ankara|Views of page Austin, Texas|Views of page Baghdad|Views of page Bangalore|Views of page Bangkok|Views of page Beihai|Views of page Beijing|Views of page Berkeley, California|Views of page Berlin|Views of page Boston|Views of page Buenos Aires|Views of page Busan|Views of page Cairo|Views of page Cape Town|Views of page Casablanca|Views of page Changchun|Views of page Changsha|Views of page Charlotte, North Carolina|Views of page Chengdu|Views of page Chennai|Views of page Chicago|Views of page Chongqing|Views of page Columbus, Ohio|Views of page Dalian|Views of page Dallas|Views of page Dar es Salaam|Views of page Delhi|Views of page Denver|Views of page Detroit|Views of page Dhaka|Views of page Dongguan|Views of page Durban|Views of page Ekurhuleni|Views of page El Paso, Texas|Views of page Faisalabad|Views of page Fort Worth, Texas|Views of page Foshan|Views of page Frankfurt|Views of page Fuzhou|Views of page Giza|Views of page Guangzhou|Views of page Guiyang|Views of page Haikou|Views of page Hangzhou|Views of page Hanoi|Views of page Harbin|Views of page Hefei|Views of page Ho Chi Minh City|Views of page Houston|Views of page Huhhot|Views of page Hyderabad|Views of page Indianopolis|Views of page Istanbul|Views of page Jacksonville, Florida|Views of page Jaipur|Views of page Jakarta|Views of page Jeddah|Views of page Jinan|Views of page Johannesburg|Views of page Kabul|Views of page Kanpur|Views of page Karachi|Views of page Kolkata|Views of page Kunming|Views of page Lagos|Views of page Lahore|Views of page Lanzhou|Views of page Lima|Views of page London|Views of page Los Angeles|Views of page Madrid|Views of page Manila|Views of page Memphis, Tennessee|Views of page Mexico City|Views of page Moscow|Views of page Mumbai|Views of page Nairobi|Views of page Nanchang|Views of page Nanjing|Views of page Nanning|Views of page New Taipei City|Views of page New York City|Views of page Ningbo|Views of page Oakland, California|Views of page Paris|Views of page Peshawar|Views of page Philadelphia|Views of page Phoenix, Arizona|Views of page Pune|Views of page Pyongyang|Views of page Qingdao|Views of page Quanzhou|Views of page Rawalpindi|Views of page Rio de Janeiro|Views of page Riyadh|Views of page Saint Petersburg|Views of page San Antonio|Views of page San Diego|Views of page San Francisco|Views of page San Jose, California|Views of page Santiago|Views of page Sanya|Views of page São Paulo|Views of page Seattle|Views of page Seoul|Views of page Shanghai|Views of page Shantou|Views of page Shenyang|Views of page Shenzhen|Views of page Shijiazhuang|Views of page Singapore|Views of page Surat|Views of page Suzhou|Views of page Taiyuan|Views of page Tehran|Views of page Tianjin|Views of page Tokyo|Views of page Urumqi|Views of page Washington, D.C.|Views of page Wenzhou|Views of page Wuhan|Views of page Wuxi|Views of page Xiamen|Views of page Yangon|Views of page Yinchuan|Views of page Yokohama|Views of page Zhengzhou|Views of page Zhongshan|Views of page Zunyi|Total|Percentage
201608|221|750|579|778|437|1870|713|1610|1557|21|2350|497|2903|3656|1463|533|718|1234|987|128|230|1553|511|1519|5268|631|1240|234|1656|466|2199|2579|2576|1061|96|601|2|957|203|565|145|1048|133|226|1107|84|63|590|648|338|83|1161|3129|1|1963|0|2565|1188|629|1069|516|113|1185|569|286|1375|2361|211|1046|783|119|761|7142|5795|1419|1036|1145|2473|2048|3324|796|69|650|98|159|8961|142|930|3268|255|3031|1807|971|1253|306|80|258|28790|598|2167|1146|2063|4780|990|656|85|4301|3936|1699|2305|59|241|752|72|10152|436|298|72|849|520|4380|20|5788|102|355|79|307|732|42|368|163|51|12|199429|8.6
201607|206|611|610|850|1831|2083|1688|1801|1478|23|2048|495|2888|3962|1174|418|741|1004|932|112|179|1745|522|1519|5466|642|1419|275|4344|500|2305|2730|2727|2506|93|554|2|999|227|715|159|1326|145|167|1148|77|72|565|594|313|77|1227|3114|2|1863|0|4713|1140|632|1129|591|200|1028|1078|316|1311|2470|183|885|828|114|656|7079|5694|1659|1052|1271|2200|1884|3509|778|65|694|85|146|9170|136|1066|4112|298|3634|1929|1002|774|316|89|240|3703|658|2114|1510|2432|4802|1070|654|76|1634|4081|1262|2299|54|249|672|86|7036|427|242|66|818|460|2956|25|6579|67|378|79|238|757|61|402|140|38|19|179573|7.7
201606|200|537|596|775|589|1828|651|1779|1399|14|1787|625|2655|3339|1255|380|656|1021|803|107|173|1445|499|1395|4848|577|1443|211|1717|429|2274|2313|2321|956|128|406|3|873|191|560|142|1286|118|165|1133|65|57|380|582|292|69|1170|2918|0|1798|0|4597|1088|670|1069|441|136|1013|521|251|1224|2413|205|912|701|107|738|8450|5469|1592|1127|1188|2355|1871|3367|678|68|700|68|106|8216|135|2285|4327|285|2923|2242|974|686|328|62|200|2201|534|2219|1262|1881|4922|2066|676|104|1599|3671|1189|2378|54|189|760|63|6984|462|262|56|811|417|2562|31|6403|124|264|82|235|730|43|377|135|43|14|165524|7.1
201605|185|598|659|1080|457|2005|1080|1926|1459|21|1822|498|2806|3505|1127|416|1128|1016|997|107|173|1938|568|1532|5034|637|1243|236|1733|444|2355|2285|2490|1086|121|470|2|1004|179|638|136|1138|142|150|1134|68|76|438|797|323|83|1504|2917|0|1919|0|2717|1168|602|1062|474|132|1081|421|375|1234|2458|231|1484|748|136|689|8959|5146|2015|1279|1291|2365|1797|3277|629|99|725|75|102|8192|138|1685|4150|285|3004|1835|914|1087|290|77|203|1760|562|2097|1482|2059|4644|1690|616|91|1455|3650|1358|2310|68|246|945|72|6855|397|293|69|867|437|2969|26|5939|100|311|120|257|771|69|392|141|46|15|167695|7.2
201604|174|506|541|744|388|1756|564|1514|1266|18|1456|479|1991|2974|954|352|660|928|637|80|133|1531|406|1336|3952|508|1008|203|1617|349|1758|1853|2151|709|93|388|4|861|139|465|129|821|90|113|960|64|55|352|519|247|61|1082|2847|1|1347|0|1950|915|468|981|419|105|876|860|191|936|2813|189|801|800|67|605|5477|4439|1343|957|1189|1765|1332|2786|481|54|576|72|94|7681|143|1052|2890|262|2758|1688|871|765|264|51|159|1340|658|1526|1341|1580|3609|969|537|67|1178|2942|1137|1934|56|142|584|62|5421|322|266|45|762|332|2482|26|5078|68|268|94|195|613|37|304|111|44|15|134404|5.8
201603|359|532|657|1054|1827|2609|724|1736|1330|23|1781|489|2643|3684|1164|363|827|1093|803|102|144|1489|453|1543|4795|592|1303|233|1739|358|1985|2163|2790|1060|123|455|4|960|155|585|198|1031|129|169|1129|62|58|374|676|342|146|1243|2821|0|1696|0|3348|1053|743|1054|454|97|992|503|264|1312|2590|177|896|1825|84|664|6541|5167|1407|950|1212|2414|1889|3392|598|82|597|67|106|8710|125|922|3621|327|3076|2026|799|1197|273|41|259|1441|614|1888|1434|1952|4203|998|666|101|1386|3527|1215|2194|59|210|671|68|6918|400|270|69|880|406|2785|25|6808|80|319|107|237|814|35|332|134|35|10|161948|7
201602|198|488|679|749|1967|1593|601|1848|1334|23|1635|448|2513|3589|1074|290|696|1066|858|97|125|2003|390|1466|3997|554|1012|202|1510|317|2085|2638|2253|936|111|378|12|958|158|505|131|886|103|193|1047|42|58|365|708|394|61|1165|2399|0|1997|0|2652|914|976|951|487|99|874|390|268|1011|2197|164|917|837|68|566|5766|5083|1173|961|1048|2369|1721|3342|516|68|656|73|156|7470|88|1093|3236|287|2827|1612|1002|1055|277|64|231|1548|568|2155|1182|1632|4355|990|560|78|990|3071|1131|2015|68|188|582|71|6308|391|222|61|798|348|2453|25|5351|58|241|66|227|868|36|294|103|42|18|147544|6.3
201601|201|597|744|834|498|1938|872|1986|1642|24|1757|495|2806|4286|1228|363|807|1307|910|108|135|2949|409|1944|4916|538|1169|228|1757|365|2330|2932|3002|1153|89|483|10|1090|162|611|164|1163|126|256|1086|41|89|343|706|487|78|1474|3034|1|2440|0|3743|1313|1108|2447|595|84|1128|511|256|1183|2805|210|937|880|73|698|6344|6433|1266|1007|1344|2567|1817|3810|567|47|615|80|235|9295|99|1515|3468|500|3636|2281|1205|1462|279|52|232|1718|988|2951|1709|2070|4918|1065|625|116|1055|3962|1370|2048|52|226|994|89|7235|450|238|51|1387|413|2931|26|7608|63|268|89|259|869|43|357|134|49|12|177728|7.6
201512|194|565|805|741|582|1659|800|2002|1627|13|2089|405|2508|3900|1137|299|704|1045|978|102|146|1793|434|3886|4668|502|1183|235|1765|400|2322|1930|2547|912|124|677|3|1658|165|597|156|1003|98|167|1135|42|83|310|738|413|70|1245|2885|5|2324|0|3046|1213|976|1117|599|80|981|636|293|1384|2669|218|934|944|78|532|5979|5416|1321|960|1203|1960|1779|3674|635|60|617|73|121|8927|105|1228|3685|405|3195|1740|1474|839|261|68|245|1372|814|2049|1238|1801|4599|1019|464|202|961|3570|1212|2181|65|195|2089|95|6903|515|230|58|945|389|2787|18|5396|72|335|83|225|676|54|399|128|43|20|163648|7
201511|193|646|510|760|802|1660|959|1949|1432|16|1661|452|2430|3857|1167|329|854|893|870|108|136|1911|393|1984|4482|495|1225|193|1787|428|1862|2224|2723|744|89|444|0|823|129|580|130|925|123|231|998|41|78|308|629|311|63|1248|2372|1|2141|0|3087|1245|791|956|456|71|852|465|294|1204|1991|241|902|746|67|627|6817|4694|1370|1027|1195|2297|1847|3395|586|46|548|79|120|8547|101|1077|13807|287|3314|1574|979|661|268|77|178|1173|658|2297|1103|1807|3952|928|542|124|1074|3589|1137|2064|60|219|612|77|7003|402|249|44|890|201|2548|13|5069|77|262|83|258|991|37|326|108|47|11|162720|7
