Month|Views of page Black|Views of page Blue|Views of page Brown|Views of page Green|Views of page Grey|Views of page Orange|Views of page Purple|Views of page Red|Views of page Violet (color)|Views of page White|Views of page Yellow|Total|Percentage
201608|17579|27770|8001|18100|17999|7010|17847|21613|42767|11616|12246|202548|0.4
201607|17662|68046|8008|18477|22252|8375|16952|22034|12247|11194|15013|220260|0.4
201606|21070|28176|8121|20080|23575|7348|19018|21993|12556|11994|16637|190568|0.3
201605|20969|31176|9057|20490|26355|7751|55233|25495|16441|13411|16901|243279|0.4
201604|20621|33019|10142|21051|25581|8153|24942|27513|15328|14293|16435|217078|0.4
201603|21541|35979|10598|23215|25681|8622|23724|27221|16290|15529|16984|225384|0.4
201602|22415|33332|10437|22144|25836|8134|22848|26904|80255|15039|16587|283931|0.5
201601|26434|31118|10598|20354|27397|8723|23286|25823|50740|15413|15782|255668|0.5
201512|21434|33565|11345|20510|23010|10823|24628|28377|14168|16211|16155|220226|0.4
201511|23168|36890|10953|22846|25939|11117|22540|30685|16199|17966|17855|236158|0.4
201510|24609|35174|10909|24031|26936|10710|23505|31417|16466|18519|18965|241241|0.4
201509|22579|36023|11015|24185|26297|10619|22316|33063|17664|20184|17444|241389|0.4
201508|20751|29900|11318|20342|23786|9366|20718|36108|13798|18855|15096|220038|0.4
201507|21092|30918|11365|21029|31519|8899|22769|29808|28685|21026|17971|245081|0.4
201506|22745|34919|11919|21568|29934|10715|20136|83618|12332|18499|16972|283357|0.5
201505|26875|45157|13880|26855|40448|10019|25666|36345|16958|20413|22105|284721|0.5
201504|26010|41374|12961|25833|41469|10984|27336|34893|18640|21532|20375|281407|0.5
201503|54593|54537|14182|31956|42802|11026|31447|41398|20558|23400|23162|349061|0.6
201502|30622|45421|13221|27050|50754|10538|27656|68206|17728|22788|21259|335243|0.6
201501|29453|45002|14143|28822|46260|11602|28707|43441|19027|20919|20939|308315|0.6
201412|30493|41282|13746|27120|40067|9626|27525|66926|18082|20980|19375|315222|0.6
201411|35654|46274|14564|31479|48104|10385|34606|50484|19916|22965|22356|336787|0.6
201410|36737|52287|15551|34185|56421|10227|33681|51204|21445|25034|25885|362657|0.7
201409|37230|57052|15988|35498|56878|9937|37393|44603|20872|26906|28549|370906|0.7
201408|32996|47332|14025|33536|31305|8480|31246|37852|18765|21314|22373|299224|0.5
201407|33034|47336|14007|29671|27491|9275|31284|36951|18704|21936|21942|291631|0.5
201406|32279|48999|14060|30886|30239|10280|34250|38830|18574|22602|22127|303126|0.6
201405|43800|54797|17261|36764|32798|10374|51113|42442|21072|25971|26251|362643|0.7
201404|33737|59836|16599|36313|34985|14189|38253|47259|21702|26693|27559|357125|0.7
201403|36985|136127|18633|50563|37283|13568|123391|51869|24207|29864|30991|553481|1
201402|37501|58414|18964|39330|33523|12608|41211|49022|23760|29414|29270|373017|0.7
201401|40366|60493|18547|36411|35003|14055|40337|50115|21955|26843|27561|371686|0.7
201312|62433|67159|17233|44099|34779|12295|47978|47751|25702|41949|26498|427876|0.8
