Month|Views of page Black|Views of page Blue|Views of page Brown|Views of page Green|Views of page Grey|Views of page Orange|Views of page Purple|Views of page Red|Views of page Violet (color)|Views of page White|Views of page Yellow|Total|Percentage
201608|6383|4214|1475|4561|1536|3835|3099|7013|2584|6120|7112|47932|10.4
201607|3451|4861|1451|2516|1366|2074|2523|4948|1312|3148|2730|30380|6.6
201606|8071|5390|2352|5134|1876|3867|3365|8322|1405|6059|3596|49437|10.7
201605|3974|3796|1521|2903|1616|2891|3089|4276|1465|3591|2897|32019|6.9
201604|5368|4237|1636|3650|1582|3864|2932|4373|1126|5110|2824|36702|8
201603|6870|4451|1844|4266|1511|4837|5175|6125|941|6014|3009|45043|9.8
201602|10739|7982|4236|7705|3307|5535|3431|9759|994|8565|3296|65549|14.2
201601|4326|4870|1456|4172|1340|4385|2510|3927|956|4401|2637|34980|7.6
201512|4192|4420|1683|3219|1333|3901|2276|3789|972|3692|2488|31965|6.9
201511|2954|2583|1008|2375|981|3114|1349|3032|779|2319|1753|22247|4.8
201510|3140|2609|1007|2342|1046|2615|1547|3151|701|2150|1998|22306|4.8
201509|2107|3437|955|1930|1002|1476|1498|2119|1823|2117|1400|19864|4.3
201508|1335|1064|601|738|691|562|920|994|464|936|825|9130|2
201507|2046|1465|1113|1166|1354|561|1112|1119|1095|1397|1579|14007|3
201506|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0|0
