Month|Views of page Common subexpression elimination|Views of page Compiler|Views of page Compiler correctness|Views of page Constant folding|Views of page Data-flow analysis|Views of page Loop invariant|Views of page Optimizing compiler|Views of page Peephole optimization|Views of page Reaching definition|Views of page Strength reduction|Total|Percentage
201608|1359|26269|260|1136|2104|1871|2465|1068|357|1224|38113|0.7
201607|687|23640|297|1287|1965|1480|3625|1282|373|1191|35827|0.6
201606|796|26488|308|1311|2542|1908|2511|1322|467|1023|38676|0.7
201605|1295|26673|355|1653|3386|2326|3385|2332|573|1234|43212|0.7
201604|1478|26063|370|1728|3543|2479|3251|1663|644|1088|42307|0.7
201603|1328|29960|432|1532|3157|2607|3481|1287|519|1214|45517|0.8
201602|1072|30267|365|1394|2905|2876|3014|1018|400|953|44264|0.8
201601|1140|30227|388|1462|2613|2680|3225|1138|469|1029|44371|0.8
201512|1339|29180|536|1866|2843|2243|3463|1645|517|1312|44944|0.8
201511|1119|28013|472|1529|3046|2282|3475|1511|519|1343|43309|0.7
201510|1151|30907|447|2038|2964|3028|3716|1587|512|1021|47371|0.8
201509|1025|33918|454|1518|2779|3143|3306|1272|454|846|48715|0.8
201508|870|30612|414|1411|2261|1759|2687|1035|340|824|42213|0.7
201507|943|29105|452|1928|2524|1545|2778|1102|396|857|41630|0.7
201506|1028|33610|424|1779|2955|1991|3035|1295|462|929|47508|0.8
201505|1223|36010|425|2153|3794|2680|4064|1608|653|1125|53735|0.9
201504|1362|38717|524|1960|3667|3261|3945|1935|585|1033|56989|1
201503|1220|39805|439|1969|3537|3270|4513|1466|476|1042|57737|1
201502|958|54897|399|1458|2822|3249|3317|1052|389|823|69364|1.2
201501|1061|39603|423|1597|3035|4462|3321|1345|455|1014|56316|1
201412|1286|36450|413|1766|3162|2723|3909|1847|474|1136|53166|0.9
201411|1303|37068|404|2009|3515|8308|3938|1865|553|1285|60248|1
201410|1138|39677|451|1668|3155|4671|3472|1501|533|1048|57314|1
201409|9236|52401|428|1582|3076|4140|3662|1317|488|920|77250|1.3
201408|999|36266|381|1233|2373|1894|2800|1064|355|855|48220|0.8
201407|940|36298|500|1419|2634|1615|2752|1180|388|912|48638|0.8
201406|899|39039|357|1354|2778|2040|2937|1342|459|967|52172|0.9
201405|1285|37183|412|1688|3319|2752|4484|2087|546|1300|55056|0.9
201404|1246|39959|450|1568|3333|2893|4666|1793|443|1025|57376|1
201403|1212|42274|406|1401|3411|3045|4545|1300|503|1085|59182|1
201402|986|41515|334|1284|2889|3544|3732|1056|402|906|56648|1
201401|939|42768|357|1191|2563|2994|3151|994|357|776|56090|1
201312|987|70633|489|1343|3351|2793|3790|1621|428|834|86269|1.5
201311|1025|45065|312|1209|3144|2930|4468|1400|442|903|60898|1
201310|1155|48859|366|1439|3545|4300|4713|1230|479|839|66925|1.2
201309|737|47252|310|1031|2645|5291|3558|848|347|666|62685|1.1
201308|791|41913|341|894|2186|1973|3261|842|303|712|53216|0.9
201307|831|49282|354|1051|2672|1969|3808|906|384|705|61962|1.1
201306|1061|55934|417|1514|3743|2442|4250|1238|516|955|72070|1.2
201305|1161|50611|510|1889|4279|3099|5099|1762|617|1382|70409|1.2
201304|1279|52204|413|1773|4432|3103|5340|2044|659|1195|72442|1.2
201303|1121|57975|421|1704|4093|3350|4886|1538|599|1336|77023|1.3
201302|1167|57072|366|1234|3618|4010|3734|1022|491|1120|73834|1.3
