Month|Views of page Abkhazia|Views of page Afghanistan|Views of page Albania|Views of page Algeria|Views of page Andorra|Views of page Angola|Views of page Antigua and Barbuda|Views of page Argentina|Views of page Armenia|Views of page Australia|Views of page Austria|Views of page Azerbaijan|Views of page Bahrain|Views of page Bangladesh|Views of page Barbados|Views of page Belarus|Views of page Belgium|Views of page Belize|Views of page Benin|Views of page Bhutan|Views of page Bolivia|Views of page Bosnia and Herzegovina|Views of page Botswana|Views of page Brazil|Views of page Brunei|Views of page Bulgaria|Views of page Burkina Faso|Views of page Burma|Views of page Burundi|Views of page Cambodia|Views of page Cameroon|Views of page Canada|Views of page Cape Verde|Views of page Central African Republic|Views of page Chad|Views of page Chile|Views of page China|Views of page Colombia|Views of page Comoros|Views of page Cook Islands|Views of page Costa Rica|Views of page Croatia|Views of page Cuba|Views of page Cyprus|Views of page Czech Republic|Views of page Democratic Republic of the Congo|Views of page Denmark|Views of page Djibouti|Views of page Dominica|Views of page Dominican Republic|Views of page East Timor|Views of page Ecuador|Views of page Egypt|Views of page El Salvador|Views of page Equatorial Guinea|Views of page Eritrea|Views of page Estonia|Views of page Ethiopia|Views of page Federated States of Micronesia|Views of page Fiji|Views of page Finland|Views of page France|Views of page Gabon|Views of page Georgia|Views of page Georgia (country)|Views of page Germany|Views of page Greece|Views of page Grenada|Views of page Guatemala|Views of page Guinea|Views of page Guinea-Bissau|Views of page Guyana|Views of page Haiti|Views of page Honduras|Views of page Hungary|Views of page Iceland|Views of page India|Views of page Indonesia|Views of page Iran|Views of page Iraq|Views of page Ireland|Views of page Israel|Views of page Italy|Views of page Jamaica|Views of page Japan|Views of page Jordan|Views of page Kazakhstan|Views of page Kenya|Views of page Kiribati|Views of page Kosovo|Views of page Kuwait|Views of page Kyrgyzstan|Views of page Laos|Views of page Latvia|Views of page Lebanon|Views of page Lesotho|Views of page Liberia|Views of page Libya|Views of page Liechtenstein|Views of page Lithuania|Views of page Luxembourg|Views of page Macedonia|Views of page Madagascar|Views of page Malawi|Views of page Malaysia|Views of page Maldives|Views of page Mali|Views of page Malta|Views of page Marshall Islands|Views of page Mauritania|Views of page Mauritius|Views of page Mexico|Views of page Moldova|Views of page Monaco|Views of page Mongolia|Views of page Montenegro|Views of page Morocco|Views of page Mozambique|Views of page Nagorno-Karabakh|Views of page Namibia|Views of page Nauru|Views of page Nepal|Views of page Netherlands|Views of page New Zealand|Views of page Nicaragua|Views of page Niger|Views of page Nigeria|Views of page Niue|Views of page North Korea|Views of page Northern Cyprus|Views of page Norway|Views of page Oman|Views of page Pakistan|Views of page Palau|Views of page Palestine|Views of page Panama|Views of page Papua New Guinea|Views of page Paraguay|Views of page Peru|Views of page Philippines|Views of page Poland|Views of page Portugal|Views of page Qatar|Views of page Romania|Views of page Russia|Views of page Rwanda|Views of page Sahrawi Arab Democratic Republic|Views of page Saint Kitts and Nevis|Views of page Saint Lucia|Views of page Saint Vincent and the Grenadines|Views of page Samoa|Views of page San Marino|Views of page Saudi Arabia|Views of page São Tomé and Príncipe|Views of page Senegal|Views of page Serbia|Views of page Seychelles|Views of page Sierra Leone|Views of page Singapore|Views of page Slovakia|Views of page Slovenia|Views of page Solomon Islands|Views of page Somalia|Views of page Somaliland|Views of page South Africa|Views of page South Korea|Views of page South Ossetia|Views of page South Sudan|Views of page Spain|Views of page Sri Lanka|Views of page Sudan|Views of page Swaziland|Views of page Sweden|Views of page Switzerland|Views of page Syria|Views of page Taiwan|Views of page Tajikistan|Views of page Tanzania|Views of page Thailand|Views of page The Bahamas|Views of page The Gambia|Views of page Togo|Views of page Tonga|Views of page Transnistria|Views of page Trinidad and Tobago|Views of page Tunisia|Views of page Turkey|Views of page Turkmenistan|Views of page Tuvalu|Views of page Uganda|Views of page Ukraine|Views of page United Arab Emirates|Views of page United Kingdom|Views of page United States|Views of page Uruguay|Views of page Uzbekistan|Views of page Vanuatu|Views of page Vatican City|Views of page Venezuela|Views of page Vietnam|Views of page Yemen|Views of page Zambia|Views of page Zimbabwe|Total|Percentage
201608|2713|9057|8198|8263|3375|5038|2352|17029|6150|20706|9557|7914|6060|9440|4092|6002|14378|4280|3180|4250|5110|4671|3197|22290|4184|14418|3359|2737|2941|6886|5608|21505|3404|2432|4394|7006|29309|9339|2556|2375|4380|11886|9006|6757|8329|4287|17866|3457|2733|7899|2822|5157|10803|3837|2577|3709|6721|20678|1918|5454|8929|39832|3562|8503|4986|27098|12714|2535|6253|3848|2023|3697|6763|4148|7863|7026|43218|19904|20335|8190|10274|13626|21301|7312|28345|7701|7418|6596|3241|4218|8166|3942|3911|7122|9561|2368|3638|4872|3297|7230|7408|2211|6240|2712|9759|5220|5414|7042|2566|2723|5650|13455|5705|5221|4637|5295|6826|3779|1476|3421|3096|5613|14225|10966|3659|3194|9062|2413|7226|3031|10832|6345|15780|2766|2592|5013|3340|3938|6152|14147|14288|13610|10766|11002|18358|29381|978|2328|2273|1716|2715|2676|23297|1949|4287|11777|3616|3350|14774|6104|7629|2765|4994|2359|10506|12086|2885|4003|20364|10013|4876|3194|14704|14899|10069|9817|3342|7411|10549|3868|3004|3219|3670|2125|3621|5465|17131|2799|3698|4924|12230|9302|24107|55428|6508|5631|3096|4071|7471|8195|5755|3734|8291|1638800|4.9
201607|2978|8768|7341|7204|3488|4550|2340|29801|5600|31171|9453|8471|5695|11667|3823|5833|10785|4599|3027|4640|4423|5262|3435|19626|4298|7936|3459|2940|3199|6117|5492|33335|3984|2945|3910|6370|33157|8522|2751|2402|5064|7828|18990|6865|8446|5150|16671|3332|2962|5910|3039|4996|10037|4582|2782|3947|6890|11836|2150|4591|8475|42772|3155|1919|5914|22630|10264|2819|6379|3496|2718|3451|5218|6053|7096|8864|27400|18570|13449|6749|8317|28127|17657|8289|26835|9245|7447|6220|2986|3750|6591|3426|4113|5499|9298|2583|4301|4913|3553|6396|5116|1718|4375|3211|7912|4750|4294|6518|2855|3165|5033|24978|5078|5655|4743|5433|6788|3521|1359|3462|2757|5359|12080|21928|4792|3623|6249|2382|9907|3097|10466|4817|9318|3176|1340|4989|3775|3663|5338|14356|15032|10488|6078|8386|15004|27927|1374|2446|2591|1883|3097|2939|21187|2013|3897|7862|3178|3496|25872|5399|6765|2676|4934|2955|9077|11408|3025|4169|16469|9959|4908|2867|23668|14593|6919|8426|3424|7089|9027|3645|3193|3091|3071|2455|3418|5610|36348|2797|3023|4612|8774|8474|39814|61882|5345|4885|3143|4529|5843|7095|4125|3532|5350|1647739|4.9
201606|3691|11017|11461|8230|5903|5359|2515|18525|8378|25732|12611|10023|7254|15602|4901|7517|14145|5408|3767|6069|6599|5560|4084|22657|5885|13777|3289|6349|3968|7401|5753|27350|2927|2679|5190|8909|28986|13234|3177|2469|5665|11154|9501|8930|8877|4602|18192|4261|3309|6030|2877|6419|16204|4398|2454|5051|9458|21057|2142|5530|12132|34379|3256|5191|6326|28325|14179|3684|6177|3491|2639|4197|7928|5274|8342|17261|47401|22382|16286|12825|10906|17015|23510|8983|32208|14839|8154|8748|6982|4626|7461|3739|4997|6898|12268|2915|4746|6865|3793|7216|7052|2337|6278|3108|11710|5598|4636|8584|2903|3003|6008|18681|5242|6392|5094|4414|8861|3905|1257|4165|3208|8234|16146|13041|6743|3349|8757|2800|7805|3015|13473|6214|14630|3396|2036|9155|4027|4496|8876|16098|16795|12765|8615|9516|21292|15068|1743|2201|3054|2065|3698|3168|16826|1451|4611|7334|3963|4139|13924|6600|6950|3065|7376|3048|12315|16875|3198|3387|19702|10929|5705|3041|13176|17562|9705|12076|4099|7607|14542|3809|2578|3603|3666|2370|3451|5299|19097|3406|3387|5738|12496|8994|39418|83376|6251|5827|3361|5727|7789|9627|6180|4266|7609|1848244|5.5
201605|3597|9168|7329|8939|2949|4751|2897|16463|6349|25733|11694|9234|5694|13334|4917|5645|11336|4442|3226|4427|8260|5137|3965|24300|4291|6839|3578|8210|2762|5732|6088|23285|3394|2494|5269|10206|29232|10910|2145|3106|5030|6318|7499|8061|7424|4802|17445|4032|3388|6184|3932|7462|15979|3935|2874|6324|6858|20752|2502|5125|9981|24371|2863|2254|8445|19572|11649|3575|5263|3030|2832|4162|6444|3243|6441|8701|37305|21331|14835|10134|9189|15937|19627|8552|29825|12820|7445|7961|2943|4704|7430|4875|4337|5639|13037|2828|4494|7384|3272|5746|4974|2421|4294|2788|9490|5903|4858|7635|2868|3018|5336|13661|4579|6525|4953|3849|7863|4816|1688|4328|3178|7031|13216|13854|4968|3811|8631|3299|6168|3667|12054|6051|17678|3607|2796|6028|4640|4690|9816|16748|14902|10361|7814|8064|18279|9656|1243|2882|3219|2637|3731|2811|13265|1670|4800|6502|3339|5639|11540|4994|6002|3015|7511|2672|12648|15948|3192|3973|17870|9344|7326|3294|11883|12669|9347|10800|5042|7077|10457|4072|2883|3234|3300|2811|4381|6483|17646|3589|3062|5626|9053|8867|31854|101998|5571|8002|3507|5200|9601|7414|5583|4155|6521|1681338|5
201604|8289|68569|46373|57153|12628|40433|7511|118864|44118|382144|144352|61530|21651|63880|20670|38878|110717|18975|20511|22392|65714|63893|21204|270092|18054|90637|23095|9245|16967|35386|49855|361682|15588|20073|18015|91936|292627|107555|10064|7599|49470|67847|87401|47784|72800|58966|111114|10941|11316|37892|13470|85179|106411|25165|14989|16854|55936|58588|6860|29400|91386|469289|24487|2120|36350|404419|109261|12377|42797|24085|11068|25572|34794|26594|83831|50669|477464|132857|459957|71847|99134|130767|256578|49553|363022|41531|43286|82957|7132|25309|27819|19389|28343|44422|52674|11727|28464|34239|14339|51350|35063|2650|52831|25089|97358|8851|27465|39837|9421|14331|24983|190899|29587|19920|28548|23463|60265|31668|4810|32731|7600|68152|96050|176836|32275|16769|82589|6565|33849|9653|144237|21812|146952|13058|25261|58843|42322|35639|108135|30194|145575|88134|27478|161879|313171|29815|3853|7185|11924|7619|19153|10955|51760|6992|31149|82381|13457|32025|93319|55283|54740|14286|30820|5478|175242|118891|6016|15061|241840|99862|38277|13601|158159|141376|62261|105126|19479|62831|102530|10524|15000|19061|14997|5837|21356|36190|168136|16756|8479|52619|97895|18473|346309|336331|45547|27368|12615|15668|85672|78132|35307|33335|41589|13989301|42
201603|2268|8138|8232|7777|3754|6060|3024|13960|5290|18975|12015|6715|6380|11461|4530|6262|13062|5514|3874|4922|5901|5630|3892|19113|4602|7464|3681|12132|3330|5587|4395|21532|4237|2791|4168|8185|33655|12390|3193|2635|6212|6951|26089|13100|7394|5041|18669|3309|3499|7969|3675|6986|12801|5447|2473|3726|7180|18578|2932|4768|10657|27623|2973|2542|4709|18686|11073|3863|8369|3312|2229|4643|6910|4773|6837|8583|42154|17706|11787|11147|11319|16347|17714|10305|35864|18103|6578|9239|3208|8008|7158|4054|5285|4952|14127|3850|4207|8654|6655|5708|4935|3594|5402|3716|10688|8299|4424|7683|3243|2991|5942|17649|7502|8644|5708|4569|7411|5052|1487|4761|3250|8931|15693|12366|5881|3609|8621|2464|9066|3289|12595|7035|18299|4424|6978|7175|4088|4033|8029|19343|15961|10487|8082|8406|18338|8527|1396|2675|3012|2389|3739|6588|12963|1836|4582|6891|4184|4270|16282|5506|6644|2797|6046|2527|11882|10941|2101|3625|18401|20682|7019|3327|13939|14347|9761|10512|3323|5626|10911|4349|3595|4288|3364|2209|5147|5219|18518|3247|4215|5213|10767|13646|24022|83534|5495|6541|3026|5061|6454|9668|6185|3746|7046|1743385|5.2
201602|2524|8072|8450|8148|3566|8038|2844|14425|5699|21436|9263|5720|7344|9625|5504|6133|12159|8000|4372|4762|6136|5646|4780|21086|4477|7869|5035|11385|4400|6408|6666|21428|4325|4205|6206|7871|40299|7634|4020|2733|5803|8063|36951|8173|7327|6407|21163|4668|3459|7545|3541|6892|16350|4886|3577|5665|7220|21801|2540|8570|11122|31066|3898|2879|4899|20591|11954|4291|7635|8607|3291|4402|7020|4401|6492|10780|39645|20459|14017|9103|9682|19403|20857|8919|31860|11352|6271|9706|2915|4683|6776|4162|5523|4990|13599|4787|5337|8707|3817|5571|4799|3332|6393|4693|9285|8374|5552|9706|3300|4199|6561|16962|4532|5832|4998|4935|7252|4709|1649|7137|4253|8097|15192|11651|6285|4470|10605|2689|8475|3213|14314|5380|31362|4448|4077|7567|4019|4054|8779|17906|14160|12300|7573|10377|19378|12465|1415|2699|3160|2586|4251|3373|12175|2516|5363|7566|4069|6089|17516|5207|6243|2960|8027|2714|17475|12679|2688|4712|17303|8670|8945|3583|15339|13759|9523|11220|3894|7576|11733|4292|5397|4985|3322|2702|4374|7038|14108|3251|3098|6968|10058|10543|23706|68245|5198|5487|3307|5496|6663|9738|5748|5579|7476|1795859|5.4
201601|2452|7381|7272|8068|3525|6092|2883|12677|5294|22617|8751|5949|6254|10411|5009|5862|11677|5748|3729|5074|6548|4921|4327|20124|4999|9150|7662|7996|5547|6533|5089|20118|4118|3988|4743|6805|28052|7842|2917|2947|5494|6529|20626|8168|7225|4937|20872|3880|4269|7206|3906|9529|11436|5366|3556|5275|7000|16138|2735|4830|10694|24169|2793|2338|4857|20998|9944|4025|8137|3721|2341|4260|6620|4093|6375|9262|34129|21329|13522|9051|8107|14317|14823|8856|21740|10728|6623|7558|3904|4664|6636|4098|6801|4709|13556|3980|5036|7128|4529|5749|4615|3242|5004|3604|8104|8051|4445|7196|3835|3654|4847|15987|4876|5414|5452|5388|6949|4221|1884|4035|3537|7291|13624|11488|6566|3611|9665|2681|7454|3308|15538|5745|14636|4310|3771|6994|5001|4353|8960|16042|13541|9576|7035|8875|15923|9214|1704|3090|3738|2392|4114|3549|22432|2077|4377|8121|3187|4290|13267|5724|7430|2896|6744|2922|12366|11894|2401|4748|14393|10407|7592|3616|13854|14058|8823|9992|3574|5644|11250|4464|4836|4508|3053|3187|4802|6314|12883|3216|3917|4979|8645|10673|22355|64276|4684|5665|3256|5569|6336|9479|6419|6169|5907|1618128|4.9
201512|2816|8084|6265|7142|3813|5071|2718|13040|5395|18571|9208|6001|5368|12337|3969|4954|12508|4845|3378|5101|5263|4888|3745|18195|4492|8991|4217|5210|4724|6507|4748|26403|2957|3677|4080|7232|157342|9884|3099|2653|5497|7466|9871|8760|6232|5499|19485|3410|3331|6361|3590|7631|13319|5102|2426|3726|7065|10478|2474|4469|12017|27002|3024|3032|5065|20837|11273|3983|8343|3315|2232|3720|6298|3682|7104|7559|43839|22993|13018|11900|10013|18155|18668|8093|23694|8958|5965|8737|3097|4913|5349|3886|4436|4763|11080|3360|4333|6541|3718|5301|4632|2360|4998|3261|9434|5925|4275|6930|3465|2758|4820|20259|3728|7816|5074|4526|7162|3723|1635|3917|2925|6709|16001|11533|6728|3165|8759|2601|7475|2932|10215|5307|18958|4032|4879|5958|4035|3544|9003|15420|13332|10290|9245|8452|20701|6618|1631|2843|3054|2447|4106|3039|11646|1772|4249|6836|3042|4764|22694|5533|6226|3069|5621|2462|12297|10522|2647|3384|13986|9900|6781|3217|13400|12636|13941|12326|3638|5224|12122|3663|4605|3509|2909|2258|3921|5703|15089|3243|3765|5144|9834|10369|33665|69523|6022|6733|3346|4873|6793|8916|9741|4002|5685|1742260|5.2
201511|2374|7372|5542|5744|2913|4018|1982|10077|4177|15206|11546|5645|4074|8405|3394|4047|10113|3572|2327|3631|3895|4117|3104|17173|3142|6636|3085|3101|4029|5198|3192|18923|2084|2934|3016|5994|138912|6039|2240|2030|4463|6278|7631|11545|5392|3978|18019|2410|2820|4996|2717|5899|10707|3081|2129|3362|7275|6955|1714|3877|9924|30595|2433|1773|4070|17605|9301|2761|5475|3190|1589|3005|5176|2784|5293|7450|36445|21725|13812|7489|8204|15872|17062|6707|15656|8264|4398|6340|2251|9028|3873|3100|3221|4214|9670|1893|5700|4183|7271|4033|3772|2053|4115|2256|7885|4066|4386|6087|2766|2045|3692|12721|3032|9797|4107|3045|5379|2747|1571|3059|2050|5414|10695|342468|4885|2626|7416|1789|5235|2570|8303|4262|10902|2811|5713|4841|3115|2829|6622|11818|9503|8154|6275|6943|16063|6974|1214|2127|2385|1812|2958|7266|10479|1406|2814|5340|2453|5886|18121|4685|5797|2234|5111|1905|8940|8926|1721|3156|10336|5887|5439|2421|10854|11116|13510|14044|2551|4152|9916|2749|2407|2718|2427|2028|3083|4172|14937|2486|2406|4028|7617|8334|21631|87592|7589|5618|2844|3943|5259|6130|12896|3246|4399|1809444|5.4
