Month|Views of page Abkhazia|Views of page Afghanistan|Views of page Albania|Views of page Algeria|Views of page Andorra|Views of page Angola|Views of page Antigua and Barbuda|Views of page Argentina|Views of page Armenia|Views of page Australia|Views of page Austria|Views of page Azerbaijan|Views of page Bahrain|Views of page Bangladesh|Views of page Barbados|Views of page Belarus|Views of page Belgium|Views of page Belize|Views of page Benin|Views of page Bhutan|Views of page Bolivia|Views of page Bosnia and Herzegovina|Views of page Botswana|Views of page Brazil|Views of page Brunei|Views of page Bulgaria|Views of page Burkina Faso|Views of page Burma|Views of page Burundi|Views of page Cambodia|Views of page Cameroon|Views of page Canada|Views of page Cape Verde|Views of page Central African Republic|Views of page Chad|Views of page Chile|Views of page China|Views of page Colombia|Views of page Comoros|Views of page Cook Islands|Views of page Costa Rica|Views of page Croatia|Views of page Cuba|Views of page Cyprus|Views of page Czech Republic|Views of page Democratic Republic of the Congo|Views of page Denmark|Views of page Djibouti|Views of page Dominica|Views of page Dominican Republic|Views of page East Timor|Views of page Ecuador|Views of page Egypt|Views of page El Salvador|Views of page Equatorial Guinea|Views of page Eritrea|Views of page Estonia|Views of page Ethiopia|Views of page Federated States of Micronesia|Views of page Fiji|Views of page Finland|Views of page France|Views of page Gabon|Views of page Georgia|Views of page Georgia (country)|Views of page Germany|Views of page Greece|Views of page Grenada|Views of page Guatemala|Views of page Guinea|Views of page Guinea-Bissau|Views of page Guyana|Views of page Haiti|Views of page Honduras|Views of page Hungary|Views of page Iceland|Views of page India|Views of page Indonesia|Views of page Iran|Views of page Iraq|Views of page Ireland|Views of page Israel|Views of page Italy|Views of page Jamaica|Views of page Japan|Views of page Jordan|Views of page Kazakhstan|Views of page Kenya|Views of page Kiribati|Views of page Kosovo|Views of page Kuwait|Views of page Kyrgyzstan|Views of page Laos|Views of page Latvia|Views of page Lebanon|Views of page Lesotho|Views of page Liberia|Views of page Libya|Views of page Liechtenstein|Views of page Lithuania|Views of page Luxembourg|Views of page Macedonia|Views of page Madagascar|Views of page Malawi|Views of page Malaysia|Views of page Maldives|Views of page Mali|Views of page Malta|Views of page Marshall Islands|Views of page Mauritania|Views of page Mauritius|Views of page Mexico|Views of page Moldova|Views of page Monaco|Views of page Mongolia|Views of page Montenegro|Views of page Morocco|Views of page Mozambique|Views of page Nagorno-Karabakh|Views of page Namibia|Views of page Nauru|Views of page Nepal|Views of page Netherlands|Views of page New Zealand|Views of page Nicaragua|Views of page Niger|Views of page Nigeria|Views of page Niue|Views of page North Korea|Views of page Northern Cyprus|Views of page Norway|Views of page Oman|Views of page Pakistan|Views of page Palau|Views of page Palestine|Views of page Panama|Views of page Papua New Guinea|Views of page Paraguay|Views of page Peru|Views of page Philippines|Views of page Poland|Views of page Portugal|Views of page Qatar|Views of page Romania|Views of page Russia|Views of page Rwanda|Views of page Sahrawi Arab Democratic Republic|Views of page Saint Kitts and Nevis|Views of page Saint Lucia|Views of page Saint Vincent and the Grenadines|Views of page Samoa|Views of page San Marino|Views of page Saudi Arabia|Views of page São Tomé and Príncipe|Views of page Senegal|Views of page Serbia|Views of page Seychelles|Views of page Sierra Leone|Views of page Singapore|Views of page Slovakia|Views of page Slovenia|Views of page Solomon Islands|Views of page Somalia|Views of page Somaliland|Views of page South Africa|Views of page South Korea|Views of page South Ossetia|Views of page South Sudan|Views of page Spain|Views of page Sri Lanka|Views of page Sudan|Views of page Swaziland|Views of page Sweden|Views of page Switzerland|Views of page Syria|Views of page Taiwan|Views of page Tajikistan|Views of page Tanzania|Views of page Thailand|Views of page The Bahamas|Views of page The Gambia|Views of page Togo|Views of page Tonga|Views of page Transnistria|Views of page Trinidad and Tobago|Views of page Tunisia|Views of page Turkey|Views of page Turkmenistan|Views of page Tuvalu|Views of page Uganda|Views of page Ukraine|Views of page United Arab Emirates|Views of page United Kingdom|Views of page United States|Views of page Uruguay|Views of page Uzbekistan|Views of page Vanuatu|Views of page Vatican City|Views of page Venezuela|Views of page Vietnam|Views of page Yemen|Views of page Zambia|Views of page Zimbabwe|Total|Percentage
201608|752|3313|3276|2314|3279|2189|654|4673|3200|12211|3312|4036|4145|5431|2054|4472|3920|3025|1480|2806|2018|2764|1906|22580|2935|2933|1640|211|1087|2750|1177|11732|2875|1098|1032|2659|12462|3245|1754|1552|2203|4652|3773|0|0|2351|4796|2201|1592|2527|0|1602|3369|1200|1276|3225|2925|4477|965|8483|3602|5651|1403|660|3568|10320|3568|2926|1236|1066|611|2218|2126|1546|4011|6421|21759|5506|5643|2174|5030|7285|5528|9185|11346|2200|5035|2793|3892|5497|1917|2635|1965|2540|2643|1514|2304|2064|2966|2805|2714|1111|2629|1177|5204|3327|1092|3982|1195|1375|4008|4614|2341|3460|3911|4819|3552|1519|363|1939|3365|4692|7540|7148|1292|1015|3876|606|9538|622|4870|2053|7656|1462|1932|1619|1762|1183|2070|7041|4440|3824|4397|4611|9641|1268|313|991|1281|526|1388|2507|4252|831|1509|6234|1850|1328|10152|2078|3098|745|2330|668|6030|5655|384|1785|4946|3848|1499|1248|5137|6994|4745|6724|1714|1987|4499|2353|1284|771|3936|848|2536|1771|6116|1775|1832|1390|3825|4190|11184|22447|1674|4149|1274|2520|3049|4081|2020|1528|2600|712012|8.3
201607|776|3599|3436|2161|4015|1792|523|3442|3703|11544|3529|2848|1860|10187|1713|3496|5639|2307|810|2431|1765|2515|1107|5457|1984|2797|887|226|662|2863|1040|12572|2553|652|920|2516|10760|2771|604|672|1948|4502|2644|3415|3612|2344|4735|950|1129|2561|1322|1409|3649|1120|927|2538|2820|3010|559|2166|4022|9395|1177|595|3022|11786|3560|1392|1249|1121|1078|2113|1849|1160|3160|21442|19390|5328|5257|2912|6033|6835|5233|2877|11974|2255|3337|2057|1071|2413|1760|1806|1836|2253|2731|1058|1909|2283|2446|2202|3027|632|2222|1283|4409|3138|1026|4349|947|1087|3134|4339|2001|3944|4919|3148|3664|1688|302|1619|1058|4456|6049|7035|1097|794|3111|511|5335|773|5320|1639|7040|806|1196|1624|1673|1031|2069|7258|4824|9895|2736|3860|7798|1348|397|760|1216|386|1245|1694|4462|908|1277|2702|1638|1091|7036|2273|4922|670|1964|454|5132|3692|362|3149|5216|3686|1984|765|5214|6911|3739|5142|1245|2212|4255|2152|1205|565|1192|859|1518|3633|23002|1321|715|1739|2924|3880|16523|23693|1664|1724|969|2555|2960|4030|1507|1099|2347|670660|7.8
201606|910|3133|13810|1840|2189|1886|443|5087|4258|10632|4810|12160|2074|3921|1612|2893|7140|2602|761|2593|2140|2846|1066|5135|1985|3034|852|226|623|2641|1082|11344|2179|734|1480|4118|10221|3674|617|625|2535|8734|2715|3199|5306|2226|5186|1179|0|2613|1170|2320|3248|0|988|2868|2815|2768|515|1905|4114|7696|827|379|3395|12015|3500|1003|1279|934|513|2273|0|1137|6335|42283|19436|4831|4603|2181|11147|6309|5701|3062|10240|2306|3463|1959|924|4062|1624|1446|1689|2088|2410|1286|1658|2655|3122|2279|3803|674|2479|865|3667|2956|1074|4435|847|1101|3435|4981|1901|3595|2767|2703|3324|1147|370|1741|1897|4031|6369|5864|1126|848|3282|554|4622|579|6520|1725|5879|810|1024|2154|1920|1994|2860|6940|7074|6421|3545|6285|9558|1112|369|899|965|449|1181|1984|3978|827|1831|3206|1634|1084|6984|7446|3621|652|2294|602|4501|3382|407|1086|5924|3929|1283|905|6108|11707|2634|4453|1338|1797|4142|1970|1599|618|854|747|1458|1493|8803|1434|677|1477|4136|3715|34888|21257|2570|1967|918|2577|3746|3914|1585|966|2643|724302|8.4
201605|784|2895|3494|1925|1703|1532|376|3079|3652|10454|5113|4241|1831|4987|1551|2873|3440|2523|857|2939|1881|2351|1098|5782|1894|2579|956|261|692|2658|1161|11724|1683|611|1285|2358|10623|2601|589|611|2124|3548|3181|3309|4079|2225|4245|926|791|2397|1029|1750|3920|1198|1986|2542|2670|2827|487|2258|3603|5746|664|408|3965|9544|3203|1090|1369|868|431|2100|2072|1088|2699|5363|18054|4663|4999|2449|4775|7699|4626|2846|9097|2548|3249|1931|824|2737|1738|1549|1860|2333|2660|934|1713|1959|2242|2419|2452|636|2515|809|3881|3489|1016|4839|796|1056|3230|4790|1895|5515|2600|2574|3517|1108|579|1608|3588|4204|5940|5548|1121|783|3691|556|6852|620|4795|1858|5867|807|1265|2031|1936|955|2092|8428|4214|3273|2510|3795|7693|1302|292|684|881|445|1080|2136|3941|613|1678|2509|1824|1279|6855|1937|2470|967|2055|694|4363|3794|414|1034|5255|4378|1376|951|5104|6210|2756|4901|2668|1894|4021|1821|1254|943|1335|813|1498|1353|6202|1539|610|1546|3791|4243|10000|20713|1344|2048|938|2433|4639|5443|1681|1041|2149|590721|6.9
201604|596|2413|2370|1422|1380|1336|394|2670|5617|8508|2562|4623|2508|3751|1570|2003|3383|2322|664|5860|1360|1795|918|4142|1617|1999|727|343|698|2222|905|8325|1576|578|1176|1844|7994|2142|462|524|1818|2637|2846|2392|3917|1810|3617|1151|663|2097|840|4460|2912|1132|750|2006|1698|2510|1299|1782|2628|4107|576|376|2768|7352|2455|943|1142|517|257|1897|1829|940|2206|8369|13509|3865|4078|1664|4127|5916|3443|2971|7526|1951|2648|1568|711|1621|1664|1024|1498|1598|2404|781|1326|1540|1683|1461|2004|664|1942|732|2975|2510|955|3084|696|729|2664|3620|1506|2814|2012|1583|2783|905|3258|1435|880|3349|4534|5103|1055|691|2727|902|5521|424|3539|1478|4717|728|1063|5858|1847|736|1972|5323|3038|2561|2492|2909|5972|1118|220|606|925|345|878|1091|4716|457|844|2034|1461|956|5421|1413|1627|611|1582|396|4035|3385|393|1009|3813|3025|1218|732|4068|4324|2543|3449|992|1455|3321|1586|804|458|793|747|1482|1058|4086|1112|561|1137|2851|4032|8415|16972|1199|1416|1404|2076|2164|3279|1462|944|1676|483042|5.6
201603|598|3576|3018|1788|1666|1789|421|3812|3132|10472|2894|2335|1823|5893|1759|2430|17435|2364|1440|0|1714|2768|1040|4870|2125|2381|1056|353|1000|2508|1081|11577|1813|679|910|2405|10588|2687|652|606|2173|3014|9227|4290|2768|2248|4796|1109|751|2283|1056|1477|3777|1214|729|2111|2842|2700|531|2010|3389|5420|753|605|2635|9518|2969|1017|1506|673|381|1889|1948|1662|2475|6065|17929|4852|5363|2354|7099|7426|4246|3357|8567|2417|3505|1772|796|2198|2123|1494|1674|1785|2830|925|1669|1778|2091|1978|2913|791|2041|779|3667|2766|868|3697|1178|992|2743|4430|1694|2583|2575|1951|3426|1592|237|1939|758|4435|6182|7468|1194|1100|3290|489|8561|538|4460|3233|7843|902|1394|1641|1495|932|2025|5892|3661|3020|2936|3598|7791|1166|311|917|877|532|2361|1287|4392|451|976|2566|1595|1303|6918|2104|2159|715|1914|456|4643|4068|371|1704|4375|4109|1669|886|4745|6072|4866|4646|1691|1710|3939|1866|952|625|861|953|1545|1404|6505|1316|640|1441|3014|4845|10091|22357|1545|1802|773|2629|2300|4076|1930|1015|2082|592458|6.9
201602|535|2806|2570|1747|1702|1513|335|3229|2688|10226|2837|2027|1971|3872|1753|2153|3010|2538|815|2868|1832|1846|983|4137|1962|2204|1010|271|976|2553|926|9747|1724|669|914|2304|10282|2986|719|550|1979|2459|3460|2443|2157|2039|4289|986|595|2069|997|1453|3620|986|665|3301|2014|2770|560|4461|3185|4536|722|525|2121|9203|2725|834|1132|508|325|1565|2059|899|2188|5761|19147|4436|5640|2365|4096|6048|3829|2561|8059|2514|2866|1867|711|1982|3363|1183|1585|1674|2564|837|1680|1986|1698|1798|2201|498|2698|830|3367|2560|990|3147|2482|844|2372|4553|1547|2199|2436|1692|3314|974|261|1963|1532|4370|4414|6519|1058|773|3235|469|7323|433|4649|1958|6084|781|944|1371|1517|824|1700|6310|3487|2672|2808|3045|7319|1247|238|609|907|535|996|1068|4513|382|941|2107|1267|1132|6308|1365|1903|602|2540|622|4485|3984|307|975|4028|4274|1334|752|4449|5154|5696|6326|1070|1849|3818|1960|926|506|980|750|1336|1029|5666|1226|550|2290|2986|4505|9589|22076|1397|1432|826|3239|2593|3896|1656|976|2145|534711|6.2
201601|572|3998|2635|2044|1626|1485|387|4034|2887|13759|3336|2295|3277|4423|1638|2749|3486|3195|991|3335|1854|2046|1171|4528|2096|2576|11061|359|928|3063|1200|11666|2072|760|1017|2376|10893|3857|669|667|2450|4389|3491|2512|2519|2013|4924|1318|701|2730|1045|1640|4021|1508|749|3285|2034|3124|524|2198|4015|5464|772|591|2377|11348|2732|1207|1566|611|397|1816|2251|1284|2474|6515|25759|6835|10966|3496|3754|8768|4299|2676|9668|3194|3178|1808|981|2273|6707|1572|1994|1767|2888|1066|1859|2103|1951|1919|2334|503|2716|773|4192|3697|1097|3601|1508|1030|2617|5316|1853|2973|2999|1885|3971|1153|378|1646|825|4580|5127|6913|1284|876|3407|441|11916|436|5052|2570|8146|861|1292|1714|1777|946|2090|6385|4001|3044|4276|3454|8318|1664|280|649|1040|649|1242|1095|10082|512|1342|2500|1485|1403|7235|1645|1769|761|2272|493|5180|5023|313|1143|4695|4430|1627|935|5321|5536|5022|9546|1763|1966|4812|2025|2042|612|1211|731|1315|1429|5713|1647|667|1706|3079|5769|10406|23828|1523|1739|1024|2252|2469|4578|2286|1064|1827|643432|7.5
201512|548|3759|2930|1898|1599|1849|293|4006|3927|11034|3372|2858|2148|4042|1363|2352|3720|2042|1079|2032|1694|2109|1046|4223|3602|2967|3055|322|2636|3134|1049|10541|1654|958|1114|2272|10691|4174|726|530|2167|3259|3291|2580|2533|2125|3966|1080|733|2053|1034|1406|3719|1301|627|2066|1811|3003|451|1758|4175|5450|678|585|2604|10088|2699|1042|1329|628|393|1759|1740|1267|2422|5382|22880|5402|6284|3277|3784|8314|3949|2583|9361|3233|3459|1933|1622|2264|1911|1481|1717|1946|3039|911|1752|1963|1875|1723|2290|507|2479|833|3983|2797|1130|3054|1350|1206|2841|4202|1613|2687|2849|3276|3915|1140|371|1668|721|4013|4820|6721|1191|964|3580|442|5462|489|4704|2110|7558|811|1409|1419|1666|877|2162|6748|3715|2939|3587|3287|8864|1802|299|617|971|671|1249|1033|7172|375|980|2217|1551|1176|6903|1643|1861|656|2094|422|4785|3866|290|976|5074|4368|1349|819|4774|5665|8205|4947|1784|1872|4694|1909|2455|563|871|766|1292|1588|6695|1645|684|1439|2901|5723|10482|21091|1496|1779|898|2635|2811|4361|2175|986|1971|586041|6.8
201511|567|3191|2699|2220|1599|1621|323|4093|3482|10027|2861|2773|1887|4328|1387|2211|8842|1782|829|2138|1434|3417|1411|3955|1906|2111|1083|597|1224|2995|1024|11081|1679|1448|1181|2297|10236|3240|765|579|1921|2153|2981|2625|2290|2042|4016|1088|597|1984|1054|1290|4529|1095|620|2960|1786|3235|420|1741|3156|14513|655|491|2435|9382|2784|874|1256|579|337|1631|1984|1273|2408|5593|20689|5095|6527|4073|3655|9174|4296|2451|7787|3217|3318|2340|1059|2416|1835|1626|1907|1836|5437|952|1730|1936|1858|1661|3009|477|1954|1123|4223|2951|16820|4313|1402|1130|2374|4639|1622|2873|2800|1953|3832|1103|267|1634|801|4103|5373|6678|1105|917|3763|421|4471|425|4431|2233|6867|741|1741|1425|1478|949|2241|6024|3750|2886|3278|4005|10894|1487|345|630|775|1372|1007|1078|6059|347|975|2219|1366|1315|7003|1386|1955|601|2177|487|4556|3948|354|1565|4673|3769|1623|894|4760|4888|17825|7063|1245|1969|4117|1369|966|524|974|679|1515|1915|11359|1722|684|1553|3106|5781|10975|20240|1389|1734|705|2649|1887|4386|2094|973|2322|618009|7.2
