Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
201608|432|4114|319|10444|127|302|1129|320|3391|5097|175|186|178|1114|761|192|264|165|517|1081|229|281|11214|4180|1628|650|1210|29737|685|270|229|420|238|81279|0.7
201607|409|3403|385|9935|138|369|1000|344|3033|2050|193|104|168|1092|834|220|227|160|458|1060|145|245|10282|3907|1492|544|1074|19293|577|205|212|362|209|64129|0.5
201606|444|3229|353|10699|134|287|1068|325|2956|3337|122|131|113|1033|728|153|225|123|393|826|144|245|10207|3751|1521|497|1014|20447|592|214|200|340|223|66074|0.6
201605|469|3689|362|11329|147|348|1182|201|3231|3028|174|129|127|1103|824|185|209|140|450|1027|156|285|11555|4231|1602|522|1317|21580|697|225|243|357|245|71369|0.6
201604|436|3477|379|12627|137|327|1180|215|3049|2732|128|147|123|1070|811|193|176|138|455|924|124|300|10737|4052|1644|594|1300|20239|669|285|178|343|275|69464|0.6
201603|375|3434|399|13038|134|344|1325|201|3236|10729|136|138|172|1053|727|218|201|151|473|1096|154|286|11537|4084|1399|540|1309|26450|703|241|239|317|271|85110|0.7
201602|438|3722|323|12001|146|339|1325|208|3167|2920|111|133|130|971|683|195|168|121|497|1008|145|312|11548|4202|1500|511|1298|20834|739|223|231|247|254|70650|0.6
201601|432|3576|413|13234|129|360|1438|202|3382|5007|130|136|98|967|769|199|182|127|536|1008|144|306|11514|4375|1496|565|1338|22560|696|238|259|270|270|76356|0.6
201512|438|3499|546|13294|254|492|1727|381|3168|5820|283|239|488|1304|788|204|227|174|681|1033|249|364|12494|4219|1406|907|1194|20603|839|419|285|377|285|78681|0.7
201511|464|3802|536|13007|276|442|1779|310|2944|3068|286|198|403|1262|867|182|233|148|752|1138|247|468|12740|4437|1626|760|1342|22946|833|370|315|403|324|78908|0.7
201510|568|4422|490|13722|215|493|1691|332|3524|3792|269|267|420|1326|853|149|287|147|687|1502|351|428|12749|4900|1867|965|1432|22353|824|413|343|403|283|82467|0.7
201509|555|5489|590|13276|269|568|1705|377|4147|3061|329|278|496|1431|992|177|290|189|832|1685|488|340|15324|4848|1830|1187|1353|22594|948|422|332|484|357|87243|0.7
201508|584|3976|570|13771|217|512|1592|381|4391|3809|328|259|458|1340|1106|158|331|155|740|1325|310|350|15225|4575|1619|812|1266|23997|799|409|339|490|336|86530|0.7
201507|658|4754|695|15948|288|542|1618|538|4732|3592|326|264|591|1456|1085|208|399|240|1031|1459|337|399|14392|5020|1966|562|1331|24794|888|443|354|484|358|91752|0.8
201506|557|3697|693|14572|229|559|1676|424|4251|3395|291|219|353|1541|844|196|251|184|642|1160|269|332|12877|4520|1707|508|1222|20904|885|360|304|339|306|80267|0.7
201505|506|3853|798|15271|150|575|1781|417|4142|3647|356|233|315|1688|1045|240|431|161|748|1213|255|340|14074|5105|2111|620|1536|24747|758|372|272|383|309|88452|0.7
201504|429|4015|665|16038|132|528|1749|355|4188|5266|250|227|310|1608|862|180|365|114|720|1085|274|412|13028|5044|1785|553|1473|25303|844|293|287|340|47|88769|0.7
201503|449|4143|670|17053|211|440|2131|330|4081|2978|268|239|318|1747|985|152|377|126|752|1030|319|458|14358|5125|1911|598|1493|27536|923|324|311|337|55|92228|0.8
201502|317|3634|556|15385|146|463|1400|302|3498|4022|200|162|272|1175|802|132|364|102|539|837|237|345|12667|4604|1509|493|1318|22955|714|210|245|263|57|79925|0.7
201501|409|4167|593|16874|150|686|1743|339|4117|3081|233|140|293|1312|920|135|322|126|727|942|249|228|13825|5017|1689|549|1418|23966|908|304|278|365|59|86164|0.7
201412|333|3959|544|14324|164|532|1392|355|3790|3178|241|151|345|1364|775|151|306|104|714|791|311|0|11796|4544|1525|614|1189|21934|785|407|234|350|52|77254|0.7
201411|358|4407|704|16439|189|777|1514|390|4235|3335|301|198|354|1516|1106|204|306|103|739|877|320|0|14768|5192|1817|724|1407|26151|781|364|271|510|61|90418|0.8
201410|367|5558|665|18298|166|697|1483|357|4805|3434|213|207|257|1438|1047|154|317|110|787|957|415|0|16206|5620|2205|768|1471|27843|828|402|292|508|56|97931|0.8
201409|412|7578|813|20868|186|839|1840|464|5832|4390|289|191|285|1831|1218|251|329|94|891|1027|481|0|19369|7570|2152|1104|1537|33648|962|367|291|578|71|117758|1
201408|410|4757|788|22596|171|854|1872|491|5915|4111|348|212|336|1931|959|253|363|79|917|1140|451|0|17086|6480|1914|712|1499|33326|1021|303|283|473|61|112112|0.9
201407|380|4535|936|23511|183|670|1680|721|5918|15485|352|140|368|2018|1121|305|389|98|887|1156|300|0|16964|6963|2002|565|1615|41197|1109|220|316|480|49|132633|1.1
201406|422|4869|769|21021|168|507|1571|487|5260|3596|297|167|262|1683|1150|207|421|124|776|783|258|0|15800|5888|1702|276|1506|28677|950|170|298|480|42|100587|0.8
201405|320|5388|1096|25130|131|606|1782|462|5908|4289|291|189|328|1699|1227|314|56|58|752|0|261|0|18076|6597|1803|108|1783|33738|1148|126|244|506|100|114516|1
201404|303|4590|948|22852|131|705|1681|524|5415|4853|396|0|343|1714|1253|219|0|44|818|0|219|0|17023|7223|1646|110|1620|32482|1053|148|235|567|89|109204|0.9
201403|429|4646|877|23398|71|581|1744|354|5329|4747|289|0|0|1544|1213|175|0|0|763|0|305|0|19409|7177|1726|133|1768|33434|1411|225|278|460|88|112574|1
201402|279|4403|649|22592|2|452|1480|299|4748|3488|183|0|0|1128|1140|125|0|0|603|0|214|0|16674|6078|1724|126|1490|31574|795|1|210|294|76|100827|0.9
201401|275|4603|547|22036|2|447|1389|283|4741|3777|202|0|0|1283|1001|138|0|0|515|0|249|0|16156|5897|1720|131|1614|30622|875|0|273|313|85|99174|0.8
201312|237|4142|624|21525|0|415|1463|264|5005|4074|170|1|0|1210|946|120|0|0|508|0|207|0|17810|6951|1625|99|1455|28106|946|3|244|257|52|98459|0.8
201311|246|5483|612|31459|2|341|1877|281|7370|3753|154|0|0|1188|1082|121|0|0|442|0|229|0|26484|9252|1618|84|1716|37023|1073|5|253|276|80|132504|1.1
