Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
201608|8|46|15|65|8|12|29|18|32|24|15|7|3|39|14|7|7|12|19|18|13|12|78|57|41|16|21|101|29|3|5|17|8|799|7.1
201607|15|43|20|80|9|10|26|12|25|22|10|1|2|41|10|9|6|8|11|20|8|13|82|43|23|13|12|77|13|9|8|10|3|694|6.1
201606|14|37|10|62|8|14|22|40|21|29|7|6|6|24|14|8|7|16|13|25|10|11|97|51|28|13|14|78|16|6|4|9|6|726|6.4
201605|12|43|18|53|10|7|50|22|32|22|17|10|6|32|12|11|9|7|24|17|15|6|80|56|33|13|12|89|21|12|10|26|10|797|7.1
201604|10|63|29|82|13|20|27|48|42|33|17|8|4|19|14|10|6|10|18|26|9|19|70|66|34|22|25|114|27|13|7|17|11|933|8.3
201603|22|58|23|91|23|25|31|38|36|35|22|14|15|27|25|25|19|14|29|32|20|17|129|77|34|21|26|100|33|17|18|27|14|1137|10.1
201602|11|34|16|38|9|14|34|52|23|19|23|17|7|24|18|14|10|6|21|20|13|7|60|54|16|35|15|61|30|6|8|17|4|736|6.5
201601|25|54|34|71|11|21|34|35|39|23|20|11|4|33|24|15|8|15|39|30|16|13|88|81|34|33|28|61|28|9|9|29|15|990|8.8
201512|14|59|23|93|6|15|22|18|26|28|16|14|7|28|18|11|10|12|18|19|9|14|107|62|32|30|34|64|29|10|10|18|7|883|7.8
201511|14|55|18|99|7|12|22|12|31|26|15|1|5|24|18|7|7|3|21|29|14|16|93|49|22|28|18|73|22|6|5|16|13|801|7.1
201510|8|46|18|74|7|10|24|16|26|27|9|7|6|22|24|6|7|3|15|17|12|18|86|51|32|22|24|91|41|7|8|15|12|791|7
201509|8|48|20|64|9|18|20|19|29|19|15|10|6|18|18|12|9|7|19|31|11|19|43|43|34|19|20|65|20|9|11|20|10|723|6.4
201508|9|40|22|42|6|24|17|30|23|22|19|7|5|19|24|10|7|6|21|26|18|10|55|38|26|10|19|58|16|7|6|18|10|670|5.9
201507|5|39|25|51|5|20|21|23|21|13|18|4|5|19|15|4|6|9|11|29|12|5|59|28|25|12|12|66|26|7|9|10|9|623|5.5
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
