Month|Views of page Blanc|Views of page Bleu|Views of page Brun (couleur)|Views of page Noir|Views of page Rose (couleur)|Views of page Rouge|Views of page Vert|Total|Percentage
201608|2402|4154|1135|2156|1431|2694|2117|16089|0.3
201607|2610|4377|1310|2273|1350|2849|2087|16856|0.3
201606|3024|5481|1431|2776|1763|3217|3149|20841|0.4
201605|3810|5918|1569|3141|1937|3903|3335|23613|0.4
201604|3854|5631|1665|3271|2133|4202|3519|24275|0.4
201603|4100|8046|1867|3667|2407|4714|4058|28859|0.5
201602|4025|5989|2106|3505|2186|4329|3627|25767|0.5
201601|4599|6966|2046|3714|2506|4852|4262|28945|0.5
201512|4525|6037|1822|3498|2314|4714|3643|26553|0.5
201511|4577|7236|1951|3788|3081|5293|4230|30156|0.5
201510|4223|7237|1925|3672|2596|4935|4464|29052|0.5
201509|3700|6401|1803|3290|2192|4502|3562|25450|0.5
201508|3339|5126|1531|3188|1701|3247|2643|20775|0.4
201507|2741|4810|1648|2623|2031|3468|3102|20423|0.4
201506|3769|6127|1883|3131|2498|4645|3780|25833|0.5
201505|10350|12985|2343|9614|3213|6111|4692|49308|0.9
201504|18360|21410|2368|17328|3108|6643|4806|74023|1.3
201503|16949|20955|3111|18733|3359|6825|5445|75377|1.4
201502|15752|12980|2791|8586|3030|5848|5129|54116|1
201501|5267|8787|2891|9267|3255|9725|5722|44914|0.8
201412|4755|6853|2932|4357|3883|6579|4784|34143|0.6
201411|5165|8312|3694|4942|5998|6834|5571|40516|0.7
201410|6551|9359|3872|6974|3595|6861|5268|42480|0.8
201409|5877|9474|3813|6479|3789|6818|5450|41700|0.8
201408|4089|6506|3198|3949|3086|4625|4301|29754|0.5
201407|4571|7285|3382|4331|3337|5320|5144|33370|0.6
201406|4560|8182|3416|4397|3815|5768|5098|35236|0.6
201405|6921|9904|4351|5937|4926|7829|6501|46369|0.8
201404|6077|10209|4562|5563|4917|7720|6401|45449|0.8
201403|6526|11039|5065|6409|5092|8933|7434|50498|0.9
201402|5989|10369|4850|5933|5164|9051|7041|48397|0.9
201401|6746|10837|5113|6045|4738|9411|7364|50254|0.9
201312|7281|11347|5709|7097|4147|9314|7738|52633|1
201311|10078|15144|7452|13273|5369|11779|9682|72777|1.3
201310|8956|14649|6893|12331|4892|10727|8580|67028|1.2
201309|6354|11261|4863|7908|3998|7803|6812|48999|0.9
201308|5755|11163|5469|9186|4072|7123|6269|49037|0.9
201307|6917|11529|6248|11215|4320|7765|7305|55299|1
201306|9285|15774|7519|14513|6074|10278|8668|72111|1.3
201305|10934|18998|7772|16543|7174|11101|10687|83209|1.5
201304|10339|18685|7724|15699|6121|7305|10598|76471|1.4
201303|10949|19729|7945|17484|6922|13630|11988|88647|1.6
201302|10872|16865|7622|16152|6324|13152|10930|81917|1.5
