Month|Views of page Blanc|Views of page Bleu|Views of page Brun (couleur)|Views of page Noir|Views of page Rose (couleur)|Views of page Rouge|Views of page Vert|Total|Percentage
201608|2162|2822|1087|1797|1070|1863|1416|12217|5.7
201607|2161|3112|991|1759|998|1706|1364|12091|5.6
201606|2579|2963|1009|2106|1128|2028|1594|13407|6.2
201605|3027|3461|1226|2265|1362|2427|1771|15539|7.2
201604|2761|3414|1475|2125|1392|2832|1984|15983|7.4
201603|2943|4217|1567|2352|1363|2771|2234|17447|8.1
201602|2867|3391|1340|2084|1377|2654|2219|15932|7.4
201601|3410|4395|1659|2390|1597|3254|2529|19234|8.9
201512|2929|3570|1482|2156|1396|2765|2184|16482|7.6
201511|3057|3974|1671|2297|1666|3074|2404|18143|8.4
201510|2838|3676|1712|2477|1412|2934|2255|17304|8
201509|2424|3735|1415|1955|117|2680|1954|14280|6.6
201508|2126|3451|1233|1845|1224|2459|1645|13983|6.5
201507|2139|3214|1206|1810|1268|2511|1670|13818|6.4
201506|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0
Total|37423|49395|19073|29418|17370|35958|27223215860|100
Percentage|17.3|22.9|8.8|13.6|8|16.7|12.6|100
