Month|Views of page Blanc|Views of page Bleu|Views of page Brun (couleur)|Views of page Noir|Views of page Rose (couleur)|Views of page Rouge|Views of page Vert|Total|Percentage
201608|31|33|29|30|28|35|30|216|7.2
201607|35|29|26|36|25|27|42|220|7.4
201606|31|32|17|26|23|29|22|180|6
201605|29|39|17|18|14|22|30|169|5.7
201604|31|42|28|24|17|38|42|222|7.4
201603|26|46|23|20|18|29|34|196|6.6
201602|18|33|15|17|20|18|22|143|4.8
201601|39|39|24|26|29|33|39|229|7.7
201512|51|38|25|27|18|27|32|218|7.3
201511|38|38|21|35|22|34|34|222|7.4
201510|45|55|17|27|16|28|35|223|7.5
201509|47|53|23|32|27|38|42|262|8.8
201508|36|38|14|19|18|26|34|185|6.2
201507|46|59|14|31|37|22|88|297|10
201506|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0
Total|503|574|293|368|312|406|526|2982|100
Percentage|16.9|19.2|9.8|12.3|10.5|13.6|17.6|100
