Month|Views of page Blau|Views of page Braun|Views of page Grün|Views of page Rot|Views of page Schwarz|Views of page Weiß|Total|Percentage
201608|4337|1465|2415|3893|3071|3168|18349|0.3
201607|4329|1495|2378|3876|3192|3265|18535|0.3
201606|5700|1679|3203|4912|3786|3992|23272|0.4
201605|5928|1835|3427|5102|3829|3907|24028|0.4
201604|6031|2022|3659|5297|5090|4270|26369|0.5
201603|6289|2387|3996|5544|5381|4328|27925|0.5
201602|6141|2995|3777|5719|4301|4457|27390|0.5
201601|7174|2493|4259|6300|4492|5388|30106|0.5
201512|5763|2265|3846|5432|4060|4149|25515|0.5
201511|7029|2399|4363|6646|4588|5075|30100|0.5
201510|6281|2364|3860|5907|4305|4661|27378|0.5
201509|6009|2241|3407|5465|3574|4511|25207|0.5
201508|4686|1817|2970|4620|3151|6207|23451|0.4
201507|4945|2001|3249|5763|3644|4333|23935|0.4
201506|6568|2496|4224|6062|4733|5228|29311|0.5
201505|7861|2715|4813|6618|5396|5245|32648|0.6
201504|6726|2793|4610|6251|5111|5409|30900|0.6
201503|7687|3166|5502|8052|6032|5944|36383|0.7
201502|6420|2778|4206|6176|5443|5171|30194|0.5
201501|9643|3558|5348|8138|5788|6562|39037|0.7
201412|6703|2964|4374|6244|5138|5276|30699|0.6
201411|7548|3210|5019|7312|5441|5608|34138|0.6
201410|7518|3392|4620|6645|5587|5879|33641|0.6
201409|7611|3504|4804|6749|5293|5975|33936|0.6
201408|6033|3199|3784|5369|4442|5143|27970|0.5
201407|6733|3040|4432|5860|5646|5903|31614|0.6
201406|7246|3073|4690|6560|5087|5766|32422|0.6
201405|9033|3442|5578|7771|6263|6363|38450|0.7
201404|8324|3362|5418|7228|5896|6272|36500|0.7
201403|9530|3622|6418|8326|6479|6979|41354|0.7
201402|9093|3532|5802|8169|6679|6773|40048|0.7
201401|9372|3996|6194|8756|6808|8909|44035|0.8
201312|7650|3310|5121|7605|5279|7265|36230|0.7
201311|9048|4730|6525|9331|7349|10119|47102|0.9
201310|8232|3784|5472|8919|8639|9624|44670|0.8
201309|8111|3425|54350|8684|5393|7696|87659|1.6
201308|6985|3234|4577|7033|4807|8195|34831|0.6
201307|6752|3279|1547|7805|5155|9538|34076|0.6
201306|8962|4004|2040|10352|7423|11912|44693|0.8
201305|6642|4378|3157|10728|8239|13011|46155|0.8
201304|3411|4528|8040|11087|9233|13956|50255|0.9
201303|9505|5119|8458|11957|12267|14115|61421|1.1
201302|10522|4969|8082|11271|12449|12996|60289|1.1
201301|13497|5736|8826|12901|10830|10853|62643|1.1
201212|10667|5236|7271|10471|9341|9187|52173|0.9
201211|13582|6185|8461|12623|12756|10905|64512|1.2
201210|19023|5611|8179|11768|12354|11962|68897|1.2
201209|11366|5170|7520|10288|11201|10226|55771|1
201208|10087|4738|6780|8806|10195|9551|50157|0.9
201207|10051|4837|7203|9712|11493|9432|52728|1
201206|11589|4916|8375|11693|10694|10851|58118|1.1
201205|12447|5078|8451|11895|10841|11107|59819|1.1
201204|10716|4811|7555|9885|9990|9411|52368|0.9
201203|12635|5503|9088|12026|11488|11274|62014|1.1
201202|13433|5121|8810|12398|12166|11309|63237|1.1
201201|15096|5746|9448|13799|13222|12221|69532|1.3
201112|10566|5122|7289|10602|10595|9674|53848|1
201111|13837|6172|9049|13152|11721|11578|65509|1.2
201110|11217|5034|7656|11021|10598|10064|55590|1
201109|8668|3801|6528|8231|7998|8878|44104|0.8
201108|9120|4291|6724|8163|8936|9791|47025|0.9
201107|9718|4322|8043|8801|6641|10948|48473|0.9
201106|10541|4360|8136|9720|7395|10625|50777|0.9
201105|12873|5122|9739|12117|8231|11996|60078|1.1
201104|10724|4538|8281|10272|6707|10950|51472|0.9
201103|12977|5419|10499|12350|8220|12439|61904|1.1
201102|10576|5239|8069|10427|6897|11235|52443|1
201101|14906|6881|14594|8632|10393|29281|84687|1.5
201012|11802|5664|12484|6426|11224|29860|77460|1.4
