Month|Views of page Blau|Views of page Braun|Views of page Grün|Views of page Rot|Views of page Schwarz|Views of page Weiß|Total|Percentage
201608|449|248|248|382|274|166|1767|7.1
201607|380|203|308|399|264|218|1772|7.1
201606|544|205|308|426|385|209|2077|8.4
201605|408|183|342|401|310|192|1836|7.4
201604|398|169|293|426|431|277|1994|8
201603|431|212|391|462|359|206|2061|8.3
201602|388|609|315|984|400|200|2896|11.6
201601|470|255|294|523|336|206|2084|8.4
201512|344|164|307|368|278|165|1626|6.5
201511|443|142|254|366|228|209|1642|6.6
201510|363|157|234|346|277|196|1573|6.3
201509|272|121|188|258|177|174|1190|4.8
201508|260|161|156|225|235|191|1228|4.9
201507|208|146|172|231|186|174|1117|4.5
201506|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0
Total|5358|2975|3810|5797|4140|2783|24863|100
Percentage|21.6|12|15.3|23.3|16.7|11.2|100
