Month|Views of page Blau|Views of page Braun|Views of page Grün|Views of page Rot|Views of page Schwarz|Views of page Weiß|Total|Percentage
201608|3131|825|1506|2333|3970|2587|14352|6
201607|3158|869|1578|2185|3732|2821|14343|6
201606|3607|844|1762|2331|3846|3194|15584|6.5
201605|4161|1063|2106|2795|4067|2751|16943|7.1
201604|4406|1209|2140|2847|4376|2828|17806|7.5
201603|4414|1401|2321|3076|4898|3010|19120|8
201602|4138|1183|2073|3006|4243|3006|17649|7.4
201601|4573|1135|2357|3257|4562|3457|19341|8.1
201512|4434|1339|2254|3239|4389|3216|18871|7.9
201511|4508|654|2232|3127|4178|3198|17897|7.5
201510|4616|1288|2249|3087|4156|2749|18145|7.6
201509|4696|1154|1876|2992|3508|2622|16848|7.1
201508|3400|1009|1618|4274|3322|2383|16006|6.7
201507|3695|944|1442|3990|3333|2381|15785|6.6
201506|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0
Total|56937|14917|27514|42539|56580|40203238690|100
Percentage|23.9|6.2|11.5|17.8|23.7|16.8|100
