Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201608|147185|192282|57915|96007|50645|17385|99938|32331|63545|57681|270505|116577|183703|144394|43623|75711|213479|103951|85483|51675|25800|247517|9589|183053|91722|5408|198696|59803|98936|137290|3161829|0.4
201607|162639|173433|53582|97247|32073|17985|142839|48099|70861|59723|195641|122803|148884|160852|41346|83955|188416|97460|81302|58907|29730|189851|9970|201145|108465|3089|410599|62491|113186|70282|3236855|0.4
201606|213862|185021|61592|82991|32860|19763|138343|200946|78796|92012|210766|109014|179228|93930|44609|88679|259904|114197|83466|55822|29161|182598|11376|229919|128294|3714|301316|68857|146495|57995|3505526|0.4
201605|239321|300678|72272|95652|36570|16920|162689|459983|84396|74167|245322|137961|216851|123028|54564|195896|293670|124193|108981|64390|31188|220005|15055|194114|112522|3127|211751|69196|249570|76263|4290295|0.5
201604|202330|251850|89986|86399|47466|17485|115267|373014|96110|84154|239745|180935|214281|117622|52796|144445|388776|127103|131273|58097|28816|252259|13455|178665|123131|3639|252314|69831|272137|86497|4299878|0.5
201603|291655|483251|98208|98620|52592|18444|127137|219358|113004|104097|316179|191176|273414|126295|47892|129786|295790|145356|106406|58060|29918|260967|13599|194763|153064|5334|249334|75253|358862|110551|4748365|0.5
201602|476325|181174|60567|290897|81454|18046|197419|300050|164940|139672|285950|135202|324595|156588|40212|116459|352283|133176|119795|73609|35008|411462|14328|207127|112023|7018|393923|125771|403665|85388|5444126|0.6
201601|619671|213585|64284|97912|65817|19840|140176|240836|139205|134959|287861|185059|357165|132301|43744|99526|295553|173311|137190|65969|49258|259176|14098|252774|255203|8640|286190|158937|281433|68861|5148534|0.6
201512|831190|259550|63250|90132|60830|20054|143907|245865|165708|138946|257548|113937|394018|130285|41892|95504|260244|158801|152268|57396|171890|165789|14890|241333|92790|6604|331767|79633|191372|47947|5025340|0.6
201511|1441200|321584|71856|100928|49903|20123|175900|316990|172814|194909|387860|137700|492018|137872|42546|130861|266153|155540|135386|57295|40777|176062|16826|225878|100160|6516|322051|76897|150118|50082|5974805|0.7
201510|767238|231620|102090|104327|46826|20786|294228|353048|218948|145353|291090|111519|282023|154282|46257|109499|274003|164188|147738|71131|32973|180904|18003|305329|98011|9178|360786|92835|94408|70248|5198869|0.6
201509|114960|325915|93936|110469|65959|26217|212496|268111|190856|128920|297359|121091|274525|147437|53245|84039|249389|236722|185633|60766|31624|166861|16319|237892|105093|11891|394663|94738|100048|70487|4477661|0.5
201508|99602|204216|85353|102124|92667|24793|201624|269366|198289|95860|332697|111965|185760|134961|53810|99544|255444|228843|219275|68169|31657|175357|13966|176821|83957|12451|395285|97727|177008|93791|4322382|0.5
201507|93055|509374|92115|112970|64069|25682|185751|239078|198751|112006|306795|150035|147694|154229|54986|114103|252286|177683|234023|91111|33801|208613|17194|202074|86874|14814|403068|102099|105861|84456|4574650|0.5
201506|90228|271785|96694|123912|73343|23675|98029|143919|259196|132427|226154|121065|148981|157339|62291|114290|240626|177373|189346|79991|44145|181604|21560|187436|89576|16767|481388|122021|107741|110400|4193302|0.5
201505|105919|312772|99713|165753|85251|28129|123293|154649|258297|158443|299892|180249|190030|180933|89776|186807|339629|162348|216241|97615|35258|222734|28204|176394|117818|20953|533628|179013|148158|121167|5019066|0.6
201504|106631|471179|86954|198950|123572|29463|127516|228991|225497|164868|306757|166994|243105|172310|279722|174267|305526|145611|231728|75424|36393|284724|35123|195314|241094|133756|429259|227543|305080|64637|5817988|0.7
201503|114718|519983|102274|260291|127745|36380|142875|247321|335888|239665|461984|183216|254654|206651|132345|236387|343083|158659|229197|86039|37960|311717|23587|208170|133811|323933|529912|121887|336871|78131|6525334|0.7
201502|122776|531844|89681|317450|31955|34830|115741|357676|488034|189395|341733|181919|174059|528582|54943|224937|353111|158112|232064|76483|35703|279128|23242|185692|157701|702584|546091|126282|28069|196702|6886519|0.8
201501|129102|472620|102131|346837|34463|34730|143046|168347|423006|161250|395580|303107|221062|270972|79393|394844|318450|208788|301057|116045|38725|228004|20299|227528|158737|597982|582391|130607|45177|61175|6715455|0.8
201412|124017|756791|103377|259390|33869|37622|166947|200780|469722|141953|440175|151503|207075|217260|68565|403886|313194|210091|502242|100405|61270|201886|20079|223899|137225|246318|647718|102467|60828|47659|6658213|0.8
201411|134834|684853|99965|166571|36508|35330|155120|180224|310913|140540|467479|176372|223085|233154|61829|423940|317567|266058|306870|145695|38185|207874|26977|290126|123218|160647|885568|93228|66516|69688|6528934|0.7
201410|152031|662293|126905|129554|35791|41856|160391|208963|318415|121143|428858|226878|218046|403072|61301|480286|361250|216125|338359|124726|41197|211332|24901|206005|171202|1|685544|170454|36023|61509|6424411|0.7
