Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201608|5298|6757|2311|1944|1292|659|4245|1394|2258|1662|8416|4417|9870|10342|3944|1572|12607|9393|5407|1535|1115|5374|947|6241|3187|311|11514|2659|5797|2461|134929|6.7
201607|6511|6573|1751|2017|1638|903|6912|1756|2504|1721|26279|10650|13094|13457|1750|3239|41731|11939|4126|1708|1176|11868|927|10650|25069|315|13295|1732|2703|1890|229884|11.4
201606|8507|8546|2071|3168|1217|798|7613|6742|2004|1682|5134|3897|9826|14555|1839|3025|10573|11547|4371|1551|1322|14344|1066|13217|11378|405|12996|3387|2162|1670|170613|8.4
201605|6292|7021|1499|5110|908|663|5970|4875|1653|1854|5694|7355|6720|16087|1917|7103|28894|9061|27824|1530|1181|10993|1143|14545|9089|263|9813|2157|2356|1596|201166|10
201604|8724|7220|3775|7957|2724|1299|6195|10056|5084|4188|16298|13387|12712|19876|7080|6306|31563|13202|9813|6602|1646|23833|1417|59124|11579|261|23392|5256|3310|3081|326960|16.2
201603|3730|6248|2934|4373|1207|740|3593|2785|2942|1902|5286|4496|9116|6192|2339|6084|9267|3787|2992|1807|1067|5941|846|3662|2753|341|10013|1626|6294|2863|117226|5.8
201602|8700|3199|1381|5238|1957|654|6971|3527|3485|2784|6418|4071|8351|7691|2453|4535|13338|5497|3111|1531|1095|9846|929|4370|2858|319|18290|3575|3851|1341|141366|7
201601|6751|3975|2571|3941|1602|981|4813|4760|2033|4690|8029|4614|8476|10495|1846|3671|11751|5169|3146|1807|1457|5475|831|5513|6442|280|9082|10030|6080|928|141239|7
201512|8884|3879|1686|3729|1726|685|2880|2471|3320|2754|7195|3193|8719|6593|1584|2606|7074|3985|4272|1295|2514|5008|862|4916|2520|265|9251|2047|2667|1388|109968|5.4
201511|11053|3369|1668|3370|1221|576|3200|4199|4048|1979|4835|2986|9188|5738|1835|2896|6861|4881|3034|1489|1412|5751|700|3518|2609|198|6939|1251|2138|936|103878|5.1
201510|5443|2946|1609|2809|998|449|3512|3496|2505|2704|3875|2709|7004|5244|1269|3650|6357|3122|3054|1252|1634|4166|507|4176|2307|182|8931|1672|1861|924|90367|4.5
201509|3771|4674|2646|3152|2730|2200|3669|4362|3261|3485|4615|3896|6677|5004|3038|3861|5950|6387|3847|2599|2080|6922|482|5122|3365|205|9477|3229|2099|969|113774|5.6
201508|1484|2595|830|613|1508|387|1521|3554|1001|1155|1803|1519|5388|4422|680|1045|2553|2491|2381|816|563|6172|467|2728|1021|231|8642|1021|3683|578|62852|3.1
201507|2103|4034|991|924|1232|610|1876|7850|2057|1480|2953|1686|3625|2172|1157|1390|3168|9157|2990|1161|896|3920|889|5666|2116|395|5735|1364|2509|859|76965|3.8
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
