Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201608|6213|8489|1722|2661|1532|526|4574|695|2132|2086|11415|6476|7589|10590|1381|3162|12696|5177|4361|2285|720|12374|291|7463|3719|112|9180|2019|3771|6298|141709|5.7
201607|7895|7543|1478|3020|995|622|8015|870|2614|2357|9126|7203|6408|12602|1470|4273|11364|5100|4501|3450|800|7965|252|10361|4620|34|20453|2325|4678|3332|155726|6.3
201606|12750|6762|1622|2998|1020|685|6154|7917|2483|3733|8276|5238|6788|7473|1468|3819|14826|5468|4013|2468|674|6350|274|9377|5898|47|17531|2304|5937|2517|156870|6.4
201605|9805|11367|1815|3982|1081|481|6606|19580|2362|2736|9080|5602|7905|8378|1765|8794|12563|5248|4674|3209|707|7213|274|7684|3710|33|7099|2014|9232|3411|168410|6.8
201604|6036|7713|2271|2505|1419|493|4109|12314|2196|2609|7901|7893|6409|6700|1363|5768|18276|4967|4555|1887|567|6779|208|5646|3177|57|8149|1775|8834|3939|146515|5.9
201603|10637|22991|2844|2976|1816|530|5117|7980|3147|3664|9497|7663|10407|7459|1609|4975|13467|6390|4572|2027|720|8491|282|7717|4680|63|8962|2121|11939|3883|178626|7.2
201602|19910|5521|1248|14422|4679|438|7496|10114|5352|4687|9553|6736|12201|8617|1365|4461|13708|5137|4289|3069|828|13553|238|8296|3626|177|14503|3589|10727|3383|201923|8.2
201601|21865|6470|1422|2972|1893|497|5863|8601|4674|6054|10158|11554|13115|10400|1561|3301|13381|6963|5134|3455|1181|9226|253|11658|3575|280|10267|5030|8963|2631|192397|7.8
201512|43354|8865|1451|2652|2082|553|5457|8342|5808|6809|9336|5214|15197|8277|1446|2976|12005|6289|5773|2169|2853|6243|255|9223|2642|226|13830|2262|6841|1742|200172|8.1
201511|69670|10964|1388|2739|1453|469|7345|10287|5438|8378|9342|7908|17109|4870|1409|6045|10234|5613|4898|1931|872|6486|354|8562|2994|199|10771|2136|5012|1905|226781|9.2
201510|26269|7332|2345|2753|1419|537|14078|12487|6446|4871|10564|4379|10735|5544|1695|4324|11416|6691|5417|2431|677|6624|227|12481|2611|264|12791|2621|2838|2599|185466|7.5
201509|3554|9978|2084|3101|2165|801|9461|11393|6504|4338|10243|4545|9876|5292|2002|2707|10254|8951|6818|1769|758|5664|251|8668|2912|381|13840|3076|3219|2679|157284|6.4
201508|3397|7227|2397|3610|3696|844|10244|11963|8963|3161|16499|5362|8248|6058|2154|3709|13638|10354|10206|2782|797|8874|276|6908|3093|428|15323|3522|6062|3535|183330|7.4
201507|3188|17591|2724|3890|1945|837|6808|10342|8175|3388|11480|6517|5758|5999|2055|3822|11360|6908|9789|3420|792|7353|378|6905|3108|593|16122|3477|3672|3914|172310|7
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
