Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Draper Richards Kaplan Foundation|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201608|618|17430|154|10924|780|775|96|858|133|1845|93|1755|6105|848|284|442|43140|0.9
201607|611|15262|123|5987|625|671|80|482|123|1655|73|1674|5561|673|239|443|34282|0.7
201606|624|17040|153|6371|679|679|85|546|121|1713|111|1778|6475|834|249|452|37910|0.8
201605|572|21758|139|7410|644|924|109|610|120|1979|105|1738|7319|926|211|564|45128|0.9
201604|606|21928|154|8057|782|725|156|735|157|1982|111|1740|7099|1075|263|353|45923|0.9
201603|596|25291|145|7601|736|726|136|654|166|1865|100|1929|7930|1106|215|366|49562|1
201602|608|24819|160|6801|941|674|109|805|168|1891|86|1720|9163|1007|222|409|49583|1
201601|678|24121|128|6885|786|661|95|916|163|1664|95|1705|7088|1103|219|343|46650|0.9
201512|767|28599|173|8831|1263|1289|191|691|188|2611|103|1684|6964|1124|290|375|55143|1.1
201511|933|24177|164|8510|755|407|160|646|186|2241|112|1860|7068|1272|315|325|49131|1
201510|904|42334|188|7403|616|313|145|678|189|2164|150|1970|6874|946|308|431|65613|1.3
201509|868|40142|184|7408|652|429|216|605|210|2465|180|2117|6642|893|304|403|63718|1.3
201508|756|49181|228|6874|991|341|178|582|165|2139|140|1721|6200|762|305|396|70959|1.4
201507|858|20507|184|7239|663|330|147|701|176|1867|136|2296|6920|946|336|389|43695|0.9
201506|1055|20011|139|6764|578|310|153|524|195|1902|151|1863|6401|1078|540|393|42057|0.9
201505|2549|26662|130|8961|648|461|158|568|250|2109|196|2244|8522|1237|482|382|55559|1.1
201504|902|31817|136|12405|922|423|185|556|254|1906|187|2130|8286|1438|453|346|62346|1.3
201503|1077|30616|154|8057|757|419|199|529|208|1955|166|2171|8280|1178|420|381|56567|1.1
201502|795|25856|141|7372|683|331|148|485|165|1706|129|2071|7046|974|352|347|48601|1
201501|860|31757|141|7432|995|654|150|394|177|1899|155|1886|8792|1171|362|354|57179|1.2
201412|753|24595|139|6369|1689|285|171|382|184|1532|138|1852|8148|907|343|399|47886|1
201411|886|26795|137|7336|679|301|179|448|200|2234|147|1943|9237|1040|629|483|52674|1.1
201410|821|31677|138|7132|910|308|181|437|226|1633|153|2240|9489|1057|1208|450|58060|1.2
201409|1330|30480|126|7284|842|328|315|489|226|2094|141|2414|10444|1087|1391|453|59444|1.2
201408|958|26197|122|5577|806|312|190|466|190|1994|141|1916|8111|949|722|302|48953|1
201407|866|21243|161|6888|774|379|195|398|213|1829|200|2061|7887|1110|757|267|45228|0.9
201406|856|21445|112|6726|714|308|193|371|241|2402|174|2303|7706|1020|757|373|45701|0.9
201405|904|31513|78|9061|776|275|187|273|193|3460|135|2390|13967|990|726|233|65161|1.3
201404|839|28067|87|10348|680|280|171|277|195|2203|159|2460|9916|1311|772|278|58043|1.2
201403|847|33132|82|12894|941|260|249|158|275|2912|184|2446|10160|1208|701|202|66651|1.4
201402|691|29570|2|10952|552|186|149|9|145|1998|130|2321|8607|965|410|102|56789|1.2
201401|832|31339|1|19684|532|222|148|7|154|1897|119|2150|8774|1387|274|77|67597|1.4
201312|812|24576|1|7395|563|243|138|4|140|1787|141|1682|7960|893|262|95|46692|0.9
201311|691|27115|1|6900|470|189|137|2|136|1843|116|2335|7809|1002|233|75|49054|1
201310|825|26755|0|6890|589|198|167|3|149|3384|162|2104|7839|881|316|85|50347|1
201309|707|26801|3|6458|758|198|142|3|284|1875|133|1827|8138|872|274|114|48587|1
201308|834|23216|4|5988|730|201|149|0|196|2488|124|1774|7912|822|242|149|44829|0.9
201307|1065|22222|3|6562|672|198|152|0|194|2212|127|1852|7338|817|289|167|43870|0.9
201306|944|26318|1|8243|493|244|148|0|169|1947|119|1990|8792|865|256|155|50684|1
201305|861|37640|4|8680|1038|214|147|1|174|1638|104|2374|10239|941|328|173|64556|1.3
201304|863|33020|2|8547|703|179|133|0|180|1516|130|2535|9483|1071|341|121|58824|1.2
201303|946|36660|2|8585|1348|202|161|0|214|1538|183|2548|9469|939|319|146|63260|1.3
201302|897|34364|1|7915|623|219|186|0|276|1574|156|2306|9773|808|294|116|59508|1.2
201301|1083|33946|3|8899|568|230|173|0|160|1630|119|2370|9808|763|371|102|60225|1.2
201212|1076|26380|0|7859|532|221|165|0|207|1485|340|2366|8990|650|295|147|50713|1
201211|1144|29439|2|9620|462|329|171|0|146|1716|29|2087|11024|819|312|123|57423|1.2
201210|1029|29800|3|10574|431|318|170|0|172|1742|31|2493|10987|812|327|162|59051|1.2
201209|938|29873|4|8072|561|232|153|0|177|1620|24|2517|8547|644|292|153|53807|1.1
201208|1087|23475|0|7664|726|187|187|0|219|1407|12|2046|7782|877|336|286|46291|0.9
201207|1061|26833|0|7771|313|235|0|0|0|1436|0|2103|10276|690|349|95|51162|1
201206|896|22751|0|7407|21|267|0|0|0|1602|0|2318|8679|664|327|121|45053|0.9
201205|952|29668|0|8001|0|294|0|0|0|1630|0|1991|8884|751|311|3|52485|1.1
201204|838|27562|0|7491|0|225|0|0|0|1502|0|2143|8083|747|269|2|48862|1
201203|922|27558|0|8530|0|248|0|0|0|1782|0|2151|9709|912|299|1|52112|1.1
201202|959|27835|0|9124|0|235|0|0|0|1667|0|2163|8406|753|341|6|51489|1
201201|1115|33444|0|7492|0|282|0|0|0|1626|0|2078|8448|891|378|1|55755|1.1
201112|1763|25142|0|6518|0|246|0|0|0|1467|0|1674|6851|612|304|9|44586|0.9
201111|861|29819|0|7578|0|264|0|0|0|1652|0|2019|8000|801|327|0|51321|1
201110|999|42267|0|7701|0|246|0|0|0|1469|0|1968|7460|762|330|1|63203|1.3
201109|668|22851|0|6167|0|192|0|0|0|1325|0|1643|7195|515|239|3|40798|0.8
201108|783|23788|0|7028|0|184|0|0|0|1422|0|1582|6129|519|287|3|41725|0.8
201107|875|20777|0|6659|0|178|0|0|0|1323|0|1772|5943|536|334|7|38404|0.8
201106|738|22178|0|6757|0|152|0|0|0|1351|0|1758|6626|536|255|3|40354|0.8
201105|752|23647|0|7017|0|125|0|0|0|1298|0|1579|7333|644|273|5|42673|0.9
201104|693|24145|0|7915|0|173|0|1|0|1309|0|1861|6862|763|301|4|44027|0.9
201103|823|31530|0|8443|0|252|0|0|0|1414|0|2115|8566|772|320|4|54239|1.1
201102|756|25303|0|8424|0|340|0|0|0|1345|0|1851|8050|701|353|4|47127|1
201101|683|24007|0|9707|0|342|0|0|0|1507|0|1969|8011|629|314|4|47173|1
201012|595|23434|0|8288|0|370|0|0|0|1371|0|1945|8097|606|304|1|45011|0.9
201011|706|24862|0|9393|0|480|0|0|0|1745|0|2210|8843|820|318|3|49380|1
201010|818|29579|0|10194|0|445|0|0|0|1862|0|2145|9423|916|358|5|55745|1.1
201009|926|22669|0|10491|0|482|0|0|0|2142|0|2764|9702|848|410|6|50440|1
201008|1153|23710|0|10442|0|574|0|0|1|2193|0|2336|9837|915|375|3|51539|1
201007|884|13095|0|6606|0|391|0|0|0|1324|0|1744|6183|1036|246|2|31511|0.6
201006|674|14800|0|6366|0|382|0|0|0|1064|0|1460|6064|894|213|1|31918|0.6
201005|831|18357|0|9261|0|537|0|0|0|1438|0|1814|8037|687|384|3|41349|0.8
201004|1019|18601|0|9212|0|585|0|0|0|1640|0|2091|8295|932|333|2|42710|0.9
201003|945|25650|0|8160|0|514|0|0|0|1674|0|2557|8490|754|315|0|49059|1
201002|642|23235|0|6023|0|309|0|0|0|992|0|1849|5751|518|257|0|39576|0.8
201001|628|27806|0|5954|0|243|0|0|0|1106|0|4121|6207|632|215|0|46912|1
200912|654|21310|0|5373|0|261|0|0|0|1209|0|1779|6215|575|183|0|37559|0.8
200911|505|25421|0|6448|0|269|0|0|0|2359|0|1995|7803|533|275|0|45608|0.9
200910|592|26365|0|6202|0|83|0|0|0|1209|0|2163|7963|477|372|0|45426|0.9
200909|543|21710|0|5736|0|35|0|0|0|1154|0|2460|8366|476|292|1|40773|0.8
200908|637|19552|0|5596|0|85|0|0|0|1322|0|1833|7315|438|332|0|37110|0.8
200907|1001|19316|0|5791|0|37|0|0|0|859|0|1702|6322|472|299|0|35799|0.7
200906|513|15009|0|5591|0|56|0|0|0|774|0|1567|6334|503|265|0|30612|0.6
200905|1214|15530|0|6284|0|54|0|0|0|836|0|1688|6664|544|290|0|33104|0.7
200904|862|14411|0|6344|0|56|0|0|0|854|0|1757|6341|508|324|0|31457|0.6
200903|574|21446|0|6822|0|56|0|0|0|907|0|2033|7085|488|339|0|39750|0.8
200902|423|19789|0|5809|0|46|0|0|0|830|0|1603|6357|385|299|0|35541|0.7
200901|477|20237|0|6556|0|89|0|0|1|822|0|1702|6923|376|240|0|37423|0.8
200812|485|18196|0|5769|0|90|0|0|0|1113|0|1248|5698|391|215|0|33205|0.7
200811|432|20347|0|6252|0|57|0|0|0|894|0|1421|6362|451|217|0|36433|0.7
200810|554|27319|0|5693|0|83|0|0|1|876|0|1441|6747|476|282|0|43472|0.9
200809|478|26344|0|5525|0|62|0|0|2|951|0|1656|6524|422|214|0|42178|0.9
200808|405|17075|0|4558|0|69|0|0|3|785|0|1640|5281|288|230|0|30334|0.6
200807|154|6915|0|1887|0|24|0|0|0|343|0|602|1981|141|127|0|12174|0.2
200806|466|25057|0|5159|0|42|0|0|0|928|0|1849|5726|393|289|0|39909|0.8
200805|539|20381|0|5632|0|24|0|0|2|1006|0|1539|6693|359|286|0|36461|0.7
200804|539|19221|0|5764|0|24|0|0|2|1113|0|1417|6399|383|227|0|35089|0.7
200803|726|24160|0|5133|0|23|0|0|0|1027|0|1310|5415|318|226|0|38338|0.8
200802|538|14525|0|4892|0|20|0|0|0|1157|0|1346|5531|289|308|0|28606|0.6
200801|511|17623|0|4988|0|22|0|0|0|1037|0|1384|6046|380|253|0|32244|0.7
200712|239|6903|0|2769|0|16|0|0|0|539|0|707|3370|213|125|0|14881|0.3
Total|84641|2628026|4337|785087|36992|30263|7903|16294|9161|168730|6450|205370|808972|81133|36294|141854923838|100
Percentage|1.7|53.4|0.1|15.9|0.8|0.6|0.2|0.3|0.2|3.4|0.1|4.2|16.4|1.6|0.7|0.3|100
