Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Chan Zuckerberg Initiative|Views of page Draper Richards Kaplan Foundation|Views of page Field Foundation of New York|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Open Philanthropy Project|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201608|223|1260|433|81|29|995|188|302|52|89|53|466|257|59|307|1026|143|124|98|6185|4.8
201607|318|1490|353|108|68|874|181|277|94|94|59|280|249|52|781|998|145|120|110|6651|5.1
201606|227|2759|531|81|0|838|231|231|60|133|61|238|158|45|282|1158|183|132|230|7578|5.8
201605|158|1256|514|109|0|764|186|234|79|166|43|327|103|41|338|985|149|90|97|5639|4.3
201604|602|5039|523|109|0|6780|203|296|105|187|163|676|179|118|1176|6820|522|206|97|23801|18.4
201603|234|2067|493|72|0|1307|205|273|56|123|36|292|82|40|351|1551|183|106|51|7522|5.8
201602|199|1899|431|79|0|1660|182|438|56|110|51|547|0|51|327|1634|175|136|60|8035|6.2
201601|230|2978|439|85|0|1913|182|578|66|100|60|778|0|59|271|1116|206|94|70|9225|7.1
201512|202|2823|1147|75|0|2746|230|945|80|77|96|1125|0|53|300|1003|207|90|83|11282|8.7
201511|156|2220|0|43|0|1694|135|150|67|66|71|642|0|45|259|748|135|73|58|6562|5.1
201510|141|19979|0|50|0|1184|97|136|53|77|62|450|0|51|248|642|117|81|78|23446|18.1
201509|180|1160|0|59|0|1043|85|115|55|53|58|505|0|46|365|714|132|90|54|4714|3.6
201508|156|682|0|77|0|1306|109|99|46|51|36|594|0|31|225|688|101|69|54|4324|3.3
201507|189|1307|0|87|0|631|86|137|30|101|42|198|0|25|594|907|231|84|86|4735|3.7
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
