Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Draper Richards Kaplan Foundation|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201608|239|14884|63|15756|193|125|21|302|26|801|22|601|4039|445|148|183|37848|10.8
201607|224|13470|57|3754|159|127|33|144|34|710|32|537|3518|384|67|215|23465|6.7
201606|241|11941|58|3662|208|100|34|223|45|654|58|589|3571|405|109|191|22089|6.3
201605|259|13817|40|4036|176|162|25|170|53|729|51|559|3998|454|327|332|25188|7.2
201604|230|13610|61|3655|196|132|26|222|46|640|27|566|3300|603|69|184|23567|6.7
201603|221|17739|69|3669|162|113|26|231|53|733|25|594|4020|466|58|136|28315|8.1
201602|232|15597|57|3324|251|184|28|206|56|664|29|568|5308|463|58|238|27263|7.8
201601|262|18097|42|4016|316|129|21|229|69|603|23|633|3546|616|65|108|28775|8.2
201512|241|16949|39|3320|321|83|37|250|33|696|29|562|3106|461|64|103|26294|7.5
201511|356|13087|23|4009|220|50|24|197|46|651|31|616|3141|565|66|113|23195|6.6
201510|334|14007|35|3418|228|39|32|228|46|654|55|568|3339|428|70|127|23608|6.7
201509|285|13048|44|3151|17|34|22|142|22|529|32|616|3170|275|65|99|21551|6.1
201508|220|11516|57|2818|381|23|36|126|32|535|30|486|2980|282|47|134|19703|5.6
201507|260|12054|30|3275|181|13|33|186|35|520|19|575|2872|287|74|72|20486|5.8
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
