Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Draper Richards Kaplan Foundation|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201608|9|423|2|244|3|6|2|11|3|23|3|13|163|17|7|9|938|9.2
201607|9|363|0|119|3|6|0|2|0|15|1|20|141|11|3|28|721|7.1
201606|9|324|0|127|4|2|0|5|0|14|1|12|150|13|0|16|677|6.7
201605|8|319|1|151|4|3|0|5|1|19|1|19|160|9|6|14|720|7.1
201604|1|281|1|104|10|4|1|4|0|9|0|12|106|10|0|3|546|5.4
201603|6|418|1|118|5|1|0|5|0|10|0|12|125|18|4|3|726|7.1
201602|7|379|1|80|12|5|1|3|0|16|2|12|137|11|3|7|676|6.7
201601|5|424|1|154|6|0|0|3|1|11|0|16|118|17|1|7|764|7.5
201512|4|545|0|132|15|4|1|1|2|7|1|20|118|14|0|4|868|8.5
201511|9|367|0|143|11|1|3|1|0|17|0|10|115|9|1|6|693|6.8
201510|11|378|1|96|10|0|1|3|1|15|1|16|111|10|0|4|658|6.5
201509|7|448|1|99|4|0|1|0|1|11|0|19|117|6|0|3|717|7.1
201508|3|391|1|120|11|0|0|5|0|21|1|21|133|4|0|4|715|7
201507|7|440|0|130|1|1|0|1|0|14|1|20|113|13|0|2|743|7.3
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
