Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Chan Zuckerberg Initiative|Views of page Draper Richards Kaplan Foundation|Views of page Field Foundation of New York|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Open Philanthropy Project|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201608|23|120|32|10|1|143|17|19|11|10|11|42|6|11|25|61|18|48|22|630|8.4
201607|25|101|19|7|3|62|16|22|6|14|11|48|5|7|16|52|8|12|24|458|6.1
201606|22|87|35|13|0|62|16|18|9|15|13|22|3|8|25|65|15|15|21|464|6.2
201605|21|115|18|14|0|68|18|16|7|12|10|18|6|13|15|107|35|11|202|706|9.4
201604|33|123|53|8|0|129|16|14|11|11|14|43|5|10|37|84|18|12|16|637|8.4
201603|38|111|87|14|0|83|40|15|6|14|10|37|4|7|46|78|33|18|13|654|8.7
201602|20|69|32|8|0|73|12|18|6|13|5|22|0|6|28|75|11|10|9|417|5.5
201601|31|116|67|6|0|82|14|21|7|12|9|32|0|6|40|99|20|10|9|581|7.7
201512|39|115|101|10|0|74|20|27|6|12|8|31|0|5|36|102|11|13|11|621|8.2
201511|15|121|0|7|0|68|21|7|10|13|11|37|0|8|33|92|19|7|10|479|6.4
201510|28|115|0|10|0|78|23|5|5|10|3|67|0|5|37|109|16|18|8|537|7.1
201509|27|98|0|11|0|69|11|9|2|21|8|30|0|13|39|142|18|11|7|516|6.8
201508|20|89|0|18|0|53|18|12|13|12|12|19|0|7|29|73|10|16|15|416|5.5
201507|18|102|0|2|0|68|10|6|7|7|7|38|0|4|26|111|15|2|4|427|5.7
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
