Month|Views of page C (programming language)|Views of page C++|Views of page Erlang|Views of page Hack (programming language)|Views of page Java (programming language)|Views of page Perl|Views of page PHP|Views of page Python (programming language)|Views of page Scala (programming language)|Total|Percentage
201608|1615|1142|27|56|1427|372|1027|2301|398|8365|7.6
201607|1457|1172|45|58|1394|388|1020|2200|399|8133|7.4
201606|1256|1089|29|62|1607|355|970|2086|578|8032|7.3
201605|1337|1174|31|34|1557|363|1165|2199|425|8285|7.5
201604|1000|968|19|44|1145|278|868|1662|372|6356|5.8
201603|1328|1256|35|65|1640|410|1103|2202|402|8441|7.7
201602|1300|1243|54|50|1551|333|1212|1830|338|7911|7.2
201601|1563|1330|50|63|1909|334|890|1784|298|8221|7.5
201512|1577|1382|40|76|1736|374|940|1797|307|8229|7.5
201511|1480|1264|48|54|1730|307|966|1647|344|7840|7.1
201510|1363|1285|55|53|1569|318|881|1563|296|7383|6.7
201509|1568|1339|68|64|1684|284|935|1670|310|7922|7.2
201508|1560|1369|36|71|1534|277|940|1642|325|7754|7
201507|1280|1185|52|72|1488|279|920|1564|306|7146|6.5
201506|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0|0
