Month|Views of page Human penis|Views of page Penis|Views of page Vagina|Total|Percentage
201608|63428|42835|70890|177153|0.2
201607|63671|43203|70520|177394|0.2
201606|66264|49145|78166|193575|0.2
201605|72382|57291|93547|223220|0.3
201604|73576|53731|94731|222038|0.2
201603|75090|56527|98014|229631|0.3
201602|75666|56350|92361|224377|0.3
201601|81289|61110|99962|242361|0.3
201512|75951|67417|94520|237888|0.3
201511|79033|68744|95317|243094|0.3
201510|77318|56819|95698|229835|0.3
201509|73186|80179|91954|245319|0.3
201508|74083|59786|93438|227307|0.3
201507|76140|51626|98863|226629|0.3
201506|84527|56904|109526|250957|0.3
201505|94445|69595|150716|314756|0.4
201504|89665|66948|124980|281593|0.3
201503|108840|78418|140890|328148|0.4
201502|85473|78404|130707|294584|0.3
201501|89519|90257|140320|320096|0.4
201412|87962|94415|144644|327021|0.4
201411|89130|99408|162927|351465|0.4
201410|110383|107559|174493|392435|0.4
201409|126906|117795|191386|436087|0.5
201408|142903|125770|217109|485782|0.5
201407|132512|122181|205773|460466|0.5
201406|142497|130603|215550|488650|0.5
201405|148483|148257|244984|541724|0.6
201404|148517|154065|246789|549371|0.6
201403|154179|176568|266533|597280|0.7
201402|147943|162276|252350|562569|0.6
201401|177091|189915|282771|649777|0.7
201312|149627|187257|263057|599941|0.7
201311|142012|251340|262833|656185|0.7
201310|133053|246418|247835|627306|0.7
201309|138821|200934|250908|590663|0.7
201308|156172|238384|265450|660006|0.7
201307|158920|258075|279449|696444|0.8
201306|176512|231029|342234|749775|0.8
201305|188441|175936|418770|783147|0.9
201304|186564|167045|360773|714382|0.8
201303|229579|275510|440845|945934|1.1
201302|208736|251384|390773|850893|1
201301|206357|280492|446147|932996|1
201212|214730|274810|448972|938512|1.1
201211|202505|271084|438764|912353|1
201210|207083|271598|458134|936815|1.1
201209|197995|252852|437277|888124|1
201208|204273|266684|456000|926957|1
201207|188541|282324|463838|934703|1.1
201206|149617|306380|484495|940492|1.1
201205|125591|337812|493069|956472|1.1
201204|91691|313816|440511|846018|1
201203|98125|347747|477758|923630|1
201202|113671|381029|603473|1098173|1.2
201201|131683|424481|639469|1195633|1.3
201112|107452|346969|468739|923160|1
201111|127929|393119|525349|1046397|1.2
201110|131800|369872|482252|983924|1.1
201109|110193|313431|419063|842687|0.9
201108|136110|366049|476235|978394|1.1
201107|148923|407413|523377|1079713|1.2
201106|138736|405551|539117|1083404|1.2
201105|147538|438706|543828|1130072|1.3
201104|142806|433765|539650|1116221|1.3
201103|145804|467300|563397|1176501|1.3
201102|114076|450179|540220|1104475|1.2
201101|106824|441738|631041|1179603|1.3
201012|91587|414375|613522|1119484|1.3
201011|6533|598223|638815|1243571|1.4
201010|6801|665165|664779|1336745|1.5
201009|6805|608945|669096|1284846|1.4
201008|7430|567204|693399|1268033|1.4
201007|5540|479495|498186|983221|1.1
201006|7116|482485|474808|964409|1.1
201005|9664|683504|679822|1372990|1.5
201004|8633|611036|687909|1307578|1.5
201003|2177|482748|721707|1206632|1.4
201002|1619|587055|658161|1246835|1.4
201001|1796|628403|682275|1312474|1.5
200912|1815|626864|691592|1320271|1.5
200911|1547|621878|683962|1307387|1.5
200910|1682|626377|714869|1342928|1.5
200909|1535|579563|614164|1195262|1.3
200908|1737|670213|817028|1488978|1.7
200907|1790|682230|755791|1439811|1.6
200906|1835|644171|692293|1338299|1.5
200905|2086|630047|703183|1335316|1.5
200904|1865|582498|652443|1236806|1.4
200903|1790|621022|706367|1329179|1.5
200902|1668|586500|629695|1217863|1.4
200901|1472|609955|590976|1202403|1.4
200812|1359|580923|615971|1198253|1.3
200811|1487|605826|644413|1251726|1.4
200810|1433|600589|629135|1231157|1.4
200809|1267|589151|603993|1194411|1.3
200808|1294|599345|597488|1198127|1.3
200807|405|219801|225531|445737|0.5
200806|1207|669950|638279|1309436|1.5
200805|1469|810785|727783|1540037|1.7
200804|1245|642291|593163|1236699|1.4
200803|1110|610259|545130|1156499|1.3
200802|949|618931|544609|1164489|1.3
200801|1030|608602|533817|1143449|1.3
200712|562|419217|350432|770211|0.9
Total|8937882|36068240|4391811788924239|100
Percentage|10.1|40.6|49.4|100
