Month|Views of page Human penis|Views of page Penis|Views of page Vagina|Total|Percentage
201608|2352|2991|2255|7598|7.8
201607|2055|2403|1689|6147|6.3
201606|1987|2238|2112|6337|6.5
201605|2048|2570|3024|7642|7.9
201604|2302|2143|3319|7764|8
201603|6388|6042|8389|20819|21.4
201602|2023|2412|5953|10388|10.7
201601|1467|2042|2929|6438|6.6
201512|1365|1932|1806|5103|5.3
201511|1306|1743|1914|4963|5.1
201510|1367|1439|2176|4982|5.1
201509|1022|1070|1170|3262|3.4
201508|540|862|852|2254|2.3
201507|1179|1027|1250|3456|3.6
201506|0|0|0|0|0
201505|0|0|0|0|0
201504|0|0|0|0|0
201503|0|0|0|0|0
201502|0|0|0|0|0
201501|0|0|0|0|0
201412|0|0|0|0|0
201411|0|0|0|0|0
201410|0|0|0|0|0
201409|0|0|0|0|0
201408|0|0|0|0|0
201407|0|0|0|0|0
201406|0|0|0|0|0
201405|0|0|0|0|0
201404|0|0|0|0|0
201403|0|0|0|0|0
201402|0|0|0|0|0
201401|0|0|0|0|0
201312|0|0|0|0|0
201311|0|0|0|0|0
201310|0|0|0|0|0
201309|0|0|0|0|0
201308|0|0|0|0|0
201307|0|0|0|0|0
201306|0|0|0|0|0
201305|0|0|0|0|0
201304|0|0|0|0|0
201303|0|0|0|0|0
201302|0|0|0|0|0
201301|0|0|0|0|0
201212|0|0|0|0|0
201211|0|0|0|0|0
201210|0|0|0|0|0
201209|0|0|0|0|0
201208|0|0|0|0|0
201207|0|0|0|0|0
201206|0|0|0|0|0
201205|0|0|0|0|0
201204|0|0|0|0|0
201203|0|0|0|0|0
201202|0|0|0|0|0
201201|0|0|0|0|0
201112|0|0|0|0|0
201111|0|0|0|0|0
201110|0|0|0|0|0
201109|0|0|0|0|0
201108|0|0|0|0|0
201107|0|0|0|0|0
201106|0|0|0|0|0
201105|0|0|0|0|0
201104|0|0|0|0|0
201103|0|0|0|0|0
201102|0|0|0|0|0
201101|0|0|0|0|0
201012|0|0|0|0|0
201011|0|0|0|0|0
201010|0|0|0|0|0
201009|0|0|0|0|0
201008|0|0|0|0|0
201007|0|0|0|0|0
201006|0|0|0|0|0
201005|0|0|0|0|0
201004|0|0|0|0|0
201003|0|0|0|0|0
201002|0|0|0|0|0
201001|0|0|0|0|0
200912|0|0|0|0|0
200911|0|0|0|0|0
200910|0|0|0|0|0
200909|0|0|0|0|0
200908|0|0|0|0|0
200907|0|0|0|0|0
200906|0|0|0|0|0
200905|0|0|0|0|0
200904|0|0|0|0|0
200903|0|0|0|0|0
200902|0|0|0|0|0
200901|0|0|0|0|0
200812|0|0|0|0|0
200811|0|0|0|0|0
200810|0|0|0|0|0
200809|0|0|0|0|0
200808|0|0|0|0|0
200807|0|0|0|0|0
200806|0|0|0|0|0
200805|0|0|0|0|0
200804|0|0|0|0|0
200803|0|0|0|0|0
200802|0|0|0|0|0
200801|0|0|0|0|0
200712|0|0|0|0|0
Total|27401|30914|38838|97153|100
Percentage|28.2|31.8|40|100
