Month|Views of page Human penis|Views of page Penis|Views of page Vagina|Total|Percentage
201608|167986|84197|215018|467201|7
201607|175512|85112|213400|474024|7.1
201606|174802|86369|216514|477685|7.1
201605|178352|86466|234098|498916|7.4
201604|174282|84256|220998|479536|7.2
201603|176978|88885|222064|487927|7.3
201602|171973|86262|211221|469456|7
201601|188368|96508|229583|514459|7.7
201512|184770|91914|228177|504861|7.5
201511|177951|86955|214210|479116|7.2
201510|175711|81055|214142|470908|7
201509|164122|73444|199359|436925|6.5
201508|170189|76187|210686|457062|6.8
201507|174451|80693|224105|479249|7.2
201506|0|0|0|0|0
201505|0|0|0|0|0
201504|0|0|0|0|0
201503|0|0|0|0|0
201502|0|0|0|0|0
201501|0|0|0|0|0
201412|0|0|0|0|0
201411|0|0|0|0|0
201410|0|0|0|0|0
201409|0|0|0|0|0
201408|0|0|0|0|0
201407|0|0|0|0|0
201406|0|0|0|0|0
201405|0|0|0|0|0
201404|0|0|0|0|0
201403|0|0|0|0|0
201402|0|0|0|0|0
201401|0|0|0|0|0
201312|0|0|0|0|0
201311|0|0|0|0|0
201310|0|0|0|0|0
201309|0|0|0|0|0
201308|0|0|0|0|0
201307|0|0|0|0|0
201306|0|0|0|0|0
201305|0|0|0|0|0
201304|0|0|0|0|0
201303|0|0|0|0|0
201302|0|0|0|0|0
201301|0|0|0|0|0
201212|0|0|0|0|0
201211|0|0|0|0|0
201210|0|0|0|0|0
201209|0|0|0|0|0
201208|0|0|0|0|0
201207|0|0|0|0|0
201206|0|0|0|0|0
201205|0|0|0|0|0
201204|0|0|0|0|0
201203|0|0|0|0|0
201202|0|0|0|0|0
201201|0|0|0|0|0
201112|0|0|0|0|0
201111|0|0|0|0|0
201110|0|0|0|0|0
201109|0|0|0|0|0
201108|0|0|0|0|0
201107|0|0|0|0|0
201106|0|0|0|0|0
201105|0|0|0|0|0
201104|0|0|0|0|0
201103|0|0|0|0|0
201102|0|0|0|0|0
201101|0|0|0|0|0
201012|0|0|0|0|0
201011|0|0|0|0|0
201010|0|0|0|0|0
201009|0|0|0|0|0
201008|0|0|0|0|0
201007|0|0|0|0|0
201006|0|0|0|0|0
201005|0|0|0|0|0
201004|0|0|0|0|0
201003|0|0|0|0|0
201002|0|0|0|0|0
201001|0|0|0|0|0
200912|0|0|0|0|0
200911|0|0|0|0|0
200910|0|0|0|0|0
200909|0|0|0|0|0
200908|0|0|0|0|0
200907|0|0|0|0|0
200906|0|0|0|0|0
200905|0|0|0|0|0
200904|0|0|0|0|0
200903|0|0|0|0|0
200902|0|0|0|0|0
200901|0|0|0|0|0
200812|0|0|0|0|0
200811|0|0|0|0|0
200810|0|0|0|0|0
200809|0|0|0|0|0
200808|0|0|0|0|0
200807|0|0|0|0|0
200806|0|0|0|0|0
200805|0|0|0|0|0
200804|0|0|0|0|0
200803|0|0|0|0|0
200802|0|0|0|0|0
200801|0|0|0|0|0
200712|0|0|0|0|0
Total|2455447|1188303|30535756697325|100
Percentage|36.7|17.7|45.6|100
