Month|Views of page Human penis|Views of page Penis|Views of page Vagina|Total|Percentage
201608|3916|4098|7562|15576|6.6
201607|3906|4330|7913|16149|6.8
201606|3859|4299|7700|15858|6.7
201605|4074|4461|8345|16880|7.1
201604|3523|3492|6404|13419|5.7
201603|4116|4742|8351|17209|7.3
201602|3903|4523|7839|16265|6.9
201601|4660|5514|9285|19459|8.2
201512|4408|6077|9406|19891|8.4
201511|4434|5534|8978|18946|8
201510|4110|4855|8174|17139|7.2
201509|1841|5073|7992|14906|6.3
201508|4170|5398|8489|18057|7.6
201507|3853|5289|7935|17077|7.2
201506|0|0|0|0|0
201505|0|0|0|0|0
201504|0|0|0|0|0
201503|0|0|0|0|0
201502|0|0|0|0|0
201501|0|0|0|0|0
201412|0|0|0|0|0
201411|0|0|0|0|0
201410|0|0|0|0|0
201409|0|0|0|0|0
201408|0|0|0|0|0
201407|0|0|0|0|0
201406|0|0|0|0|0
201405|0|0|0|0|0
201404|0|0|0|0|0
201403|0|0|0|0|0
201402|0|0|0|0|0
201401|0|0|0|0|0
201312|0|0|0|0|0
201311|0|0|0|0|0
201310|0|0|0|0|0
201309|0|0|0|0|0
201308|0|0|0|0|0
201307|0|0|0|0|0
201306|0|0|0|0|0
201305|0|0|0|0|0
201304|0|0|0|0|0
201303|0|0|0|0|0
201302|0|0|0|0|0
201301|0|0|0|0|0
201212|0|0|0|0|0
201211|0|0|0|0|0
201210|0|0|0|0|0
201209|0|0|0|0|0
201208|0|0|0|0|0
201207|0|0|0|0|0
201206|0|0|0|0|0
201205|0|0|0|0|0
201204|0|0|0|0|0
201203|0|0|0|0|0
201202|0|0|0|0|0
201201|0|0|0|0|0
201112|0|0|0|0|0
201111|0|0|0|0|0
201110|0|0|0|0|0
201109|0|0|0|0|0
201108|0|0|0|0|0
201107|0|0|0|0|0
201106|0|0|0|0|0
201105|0|0|0|0|0
201104|0|0|0|0|0
201103|0|0|0|0|0
201102|0|0|0|0|0
201101|0|0|0|0|0
201012|0|0|0|0|0
201011|0|0|0|0|0
201010|0|0|0|0|0
201009|0|0|0|0|0
201008|0|0|0|0|0
201007|0|0|0|0|0
201006|0|0|0|0|0
201005|0|0|0|0|0
201004|0|0|0|0|0
201003|0|0|0|0|0
201002|0|0|0|0|0
201001|0|0|0|0|0
200912|0|0|0|0|0
200911|0|0|0|0|0
200910|0|0|0|0|0
200909|0|0|0|0|0
200908|0|0|0|0|0
200907|0|0|0|0|0
200906|0|0|0|0|0
200905|0|0|0|0|0
200904|0|0|0|0|0
200903|0|0|0|0|0
200902|0|0|0|0|0
200901|0|0|0|0|0
200812|0|0|0|0|0
200811|0|0|0|0|0
200810|0|0|0|0|0
200809|0|0|0|0|0
200808|0|0|0|0|0
200807|0|0|0|0|0
200806|0|0|0|0|0
200805|0|0|0|0|0
200804|0|0|0|0|0
200803|0|0|0|0|0
200802|0|0|0|0|0
200801|0|0|0|0|0
200712|0|0|0|0|0
Total|54773|67685|114373236831|100
Percentage|23.1|28.6|48.3|100
