Month|Views of page Human penis|Views of page Penis|Views of page Vagina|Total|Percentage
201608|244|213|317|774|5.7
201607|271|210|276|757|5.6
201606|288|1329|364|1981|14.7
201605|337|661|503|1501|11.1
201604|752|184|484|1420|10.5
201603|264|756|532|1552|11.5
201602|223|156|495|874|6.5
201601|198|225|628|1051|7.8
201512|393|159|274|826|6.1
201511|262|191|424|877|6.5
201510|205|182|341|728|5.4
201509|131|107|198|436|3.2
201508|72|82|115|269|2
201507|136|100|213|449|3.3
201506|0|0|0|0|0
201505|0|0|0|0|0
201504|0|0|0|0|0
201503|0|0|0|0|0
201502|0|0|0|0|0
201501|0|0|0|0|0
201412|0|0|0|0|0
201411|0|0|0|0|0
201410|0|0|0|0|0
201409|0|0|0|0|0
201408|0|0|0|0|0
201407|0|0|0|0|0
201406|0|0|0|0|0
201405|0|0|0|0|0
201404|0|0|0|0|0
201403|0|0|0|0|0
201402|0|0|0|0|0
201401|0|0|0|0|0
201312|0|0|0|0|0
201311|0|0|0|0|0
201310|0|0|0|0|0
201309|0|0|0|0|0
201308|0|0|0|0|0
201307|0|0|0|0|0
201306|0|0|0|0|0
201305|0|0|0|0|0
201304|0|0|0|0|0
201303|0|0|0|0|0
201302|0|0|0|0|0
201301|0|0|0|0|0
201212|0|0|0|0|0
201211|0|0|0|0|0
201210|0|0|0|0|0
201209|0|0|0|0|0
201208|0|0|0|0|0
201207|0|0|0|0|0
201206|0|0|0|0|0
201205|0|0|0|0|0
201204|0|0|0|0|0
201203|0|0|0|0|0
201202|0|0|0|0|0
201201|0|0|0|0|0
201112|0|0|0|0|0
201111|0|0|0|0|0
201110|0|0|0|0|0
201109|0|0|0|0|0
201108|0|0|0|0|0
201107|0|0|0|0|0
201106|0|0|0|0|0
201105|0|0|0|0|0
201104|0|0|0|0|0
201103|0|0|0|0|0
201102|0|0|0|0|0
201101|0|0|0|0|0
201012|0|0|0|0|0
201011|0|0|0|0|0
201010|0|0|0|0|0
201009|0|0|0|0|0
201008|0|0|0|0|0
201007|0|0|0|0|0
201006|0|0|0|0|0
201005|0|0|0|0|0
201004|0|0|0|0|0
201003|0|0|0|0|0
201002|0|0|0|0|0
201001|0|0|0|0|0
200912|0|0|0|0|0
200911|0|0|0|0|0
200910|0|0|0|0|0
200909|0|0|0|0|0
200908|0|0|0|0|0
200907|0|0|0|0|0
200906|0|0|0|0|0
200905|0|0|0|0|0
200904|0|0|0|0|0
200903|0|0|0|0|0
200902|0|0|0|0|0
200901|0|0|0|0|0
200812|0|0|0|0|0
200811|0|0|0|0|0
200810|0|0|0|0|0
200809|0|0|0|0|0
200808|0|0|0|0|0
200807|0|0|0|0|0
200806|0|0|0|0|0
200805|0|0|0|0|0
200804|0|0|0|0|0
200803|0|0|0|0|0
200802|0|0|0|0|0
200801|0|0|0|0|0
200712|0|0|0|0|0
Total|3776|4555|5164|13495|100
Percentage|28|33.8|38.3|100
