Month|Views of page 2011 Norway attacks|Views of page 2011 Tucson shooting|Views of page 2012 Aurora shooting|Views of page 2016 Orlando nightclub shooting|Views of page Anders Behring Breivik|Views of page Chardon High School shooting|Views of page Charles Whitman|Views of page Charleston church shooting|Views of page Columbine High School massacre|Views of page Dylann Roof|Views of page Eric Harris and Dylan Klebold|Views of page James Holmes (mass murderer)|Views of page Jared Lee Loughner|Views of page National Rifle Association|Views of page Omar Mateen|Views of page Sandy Hook Elementary School shooting|Views of page Seung-Hui Cho|Views of page Virginia Tech shooting|Total|Percentage
201608|15860|9971|19396|55868|27598|11765|87300|19331|71375|43907|37342|18755|10999|19037|19934|47814|14700|17832|548784|0.7
201607|55882|13397|27948|129527|95723|11388|43058|30337|71518|30582|38448|21375|14645|28549|42171|65788|18862|24679|763877|1
201606|59149|20582|52218|918963|60415|18264|41458|52923|134250|51718|58843|35389|17981|54827|303372|191308|52935|81911|2206506|2.9
201605|20880|10164|24110|0|33858|11909|22217|24245|105133|39088|49991|25656|12175|30649|0|64263|21541|29331|525210|0.7
201604|36075|8210|24062|0|82215|13295|37765|19057|134166|19447|55853|22728|10463|25686|0|86586|25850|39483|640941|0.9
201603|47373|15338|25471|0|114454|16258|25530|21443|104133|20212|49280|27330|19266|32198|0|77220|23424|31279|650209|0.9
201602|19065|9374|24005|0|30516|24742|24722|22550|178049|19167|127071|22496|11061|26086|0|87111|28641|46246|700902|0.9
201601|22395|14850|23013|0|37629|13663|20966|26517|83270|21571|37515|20236|15525|40236|0|120045|21669|28744|547844|0.7
201512|35358|13827|39655|0|44861|15173|97807|49886|112418|35275|45586|24459|14217|57868|0|224788|38259|63505|912942|1.2
201511|50708|9820|34913|0|78147|12169|38789|48234|108213|26489|96458|28071|12007|48016|0|96868|27215|35997|752114|1
201510|42845|14202|41748|0|59356|18927|43294|53565|160809|27371|64049|0|17313|80817|0|175524|55655|75203|930678|1.2
201509|27925|9954|37328|0|46055|25466|52854|73721|98862|35563|41753|0|14620|49641|0|80829|28912|35730|659213|0.9
201508|33665|9489|58263|0|52221|14962|35324|65748|82715|40205|39759|0|12625|29091|0|91030|51941|49914|666952|0.9
201507|40180|9743|68720|0|65208|17110|30654|109748|73251|92759|33346|0|16632|17711|0|77932|23413|26890|703297|0.9
201506|38929|10989|43278|0|48488|29029|275027|423060|88497|91305|39364|0|18429|22945|0|109846|29762|37378|1306326|1.7
201505|26749|9361|45142|0|39172|20546|31653|0|103488|0|40116|0|21304|22522|0|80766|24651|32868|498338|0.7
