Month|Views of page 2011 Norway attacks|Views of page 2011 Tucson shooting|Views of page 2012 Aurora shooting|Views of page 2016 Orlando nightclub shooting|Views of page Anders Behring Breivik|Views of page Chardon High School shooting|Views of page Charles Whitman|Views of page Charleston church shooting|Views of page Columbine High School massacre|Views of page Dylann Roof|Views of page Eric Harris and Dylan Klebold|Views of page James Holmes (mass murderer)|Views of page Jared Lee Loughner|Views of page National Rifle Association|Views of page Omar Mateen|Views of page Sandy Hook Elementary School shooting|Views of page Seung-Hui Cho|Views of page Virginia Tech shooting|Total|Percentage
201608|15083|10891|21155|47175|27309|13583|83547|21424|105731|65964|51480|23205|10466|16971|17338|65719|14194|19877|631112|5.8
201607|59274|20902|28330|126048|109829|14402|55538|36647|109468|43981|53461|25222|17426|26002|31851|99227|19099|31580|908287|8.3
201606|51046|17674|75806|621120|59949|25362|52957|58671|220433|62643|82036|43118|14399|46588|217355|277474|50325|95631|2072587|19
201605|15778|9284|21687|0|25242|13029|24488|19373|118848|43318|61016|29024|9268|18665|0|69244|16766|25935|520965|4.8
201604|23585|6451|20969|0|59291|14452|44135|14619|173418|17891|76860|22374|7370|14465|0|86624|21395|40697|644596|5.9
201603|34443|14828|25846|0|91971|18643|27666|16359|127488|16502|65104|30781|15214|21062|0|74674|18790|28968|628339|5.8
201602|12277|7001|22995|0|18493|42915|32090|16076|320267|16137|221424|26009|7360|14541|0|86648|24141|38328|906702|8.3
201601|15433|13260|21435|0|25020|16306|23682|22527|105607|19980|46421|20644|11386|26915|0|129701|17935|27502|543754|5
201512|24098|9298|37835|0|29664|14806|69769|25238|135245|26964|52654|24637|9544|27775|0|250773|28608|54269|821177|7.5
201511|42110|6072|31089|0|52941|11038|29730|23170|114022|21669|81720|25156|6176|15665|0|89693|19463|29115|598829|5.5
201510|32129|8138|36710|0|45860|17029|39907|37672|192507|21245|68461|0|9587|31325|0|169057|40052|69105|818784|7.5
201509|17988|6039|34695|0|27535|1585|24012|29290|117116|28172|42347|0|8211|9532|0|77245|21203|31911|476881|4.4
201508|23300|7294|63647|0|32112|15434|24020|51219|110581|35869|44016|0|9323|11252|0|103401|40997|54800|627265|5.7
201507|30166|6223|80781|0|45796|17382|37012|105106|96824|101668|38404|0|9045|8810|0|96317|18308|27654|719496|6.6
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
