Month|Views of page 2011 Norway attacks|Views of page 2011 Tucson shooting|Views of page 2012 Aurora shooting|Views of page 2016 Orlando nightclub shooting|Views of page Anders Behring Breivik|Views of page Chardon High School shooting|Views of page Charles Whitman|Views of page Charleston church shooting|Views of page Columbine High School massacre|Views of page Dylann Roof|Views of page Eric Harris and Dylan Klebold|Views of page James Holmes (mass murderer)|Views of page Jared Lee Loughner|Views of page National Rifle Association|Views of page Omar Mateen|Views of page Sandy Hook Elementary School shooting|Views of page Seung-Hui Cho|Views of page Virginia Tech shooting|Total|Percentage
201608|138|166|151|186|198|42|303|153|304|165|140|69|104|113|79|176|84|76|2647|5.7
201607|555|100|106|539|585|64|288|162|231|96|133|80|79|132|102|190|88|99|3629|7.8
201606|284|156|245|771|5573|79|267|293|338|179|145|76|63|129|319|427|152|190|9686|20.9
201605|158|65|96|0|149|54|142|96|381|69|109|62|46|90|0|172|69|81|1839|4
201604|208|82|1411|0|198|62|139|147|530|71|142|83|64|120|0|285|82|93|3717|8
201603|247|80|4435|0|340|68|108|185|269|85|158|225|70|125|0|361|60|84|6900|14.9
201602|315|111|556|0|105|74|156|110|398|33|310|51|49|72|0|367|48|98|2853|6.1
201601|173|85|120|0|152|48|127|197|340|71|110|63|61|132|0|276|88|99|2142|4.6
201512|215|130|171|0|164|60|218|320|292|151|129|48|62|172|0|495|75|102|2804|6
201511|254|84|182|0|300|52|112|197|314|1052|122|38|49|138|0|351|91|62|3398|7.3
201510|215|82|151|0|124|68|159|258|397|102|159|0|65|169|0|305|106|114|2474|5.3
201509|92|90|82|0|130|72|70|162|227|51|92|0|46|85|0|166|66|50|1481|3.2
201508|82|75|98|0|110|29|80|124|162|47|66|0|56|75|0|128|49|57|1238|2.7
201507|186|100|114|0|115|46|84|205|210|98|76|0|53|97|0|169|49|44|1646|3.5
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
