Month|Views of page Azul|Views of page Blanco|Views of page Marrón|Views of page Negro (color)|Views of page Rojo|Views of page Verde|Total|Percentage
201608|8507|3166|3108|4562|6001|6912|32256|0.6
201607|6699|2698|2574|4381|5384|4400|26136|0.5
201606|7577|3018|3135|4342|6434|4643|29149|0.5
201605|9129|4004|3267|5353|7484|5443|34680|0.6
201604|9245|4031|3385|5210|7873|5605|35349|0.6
201603|7961|3947|3467|5107|6833|5253|32568|0.6
201602|7798|3899|3279|4995|6958|5675|32604|0.6
201601|6819|3185|3177|4080|5545|4307|27113|0.5
201512|5745|2928|3049|3734|5139|3767|24362|0.4
201511|8652|4388|3979|5640|8185|5749|36593|0.6
201510|8821|4693|4228|5953|9496|6265|39456|0.7
201509|8218|2845|3802|5329|8527|5842|34563|0.6
201508|7690|753|3627|4803|7006|5208|29087|0.5
201507|10030|687|3851|4608|5986|4921|30083|0.5
201506|11787|884|4885|5947|7187|5780|36470|0.6
201505|10743|1083|5623|7650|9571|7181|41851|0.7
201504|10402|1010|5551|6484|9233|6863|39543|0.7
201503|10382|1054|5806|8279|10316|7897|43734|0.8
201502|9626|1096|4628|6085|8940|7607|37982|0.7
201501|8084|900|4397|4921|6951|6250|31503|0.6
201412|7495|846|4363|4712|6992|5393|29801|0.5
201411|9893|1103|5707|6984|17777|41592|83056|1.5
201410|11928|1196|6253|7537|11931|8826|47671|0.8
201409|12736|1168|6284|7746|12910|9241|50085|0.9
201408|10679|1162|5092|6253|9044|6787|39017|0.7
201407|10482|1075|5168|5917|9859|6764|39265|0.7
201406|11953|1140|5801|6745|10810|8276|44725|0.8
201405|14478|1291|6504|8193|12626|10210|53302|0.9
201404|13296|974|6243|7199|11793|9122|48627|0.9
201403|14703|1278|6630|8246|13021|10483|54361|1
201402|14290|1112|5800|7066|11695|10541|50504|0.9
201401|10959|914|5374|5337|8979|7094|38657|0.7
201312|13022|827|8390|5249|11634|8017|47139|0.8
201311|22935|1262|15876|9175|22927|14627|86802|1.5
201310|25026|1355|15027|10001|25204|16821|93434|1.6
201309|16608|1177|8952|8250|16742|10816|62545|1.1
201308|18087|1436|19726|8887|18113|11011|77260|1.4
201307|19820|1197|14092|9890|21274|13509|79782|1.4
201306|24714|1532|16569|11913|24807|15727|95262|1.7
201305|29138|1480|17156|13808|29283|18629|109494|1.9
201304|28904|1564|17272|12894|29782|19775|110191|1.9
201303|26233|1269|15447|11752|27043|17419|99163|1.7
