Month|Views of page Azul|Views of page Blanco|Views of page Marrón|Views of page Negro (color)|Views of page Rojo|Views of page Verde|Total|Percentage
201608|492|614|139|227|477|333|2282|8.2
201607|335|300|408|455|369|493|2360|8.5
201606|518|311|523|364|521|483|2720|9.8
201605|388|247|194|226|454|405|1914|6.9
201604|313|246|152|286|498|326|1821|6.6
201603|330|307|197|315|532|373|2054|7.4
201602|379|225|174|223|430|277|1708|6.2
201601|414|218|146|223|340|257|1598|5.8
201512|401|269|139|246|445|268|1768|6.4
201511|303|262|130|345|573|275|1888|6.8
201510|441|245|172|294|413|321|1886|6.8
201509|390|228|132|232|509|313|1804|6.5
201508|508|85|103|491|321|266|1774|6.4
201507|518|82|160|647|453|332|2192|7.9
201506|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0
Total|5730|3639|2769|4574|6335|4722|27769|100
Percentage|20.6|13.1|10|16.5|22.8|17|100
