Month|Views of page Azul|Views of page Blanco|Views of page Marrón|Views of page Negro (color)|Views of page Rojo|Views of page Verde|Total|Percentage
201608|47|49|29|62|51|45|283|7.3
201607|29|34|28|46|60|35|232|6
201606|39|23|19|22|39|37|179|4.6
201605|50|68|16|40|57|54|285|7.3
201604|72|28|20|49|71|52|292|7.5
201603|51|34|31|58|57|49|280|7.2
201602|43|29|18|37|47|28|202|5.2
201601|66|38|35|52|74|48|313|8
201512|62|21|28|46|50|44|251|6.4
201511|61|37|33|50|55|46|282|7.2
201510|70|24|30|65|64|49|302|7.7
201509|65|28|23|47|85|64|312|8
201508|68|21|26|109|62|57|343|8.8
201507|113|16|23|77|64|48|341|8.8
201506|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0
Total|836|450|359|760|836|656|3897|100
Percentage|21.5|11.5|9.2|19.5|21.5|16.8|100
