Month|Views of page Barack Obama|Views of page Ben Carson|Views of page Bernie Sanders|Views of page Carly Fiorina|Views of page Colin Powell|Views of page Condoleezza Rice|Views of page Dick Cheney|Views of page Donald Trump|Views of page Gary Johnson|Views of page George W. Bush|Views of page Hillary Clinton|Views of page Jeb Bush|Views of page Joe Biden|Views of page John McCain|Views of page Marco Rubio|Views of page Mitt Romney|Views of page Newt Gingrich|Views of page Rand Paul|Views of page Ron Paul|Views of page Sarah Palin|Views of page Scott Walker|Views of page Ted Cruz|Total|Percentage
201608|340624|38702|82311|15731|51265|43988|44847|1043172|206374|148760|426832|32502|73018|88273|24442|48260|24213|19145|28802|40320|11322|34695|2867598|0.8
201607|451772|41840|279551|17979|45335|56523|52832|1856206|250915|202531|861622|35386|144426|58428|27044|55369|155892|22223|33401|46065|14515|89311|4799166|1.3
201606|371686|26480|268803|17875|35067|48296|40241|1029769|171651|155310|507674|27478|66553|54602|33112|49660|35799|19086|27450|40560|9407|43054|3079613|0.8
201605|519097|47587|385191|62080|49994|62288|61126|1343410|154892|215742|413403|46914|90958|78346|46874|63607|83340|31194|38038|58450|13223|219911|4085665|1.1
201604|406721|48013|642120|144393|41276|50682|51917|1539267|40798|190519|444070|40418|77727|54305|52625|50836|30915|29717|38044|73514|19885|402848|4470610|1.2
201603|591981|185581|877589|56935|54698|64810|64603|6029257|71439|260521|615103|95504|107108|91629|438688|204223|39363|52062|55291|86754|26314|734954|10804407|2.9
201602|574419|226884|1476953|111665|71832|70906|63391|3441447|38661|325737|520019|352308|96492|109003|777102|98945|33751|91533|68551|73399|25221|952707|9600926|2.6
201601|505009|121314|676677|85954|42183|43979|52953|1007366|31442|204394|274900|116904|88213|77938|201146|63210|23821|99021|58536|229837|25144|556327|4586268|1.2
201512|1367758|142394|299240|103551|35694|39694|56967|1128742|11288|198682|190952|129090|60095|143193|181777|52443|22711|68984|45934|59325|15725|411494|4765733|1.3
201511|1329231|639238|301330|103527|38640|43538|65948|521600|10776|201959|186761|124628|60021|134845|180505|51339|24800|63313|46420|49355|18146|182649|4378569|1.2
201510|563186|456510|608065|142876|42558|45423|55008|574938|12512|198150|307607|145846|201837|142212|159431|57215|35860|60876|46039|50474|23781|119080|4049484|1.1
201509|477484|519717|492335|773479|45845|40804|68124|911284|13082|228111|195784|216534|250211|136718|150204|53639|24224|98998|52552|72709|70446|165865|5058149|1.4
201508|406697|322562|594852|407967|32238|35325|51059|1286270|14797|195069|231769|216672|146328|142733|141421|52358|20162|112189|67469|60994|74917|177079|4790927|1.3
201507|419994|80244|454965|69203|34247|49303|50912|1060381|12242|171066|161518|172136|65536|280958|62015|46690|18009|64326|48717|55737|13963|105281|3497443|0.9
201506|330781|80669|340818|91762|27299|31312|43095|537731|11316|182929|111301|206853|245867|131396|79674|50703|21258|100302|56084|63023|7655|85717|2837545|0.8
201505|434560|238488|362585|263446|39084|40444|59524|88862|10404|217677|20337|120452|206464|136918|78909|55484|26796|99740|64089|61225|7624|86725|2719837|0.7
201504|525579|82909|186382|110959|41470|54922|71231|93070|15720|238802|39730|173844|71552|142870|308737|59729|24786|334051|118945|54207|6219|223789|2979503|0.8
201503|566456|134176|47476|83315|53298|60239|67111|125321|12547|223688|23151|120319|81587|154721|60099|89756|24842|82231|58200|66304|6615|689884|2831336|0.8
201502|572315|111403|34728|45937|56254|59962|50310|113037|10247|213235|17591|141544|72319|131036|30746|62712|18565|81922|49513|64483|10812|46442|1995113|0.5
201501|715683|94707|34645|38579|41505|49079|59000|155976|10562|210245|15090|138292|88232|144474|60473|114449|23112|56289|50721|96966|5762|72387|2276228|0.6
201412|443372|80251|33166|11952|36350|48703|84846|84296|9057|215179|13766|166741|57169|159752|42875|62249|21114|42003|42096|54983|2373|51965|1764258|0.5
201411|545857|105406|58186|18859|38409|54833|53256|96472|15722|214277|17566|84632|68982|143742|28231|69940|26006|77787|56572|56746|5494|88892|1925867|0.5
201410|505161|67254|28708|16027|42294|55538|49155|107555|12703|185664|14443|78246|86440|136524|22006|68097|21045|53812|46582|72132|3968|40542|1713896|0.5
201409|536598|88595|44748|11532|47954|63176|57271|119004|11151|192400|14447|31737|68457|137581|21418|64431|19826|44918|49465|84740|2327|55457|1767233|0.5
201408|445710|90364|28087|9116|34789|43849|50654|112188|10734|166301|12689|26973|53974|139767|18110|57242|18825|62403|53338|67283|2087|34525|1539008|0.4
201407|414026|73438|29497|13830|36998|44375|59767|95573|12586|169232|16229|27241|58301|140240|23696|60129|21443|43500|48252|87277|2539|41138|1519307|0.4
201406|459886|69117|21262|8354|40226|46935|76863|104449|11151|193463|20902|34543|57784|169629|20194|58833|20920|35540|43667|61497|2096|58886|1616197|0.4
201405|573623|90170|30643|10341|59356|84494|63923|115112|12208|252214|19376|63107|80577|151452|41460|66006|26949|45400|52651|66449|1783|42816|1950110|0.5
201404|546384|94106|25738|9789|46297|87480|63044|122054|15043|247752|23971|94728|81239|140896|21090|69498|25333|49767|53697|84318|2117|47659|1952000|0.5
201403|662691|81866|34883|11646|75855|84697|65431|107777|14690|237304|25734|61340|83950|158704|30205|112869|24046|94198|66185|100728|2057|65798|2202654|0.6
201402|676482|87008|18890|9360|74723|72916|56451|98900|11923|227116|17595|42024|92700|136672|27154|89356|23651|74762|51644|74497|29294|61554|2054672|0.6
201401|595065|78964|21782|16262|47739|55750|56245|120225|14972|205425|18906|36993|84713|138580|28844|108423|35844|55975|54929|79855|2661|60394|1918546|0.5
201312|509358|50738|21593|8549|45793|52257|63918|133179|12846|203380|15655|22124|65489|136008|19867|78248|26666|33424|47246|92903|2315|64045|1705601|0.5
