Month|Views of page Barack Obama|Views of page Ben Carson|Views of page Bernie Sanders|Views of page Carly Fiorina|Views of page Colin Powell|Views of page Condoleezza Rice|Views of page Dick Cheney|Views of page Donald Trump|Views of page Gary Johnson|Views of page George W. Bush|Views of page Hillary Clinton|Views of page Jeb Bush|Views of page Joe Biden|Views of page John McCain|Views of page Marco Rubio|Views of page Mitt Romney|Views of page Newt Gingrich|Views of page Rand Paul|Views of page Ron Paul|Views of page Sarah Palin|Views of page Scott Walker|Views of page Ted Cruz|Total|Percentage
201608|921|172|384|94|170|151|199|2100|630|408|969|129|215|291|135|167|101|75|170|145|97|267|7990|6
201607|1056|189|581|104|168|154|181|2024|893|411|1185|113|314|259|121|192|388|79|134|136|42|258|8982|6.8
201606|1266|157|571|103|133|226|232|1975|685|577|880|129|274|288|123|211|182|93|197|143|84|213|8742|6.6
201605|1540|151|841|169|182|265|194|2241|497|381|922|159|270|266|137|200|269|82|161|141|51|486|9605|7.2
201604|1382|277|1336|449|138|238|236|2574|192|460|834|180|432|270|162|275|191|122|172|255|63|1035|11273|8.5
201603|1489|432|1451|240|147|183|198|3527|227|658|852|224|407|252|572|475|194|161|228|221|73|1313|13524|10.2
201602|1674|538|1928|186|158|258|244|2940|136|495|670|674|339|222|962|252|287|166|214|266|54|1416|14079|10.6
201601|2684|403|922|223|170|204|233|2013|103|468|484|326|314|246|351|264|129|284|156|447|75|1864|12363|9.3
201512|1095|538|584|274|136|205|254|1586|87|551|368|357|207|290|372|246|134|238|166|224|59|1400|9371|7.1
201511|1014|1249|619|585|138|192|270|961|81|769|306|433|325|328|503|402|90|247|161|230|61|603|9567|7.2
201510|720|808|1028|455|156|156|180|790|70|771|404|467|458|357|287|289|139|204|169|197|76|421|8602|6.5
201509|677|599|637|693|122|123|186|823|57|446|297|353|335|310|199|160|105|197|155|194|92|391|7151|5.4
201508|380|390|538|478|97|100|125|872|50|322|248|271|297|182|213|146|90|229|132|137|89|301|5687|4.3
201507|492|268|602|171|143|138|188|841|75|358|318|280|296|280|114|167|155|176|169|201|21|243|5696|4.3
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
