Month|Views of page Abraham Lincoln|Views of page Andrew Jackson|Views of page Andrew Johnson|Views of page Barack Obama|Views of page Benjamin Harrison|Views of page Bill Clinton|Views of page Calvin Coolidge|Views of page Chester A. Arthur|Views of page Dwight D. Eisenhower|Views of page Franklin D. Roosevelt|Views of page Franklin Pierce|Views of page George H. W. Bush|Views of page George W. Bush|Views of page George Washington|Views of page Gerald Ford|Views of page Grover Cleveland|Views of page Harry S. Truman|Views of page Herbert Hoover|Views of page James A. Garfield|Views of page James Buchanan|Views of page James K. Polk|Views of page James Madison|Views of page James Monroe|Views of page Jimmy Carter|Views of page John Adams|Views of page John F. Kennedy|Views of page John Quincy Adams|Views of page John Tyler|Views of page Lyndon B. Johnson|Views of page Martin Van Buren|Views of page Millard Fillmore|Views of page Richard Nixon|Views of page Ronald Reagan|Views of page Rutherford B. Hayes|Views of page Theodore Roosevelt|Views of page Thomas Jefferson|Views of page Ulysses S. Grant|Views of page Warren G. Harding|Views of page William Henry Harrison|Views of page William Howard Taft|Views of page William McKinley|Views of page Woodrow Wilson|Views of page Zachary Taylor|Total|Percentage
201608|180871|89280|36251|340624|39220|225940|39648|25072|99782|145273|25656|131807|148760|130529|83065|43863|77350|49932|37312|36554|190355|44925|23351|110296|67499|176373|56027|37280|116103|28346|25264|137531|184636|22208|115527|104122|54940|48973|37900|38931|38515|59737|28027|3733655|0.5
201607|194967|81368|40190|451772|24125|443820|45899|26092|111283|156039|25285|156049|202531|147919|97683|46138|80151|54934|42717|44084|26944|46728|26141|128981|86008|181683|49467|29761|165596|32706|26890|143891|216751|25120|120161|131242|60529|49074|39764|59339|42531|61500|32051|4255904|0.6
201606|179340|71961|39359|371686|22876|229350|38664|21450|109197|148001|24053|121753|155310|190308|77679|43625|74791|48875|39525|42866|26334|56037|23611|106053|71136|184208|38839|25018|129585|28544|24524|125532|194008|22498|110119|134509|62577|41922|36357|40366|37511|59068|33050|3662075|0.5
201605|270602|118727|55154|519097|30666|263580|51419|28334|162700|224774|34804|174526|215742|199726|123096|0|123881|69922|0|54356|0|61333|35685|147206|92072|291991|53199|34876|244723|37259|31808|203352|261079|30776|229518|152457|96298|81844|48189|53398|52499|81417|37698|5079783|0.7
201604|283000|389349|0|406721|0|240782|54951|30365|153711|229217|35073|149508|190519|202580|121374|56348|0|71405|44934|52692|44477|66230|38487|136374|91738|279036|61811|38915|148215|47475|35538|200235|252476|30066|155811|163328|99914|64504|54563|54883|64900|91334|40640|4973479|0.7
201603|322838|144266|60352|591981|38538|342797|86043|40069|182448|311381|38739|229748|260521|224943|164972|71806|141249|97180|57296|110190|46107|75804|41677|357802|102843|320461|65022|45244|187028|48136|38950|248985|851507|36960|195716|170359|86846|81390|61769|79545|77470|109023|47377|6893378|1
201602|372775|136293|64573|574419|43940|318978|77946|100532|163089|279702|43630|280627|325737|301557|129105|88036|119772|89014|135575|68677|48297|82037|45939|170405|113915|288735|87786|53600|143514|53270|41453|183642|390336|47628|216308|226364|92280|80781|71310|109480|92243|117651|50501|6521452|0.9
201601|265526|104012|50340|505009|30548|219235|51129|33782|149571|216763|31297|168112|204394|212348|91210|56858|97953|64250|43362|42792|35329|68005|34634|122130|94460|220867|52283|42592|104419|39198|32831|140471|231863|31154|226324|152856|75557|56082|57118|58925|65976|87222|34721|4703508|0.7
201512|227420|103721|47859|1367758|24646|204888|63311|24695|117404|205589|29821|143387|198682|173532|89716|47667|86865|57935|33023|43371|37100|60222|33617|212846|83392|216829|49336|31967|110560|41182|27710|137790|222751|26895|280705|148192|85396|53383|43772|47000|50323|89845|34613|5416716|0.8
201511|244374|115158|40808|1329231|25878|205852|46150|27340|142177|195896|29382|158841|201959|185652|83216|47796|87127|58537|49237|41707|37318|66922|35430|134758|95659|248579|53429|33077|113854|40350|27238|136336|222219|26972|178383|175967|80104|53051|44301|50308|53000|138295|37441|5399309|0.8
