Month|Views of page Abraham Lincoln|Views of page Andrew Jackson|Views of page Andrew Johnson|Views of page Barack Obama|Views of page Benjamin Harrison|Views of page Bill Clinton|Views of page Calvin Coolidge|Views of page Chester A. Arthur|Views of page Dwight D. Eisenhower|Views of page Franklin D. Roosevelt|Views of page Franklin Pierce|Views of page George H. W. Bush|Views of page George W. Bush|Views of page George Washington|Views of page Gerald Ford|Views of page Grover Cleveland|Views of page Harry S. Truman|Views of page Herbert Hoover|Views of page James A. Garfield|Views of page James Buchanan|Views of page James K. Polk|Views of page James Madison|Views of page James Monroe|Views of page Jimmy Carter|Views of page John Adams|Views of page John F. Kennedy|Views of page John Quincy Adams|Views of page John Tyler|Views of page Lyndon B. Johnson|Views of page Martin Van Buren|Views of page Millard Fillmore|Views of page Richard Nixon|Views of page Ronald Reagan|Views of page Rutherford B. Hayes|Views of page Theodore Roosevelt|Views of page Thomas Jefferson|Views of page Ulysses S. Grant|Views of page Warren G. Harding|Views of page William Henry Harrison|Views of page William Howard Taft|Views of page William McKinley|Views of page Woodrow Wilson|Views of page Zachary Taylor|Total|Percentage
201608|7681|2592|1381|20405|761|11782|1478|1103|4088|6107|1022|5305|5551|6142|4056|1506|3773|1762|2070|1337|1864|1522|861|5216|3333|9314|1850|1300|6495|1158|999|7903|9581|877|4897|4060|2512|1987|1851|1679|1571|2491|1071|164294|7.1
201607|10055|3411|1822|29382|903|38438|2202|1338|4515|7209|1077|7254|9429|8860|5035|1972|4411|2153|3010|1703|1078|1905|1107|6910|5459|9981|2713|1570|8455|1398|1122|8026|12038|1297|5588|6226|3418|2255|2094|1972|2251|2586|1361|234989|10.2
201606|6889|2810|1527|17772|768|11291|1256|869|4314|5260|836|4649|5576|7171|3399|1553|3278|1764|2539|1463|900|1587|798|4281|3231|7782|1578|1025|10316|971|841|6191|8043|843|4096|4585|3035|1618|1617|1457|1429|2120|1435|154763|6.7
201605|7573|3952|1576|20496|747|9831|1395|985|4847|6608|931|5063|6063|6875|4464|1448|4215|2062|1802|1551|999|1523|1060|4556|3158|9872|1738|1130|20667|1112|815|7766|8891|866|5397|4304|2450|2137|1657|1670|1593|2177|983|179005|7.8
201604|6875|13757|1565|13990|623|8598|1293|855|3769|5678|889|4134|4764|5792|3874|1358|3858|1683|1498|1245|991|1449|822|3904|2590|9282|2230|1140|4321|1440|1046|7205|8429|720|4195|4157|2595|1538|1577|1478|1510|2230|1022|151969|6.6
201603|10309|3778|1710|24719|906|12419|2718|1253|5535|9188|1077|7777|8462|6321|6560|1973|4919|2367|2149|1820|1192|1677|978|8172|3115|12050|1978|1442|5703|1351|1050|10746|44215|996|5835|4607|2432|2245|1996|2361|2140|2752|1281|236274|10.3
201602|9583|2946|1489|19924|1017|13374|1846|8302|4250|7731|1023|10574|11654|7804|4114|2394|3155|1940|8592|1663|1087|1576|907|5664|3116|8880|1890|1498|3925|1389|1021|6301|13443|1437|5788|3959|2543|2062|2180|3070|2201|2582|1154|201048|8.7
201601|7852|2383|1232|22164|800|8555|1524|911|4132|7647|871|5286|6056|5813|3329|1476|3201|1546|1499|1031|841|1362|770|4169|2824|7679|1491|1103|3428|1127|956|5618|9646|702|5359|3589|2258|1745|2521|1607|1633|2192|925|150853|6.6
201512|6651|2559|1164|18694|722|6302|1392|635|3527|7661|731|4192|5448|5262|3223|1313|2852|1494|1145|992|743|1146|675|7459|2362|7603|1379|924|3059|1018|647|4780|8768|635|5542|3169|2057|1781|1563|1346|1792|2272|803|137482|6
201511|6268|1908|938|14821|647|6221|1229|954|4381|7114|699|5239|5499|4619|2971|1345|2922|1408|2838|990|842|1175|783|3943|2444|9793|1426|934|3007|880|651|4623|7836|727|5698|3348|1878|1383|1294|1342|1848|3830|989|133685|5.8
201510|6074|1976|960|13966|518|7099|1048|578|3201|5687|613|4634|5295|4975|2862|1093|2345|1142|1101|871|874|1342|618|3732|2499|6857|1398|813|2509|840|518|5074|8001|621|3694|3220|1874|1310|1042|1102|1080|1690|686|117432|5.1
201509|6654|2485|1069|15133|645|5538|1209|733|3459|5034|635|4944|6102|4677|2983|1470|2377|1330|1486|1010|998|1089|812|4712|2469|7128|1361|799|3216|957|642|4736|9624|654|3790|3008|2724|1653|1192|1249|3690|1926|753|128155|5.6
201508|8414|2113|1285|15635|793|6782|1680|864|4337|6317|895|7276|7242|4928|4501|1672|3266|1762|1508|1167|1008|1214|756|17298|2696|8235|1630|1023|4014|1039|872|6294|10057|744|4802|3157|2567|4724|1513|1680|3298|2216|959|164233|7.1
201507|7387|2845|1298|16856|703|5883|1585|785|3796|5726|864|6544|6714|6355|4216|1529|3024|1450|1523|1086|881|1412|869|6510|5418|7734|2242|934|3414|1001|773|6186|8281|767|4594|4933|3101|1546|1376|1440|1907|2098|982|148568|6.5
201506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
