Week,Eminem: (Worldwide),Justin Bieber: (Worldwide)
2011-09-24,18,39
2011-10-01,18,47
2011-10-08,18,49
2011-10-15,20,50
2011-10-22,17,45
2011-10-29,16,79
2011-11-05,17,68
2011-11-12,16,53
2011-11-19,16,53
2011-11-26,17,47
2011-12-03,17,52
2011-12-10,15,47
2011-12-17,15,53
2011-12-24,15,52
2011-12-31,14,43
2012-01-07,14,37
2012-01-14,14,38
2012-01-21,13,34
2012-01-28,13,32
2012-02-04,14,30
2012-02-11,13,32
2012-02-18,13,31
2012-02-25,13,42
2012-03-03,12,34
2012-03-10,12,28
2012-03-17,12,29
2012-03-24,12,41
2012-03-31,12,39
2012-04-07,12,33
2012-04-14,12,39
2012-04-21,11,49
2012-04-28,13,40
2012-05-05,12,38
2012-05-12,12,35
2012-05-19,12,41
2012-05-26,12,46
2012-06-02,12,42
2012-06-09,11,44
2012-06-16,12,49
2012-06-23,12,41
2012-06-30,12,42
2012-07-07,12,40
2012-07-14,12,37
2012-07-21,12,37
2012-07-28,12,40
2012-08-04,12,37
2012-08-11,12,35
2012-08-18,12,34
2012-08-25,11,32
2012-09-01,11,31
2012-09-08,12,31
2012-09-15,11,30
2012-09-22,11,30
2012-09-29,11,42
2012-10-06,10,41
2012-10-13,14,37
2012-10-20,11,36
2012-10-27,11,35
2012-11-03,10,35
2012-11-10,10,44
2012-11-17,10,42
2012-11-24,12,38
2012-12-01,12,35
2012-12-08,12,42
2012-12-15,12,36
2012-12-22,12,43
2012-12-29,12,47
2013-01-05,11,61
2013-01-12,12,35
2013-01-19,11,37
2013-01-26,12,39
2013-02-02,11,37
2013-02-09,12,37
2013-02-16,11,32
2013-02-23,11,40
2013-03-02,10,43
2013-03-09,10,40
2013-03-16,11,34
2013-03-23,11,38
2013-03-30,11,37
2013-04-06,10,35
2013-04-13,10,40
2013-04-20,10,43
2013-04-27,11,41
2013-05-04,12,38
2013-05-11,19,31
2013-05-18,12,37
2013-05-25,11,32
2013-06-01,11,33
2013-06-08,11,32
2013-06-15,11,32
2013-06-22,12,36
2013-06-29,13,33
2013-07-06,11,36
2013-07-13,11,36
2013-07-20,11,32
2013-07-27,11,38
2013-08-03,12,34
2013-08-10,17,35
2013-08-17,23,29
2013-08-24,26,29
2013-08-31,17,27
2013-09-07,24,26
2013-09-14,16,31
2013-09-21,15,26
2013-09-28,14,25
2013-10-05,18,30
2013-10-12,27,28
2013-10-19,20,29
2013-10-26,31,31
2013-11-02,42,49
2013-11-09,37,45
2013-11-16,29,34
2013-11-23,26,30
2013-11-30,23,33
2013-12-07,22,34
2013-12-14,24,46
2013-12-21,24,55
2013-12-28,21,39
2014-01-04,18,31
2014-01-11,18,36
2014-01-18,17,100
2014-01-25,18,67
2014-02-01,16,53
2014-02-08,15,44
2014-02-15,17,33
2014-02-22,16,33
2014-03-01,15,32
2014-03-08,14,36
2014-03-15,15,26
2014-03-22,15,25
2014-03-29,14,25
2014-04-05,14,26
2014-04-12,15,25
2014-04-19,13,25
2014-04-26,13,25
2014-05-03,15,24
2014-05-10,16,23
2014-05-17,13,22
2014-05-24,13,23
2014-05-31,12,27
2014-06-07,12,20
2014-06-14,11,20
2014-06-21,12,19
2014-06-28,13,20
2014-07-05,13,21
2014-07-12,13,19
2014-07-19,12,19
2014-07-26,12,34
2014-08-02,13,24
2014-08-09,13,19
2014-08-16,13,19
2014-08-23,15,17
2014-08-30,12,17
2014-09-06,12,18
2014-09-13,11,15
2014-09-20,11,14
2014-09-27,11,15
2014-10-04,11,14
2014-10-11,12,14
2014-10-18,10,14
2014-10-25,11,13
2014-11-01,12,14
2014-11-08,14,15
2014-11-15,13,14
2014-11-22,15,15
2014-11-29,12,16
2014-12-06,12,19
2014-12-13,11,17
2014-12-20,16,18
2014-12-27,15,18
2015-01-03,12,24
2015-01-10,11,20
2015-01-17,11,19
2015-01-24,11,17
2015-01-31,10,15
2015-02-07,11,13
2015-02-14,10,15
2015-02-21,10,15
2015-02-28,10,18
2015-03-07,10,15
2015-03-14,11,22
2015-03-21,10,17
2015-03-28,10,39
2015-04-04,9,23
2015-04-11,9,18
2015-04-18,9,16
2015-04-25,9,15
2015-05-02,9,17
2015-05-09,9,14
2015-05-16,9,15
2015-05-23,9,15
2015-05-30,10,14
2015-06-06,9,13
2015-06-13,9,13
2015-06-20,9,13
2015-06-27,10,15
2015-07-04,10,19
2015-07-11,9,17
2015-07-18,11,15
2015-07-25,10,14
2015-08-01,11,14
2015-08-08,10,13
2015-08-15,9,14
2015-08-22,9,20
2015-08-29,9,35
2015-09-05,9,22
2015-09-12,9,20
2015-09-19,9,18
2015-09-26,9,18
2015-10-03,9,58
2015-10-10,11,33
2015-10-17,10,30
2015-10-24,9,37
2015-10-31,9,32
2015-11-07,9,46
2015-11-14,9,50
2015-11-21,8,51
2015-11-28,8,38
2015-12-05,9,45
2015-12-12,9,53
2015-12-19,9,48
2015-12-26,9,45
2016-01-02,9,45
2016-01-09,8,36
2016-01-16,9,36
2016-01-23,9,35
2016-01-30,8,32
2016-02-06,9,31
2016-02-13,8,36
2016-02-20,8,31
2016-02-27,8,35
2016-03-05,8,30
2016-03-12,9,29
2016-03-19,8,32
2016-03-26,8,29
2016-04-02,8,29
2016-04-09,7,26
2016-04-16,8,26
2016-04-23,8,25
2016-04-30,8,25
2016-05-07,7,29
2016-05-14,7,23
2016-05-21,8,23
2016-05-28,7,22
2016-06-04,7,29
2016-06-11,7,23
2016-06-18,7,22
