Category: All categories

Week,Miley Cyrus: (Worldwide),Demi Lovato: (Worldwide)
2011-09-24,4,3
2011-10-01,3,3
2011-10-08,3,3
2011-10-15,3,2
2011-10-22,3,3
2011-10-29,3,3
2011-11-05,5,3
2011-11-12,5,3
2011-11-19,4,2
2011-11-26,5,2
2011-12-03,3,2
2011-12-10,4,2
2011-12-17,4,2
2011-12-24,4,3
2011-12-31,4,3
2012-01-07,4,3
2012-01-14,3,2
2012-01-21,5,2
2012-01-28,4,2
2012-02-04,4,2
2012-02-11,3,2
2012-02-18,3,2
2012-02-25,3,2
2012-03-03,3,3
2012-03-10,4,2
2012-03-17,3,2
2012-03-24,4,2
2012-03-31,5,3
2012-04-07,8,3
2012-04-14,4,3
2012-04-21,4,3
2012-04-28,3,3
2012-05-05,4,2
2012-05-12,3,3
2012-05-19,6,2
2012-05-26,4,2
2012-06-02,9,2
2012-06-09,6,2
2012-06-16,5,3
2012-06-23,5,3
2012-06-30,4,3
2012-07-07,5,3
2012-07-14,5,3
2012-07-21,5,3
2012-07-28,6,3
2012-08-04,6,2
2012-08-11,20,3
2012-08-18,9,3
2012-08-25,6,2
2012-09-01,6,3
2012-09-08,5,5
2012-09-15,4,4
2012-09-22,7,4
2012-09-29,5,3
2012-10-06,6,3
2012-10-13,4,3
2012-10-20,4,2
2012-10-27,4,3
2012-11-03,4,3
2012-11-10,4,3
2012-11-17,4,2
2012-11-24,3,2
2012-12-01,3,2
2012-12-08,4,2
2012-12-15,4,3
2012-12-22,4,3
2012-12-29,4,3
2013-01-05,4,2
2013-01-12,3,2
2013-01-19,3,2
2013-01-26,4,2
2013-02-02,3,2
2013-02-09,4,2
2013-02-16,3,2
2013-02-23,3,3
2013-03-02,3,3
2013-03-09,4,3
2013-03-16,4,3
2013-03-23,4,3
2013-03-30,4,3
2013-04-06,3,4
2013-04-13,3,3
2013-04-20,3,3
2013-04-27,4,3
2013-05-04,5,4
2013-05-11,4,4
2013-05-18,4,4
2013-05-25,4,4
2013-06-01,5,3
2013-06-08,6,3
2013-06-15,8,3
2013-06-22,9,5
2013-06-29,7,4
2013-07-06,7,3
2013-07-13,8,4
2013-07-20,9,3
2013-07-27,8,3
2013-08-03,7,3
2013-08-10,7,3
2013-08-17,6,5
2013-08-24,100,4
2013-08-31,20,3
2013-09-07,34,3
2013-09-14,21,3
2013-09-21,22,3
2013-09-28,27,4
2013-10-05,25,4
2013-10-12,16,3
2013-10-19,13,3
2013-10-26,14,3
2013-11-02,13,3
2013-11-09,19,3
2013-11-16,16,3
2013-11-23,17,3
2013-11-30,12,4
2013-12-07,12,4
2013-12-14,13,4
2013-12-21,17,4
2013-12-28,16,4
2014-01-04,11,3
2014-01-11,11,3
2014-01-18,10,3
2014-01-25,10,3
2014-02-01,11,3
2014-02-08,10,3
2014-02-15,11,3
2014-02-22,10,3
2014-03-01,9,4
2014-03-08,8,3
2014-03-15,9,3
2014-03-22,9,3
2014-03-29,9,3
2014-04-05,9,7
2014-04-12,9,4
2014-04-19,7,4
2014-04-26,7,4
2014-05-03,7,3
2014-05-10,7,3
2014-05-17,6,3
2014-05-24,6,3
2014-05-31,6,3
2014-06-07,6,3
2014-06-14,7,3
2014-06-21,6,3
2014-06-28,5,3
2014-07-05,6,3
2014-07-12,5,3
2014-07-19,7,3
2014-07-26,5,2
2014-08-02,5,2
2014-08-09,6,3
2014-08-16,5,3
2014-08-23,7,3
2014-08-30,5,2
2014-09-06,6,2
2014-09-13,6,2
2014-09-20,5,2
2014-09-27,5,2
2014-10-04,4,2
2014-10-11,4,2
2014-10-18,4,2
2014-10-25,4,2
2014-11-01,5,2
2014-11-08,6,2
2014-11-15,6,2
2014-11-22,5,2
2014-11-29,5,2
2014-12-06,4,2
2014-12-13,4,2
2014-12-20,4,2
2014-12-27,7,2
2015-01-03,4,2
2015-01-10,7,2
2015-01-17,5,2
2015-01-24,6,2
2015-01-31,4,2
2015-02-07,4,2
2015-02-14,4,2
2015-02-21,3,2
2015-02-28,3,2
2015-03-07,3,2
2015-03-14,3,2
2015-03-21,3,2
2015-03-28,3,2
2015-04-04,3,2
2015-04-11,4,2
2015-04-18,4,2
2015-04-25,3,2
2015-05-02,4,2
2015-05-09,4,1
2015-05-16,3,1
2015-05-23,3,2
2015-05-30,3,2
2015-06-06,6,1
2015-06-13,4,1
2015-06-20,4,2
2015-06-27,5,2
2015-07-04,4,2
2015-07-11,3,2
2015-07-18,4,2
2015-07-25,4,2
2015-08-01,4,2
2015-08-08,4,2
2015-08-15,4,3
2015-08-22,5,2
2015-08-29,23,3
2015-09-05,5,2
2015-09-12,3,2
2015-09-19,3,2
2015-09-26,3,3
2015-10-03,4,5
2015-10-10,3,3
2015-10-17,3,4
2015-10-24,3,3
2015-10-31,3,3
2015-11-07,4,2
2015-11-14,5,2
2015-11-21,6,3
2015-11-28,3,2
2015-12-05,3,2
2015-12-12,4,2
2015-12-19,4,2
2015-12-26,4,2
2016-01-02,4,2
2016-01-09,3,2
2016-01-16,5,2
2016-01-23,4,2
2016-01-30,3,1
2016-02-06,3,2
2016-02-13,3,2
2016-02-20,3,3
2016-02-27,3,2
2016-03-05,3,1
2016-03-12,2,1
2016-03-19,3,1
2016-03-26,3,1
2016-04-02,3,2
2016-04-09,3,1
2016-04-16,2,1
2016-04-23,2,1
2016-04-30,2,1
2016-05-07,2,1
2016-05-14,2,2
2016-05-21,2,2
2016-05-28,2,2
2016-06-04,2,2
2016-06-11,2,1
2016-06-18,2,2
2016-06-25,2,2
2016-07-02,2,2
2016-07-09,2,2
2016-07-16,2,2
2016-07-23,2,2
2016-07-30,2,1
2016-08-06,2,1
2016-08-13,2,1
2016-08-20,2,1
2016-08-27,2,1
2016-09-03,2,1
2016-09-10,2,1
