Category: All categories

Week,Carly Rae Jepsen: (Worldwide),Demi Lovato: (Worldwide)
2011-09-24,0,49
2011-10-01,0,40
2011-10-08,0,40
2011-10-15,0,35
2011-10-22,0,36
2011-10-29,0,37
2011-11-05,0,42
2011-11-12,0,36
2011-11-19,0,32
2011-11-26,0,29
2011-12-03,0,33
2011-12-10,0,29
2011-12-17,0,30
2011-12-24,0,37
2011-12-31,2,35
2012-01-07,1,36
2012-01-14,1,33
2012-01-21,1,33
2012-01-28,1,29
2012-02-04,1,33
2012-02-11,3,30
2012-02-18,11,29
2012-02-25,8,26
2012-03-03,9,42
2012-03-10,8,34
2012-03-17,11,29
2012-03-24,15,28
2012-03-31,16,43
2012-04-07,18,40
2012-04-14,22,43
2012-04-21,21,42
2012-04-28,22,37
2012-05-05,21,31
2012-05-12,22,36
2012-05-19,28,33
2012-05-26,26,32
2012-06-02,31,33
2012-06-09,32,34
2012-06-16,34,40
2012-06-23,30,37
2012-06-30,32,39
2012-07-07,28,42
2012-07-14,26,41
2012-07-21,100,46
2012-07-28,44,37
2012-08-04,32,34
2012-08-11,35,38
2012-08-18,32,44
2012-08-25,30,33
2012-09-01,30,40
2012-09-08,33,77
2012-09-15,42,56
2012-09-22,29,53
2012-09-29,24,44
2012-10-06,22,44
2012-10-13,22,37
2012-10-20,22,35
2012-10-27,23,42
2012-11-03,19,38
2012-11-10,20,36
2012-11-17,27,32
2012-11-24,22,33
2012-12-01,18,33
2012-12-08,22,32
2012-12-15,19,37
2012-12-22,22,38
2012-12-29,24,36
2013-01-05,14,33
2013-01-12,13,29
2013-01-19,14,28
2013-01-26,12,28
2013-02-02,12,27
2013-02-09,14,29
2013-02-16,12,27
2013-02-23,13,44
2013-03-02,13,39
2013-03-09,11,36
2013-03-16,11,35
2013-03-23,10,36
2013-03-30,10,40
2013-04-06,9,53
2013-04-13,9,47
2013-04-20,10,42
2013-04-27,10,44
2013-05-04,9,62
2013-05-11,10,63
2013-05-18,10,54
2013-05-25,10,54
2013-06-01,7,48
2013-06-08,7,45
2013-06-15,8,48
2013-06-22,7,65
2013-06-29,8,51
2013-07-06,7,47
2013-07-13,21,56
2013-07-20,8,49
2013-07-27,8,45
2013-08-03,7,42
2013-08-10,6,46
2013-08-17,6,66
2013-08-24,6,53
2013-08-31,6,43
2013-09-07,5,44
2013-09-14,5,42
2013-09-21,4,42
2013-09-28,4,55
2013-10-05,4,50
2013-10-12,4,46
2013-10-19,4,39
2013-10-26,4,40
2013-11-02,4,43
2013-11-09,4,41
2013-11-16,4,48
2013-11-23,4,46
2013-11-30,3,50
2013-12-07,3,56
2013-12-14,3,55
2013-12-21,4,56
2013-12-28,5,56
2014-01-04,4,48
2014-01-11,3,47
2014-01-18,3,49
2014-01-25,3,48
2014-02-01,4,48
2014-02-08,3,46
2014-02-15,3,43
2014-02-22,3,44
2014-03-01,3,51
2014-03-08,3,45
2014-03-15,3,43
2014-03-22,3,42
2014-03-29,3,41
2014-04-05,3,93
2014-04-12,3,52
2014-04-19,3,50
2014-04-26,3,50
2014-05-03,2,46
2014-05-10,2,40
2014-05-17,2,39
2014-05-24,3,41
2014-05-31,2,42
2014-06-07,2,38
2014-06-14,2,40
2014-06-21,2,43
2014-06-28,3,47
2014-07-05,3,44
2014-07-12,2,37
2014-07-19,2,38
2014-07-26,2,34
2014-08-02,2,34
2014-08-09,2,39
2014-08-16,2,43
2014-08-23,2,41
