Week,Carly Rae Jepsen: (Worldwide),Taylor Swift: (Worldwide)
2011-09-24,0,22
2011-10-01,0,23
2011-10-08,0,23
2011-10-15,0,22
2011-10-22,0,21
2011-10-29,0,40
2011-11-05,0,33
2011-11-12,0,25
2011-11-19,0,35
2011-11-26,0,29
2011-12-03,0,27
2011-12-10,0,29
2011-12-17,0,30
2011-12-24,0,31
2011-12-31,1,28
2012-01-07,1,23
2012-01-14,0,24
2012-01-21,1,23
2012-01-28,1,23
2012-02-04,0,23
2012-02-11,1,42
2012-02-18,5,31
2012-02-25,4,32
2012-03-03,4,29
2012-03-10,4,27
2012-03-17,5,26
2012-03-24,6,25
2012-03-31,7,33
2012-04-07,8,25
2012-04-14,10,23
2012-04-21,9,23
2012-04-28,10,23
2012-05-05,9,21
2012-05-12,9,21
2012-05-19,12,22
2012-05-26,11,19
2012-06-02,14,25
2012-06-09,14,20
2012-06-16,15,20
2012-06-23,13,20
2012-06-30,14,20
2012-07-07,12,21
2012-07-14,12,21
2012-07-21,44,22
2012-07-28,20,23
2012-08-04,14,21
2012-08-11,15,46
2012-08-18,14,41
2012-08-25,13,37
2012-09-01,13,47
2012-09-08,14,43
2012-09-15,18,32
2012-09-22,13,37
2012-09-29,10,42
2012-10-06,10,44
2012-10-13,10,50
2012-10-20,10,94
2012-10-27,10,65
2012-11-03,8,50
2012-11-10,9,58
2012-11-17,12,56
2012-11-24,10,45
2012-12-01,8,66
2012-12-08,10,70
2012-12-15,9,62
2012-12-22,10,62
2012-12-29,10,65
2013-01-05,6,69
2013-01-12,6,58
2013-01-19,6,52
2013-01-26,5,46
2013-02-02,5,42
2013-02-09,6,64
2013-02-16,5,50
2013-02-23,6,53
2013-03-02,6,49
2013-03-09,5,48
2013-03-16,5,47
2013-03-23,5,45
2013-03-30,4,41
2013-04-06,4,43
2013-04-13,4,39
2013-04-20,5,37
2013-04-27,4,38
2013-05-04,4,36
2013-05-11,4,34
2013-05-18,4,44
2013-05-25,4,36
2013-06-01,3,41
2013-06-08,3,39
2013-06-15,3,40
2013-06-22,3,34
2013-06-29,3,36
2013-07-06,3,35
2013-07-13,9,35
2013-07-20,3,34
2013-07-27,3,32
2013-08-03,3,31
2013-08-10,3,32
2013-08-17,3,30
2013-08-24,3,61
2013-08-31,2,33
2013-09-07,2,29
2013-09-14,2,25
2013-09-21,2,24
2013-09-28,2,26
2013-10-05,2,23
2013-10-12,2,24
2013-10-19,2,24
2013-10-26,2,23
2013-11-02,2,30
2013-11-09,2,27
2013-11-16,2,27
2013-11-23,2,34
2013-11-30,1,28
2013-12-07,1,33
2013-12-14,2,26
2013-12-21,2,28
2013-12-28,2,28
2014-01-04,2,23
2014-01-11,1,25
2014-01-18,2,22
2014-01-25,1,50
2014-02-01,2,27
2014-02-08,1,27
2014-02-15,1,25
2014-02-22,1,22
2014-03-01,1,25
2014-03-08,1,25
2014-03-15,1,22
2014-03-22,1,22
2014-03-29,1,22
2014-04-05,1,24
2014-04-12,1,24
2014-04-19,1,22
2014-04-26,1,21
2014-05-03,1,22
2014-05-10,1,21
2014-05-17,1,21
2014-05-24,1,21
2014-05-31,1,25
2014-06-07,1,22
2014-06-14,1,20
2014-06-21,1,19
2014-06-28,1,18
2014-07-05,1,20
2014-07-12,1,18
2014-07-19,1,19
2014-07-26,1,18
2014-08-02,1,20
2014-08-09,1,23
2014-08-16,1,65
2014-08-23,1,50
2014-08-30,1,33
2014-09-06,1,37
2014-09-13,1,32
2014-09-20,1,30
2014-09-27,1,30
2014-10-04,1,31
2014-10-11,1,42
2014-10-18,1,44
2014-10-25,1,79
2014-11-01,1,77
2014-11-08,1,86
2014-11-15,1,66
2014-11-22,1,74
2014-11-29,1,67
2014-12-06,1,73
2014-12-13,1,62
2014-12-20,1,62
2014-12-27,1,76
2015-01-03,1,57
2015-01-10,1,52
2015-01-17,1,56
2015-01-24,1,60
2015-01-31,1,52
2015-02-07,1,73
2015-02-14,1,56
2015-02-21,1,57
2015-02-28,3,48
2015-03-07,4,45
2015-03-14,2,44
2015-03-21,2,48
2015-03-28,2,51
2015-04-04,4,53
2015-04-11,3,40
2015-04-18,3,43
2015-04-25,3,39
2015-05-02,3,42
2015-05-09,3,42
2015-05-16,3,100
2015-05-23,2,59
2015-05-30,3,55
2015-06-06,2,51
2015-06-13,2,49
2015-06-20,2,61
2015-06-27,2,50
2015-07-04,2,49
2015-07-11,2,48
2015-07-18,2,65
2015-07-25,2,46
2015-08-01,2,45
2015-08-08,2,43
2015-08-15,3,42
2015-08-22,3,47
2015-08-29,2,72
2015-09-05,2,47
2015-09-12,2,42
2015-09-19,2,41
2015-09-26,2,42
2015-10-03,1,40
2015-10-10,1,44
2015-10-17,1,41
2015-10-24,1,40
2015-10-31,1,39
2015-11-07,1,33
2015-11-14,1,31
2015-11-21,1,36
2015-11-28,1,33
2015-12-05,1,35
2015-12-12,1,41
2015-12-19,2,39
2015-12-26,1,43
2016-01-02,1,35
2016-01-09,1,30
2016-01-16,1,28
2016-01-23,1,27
2016-01-30,3,27
2016-02-06,1,32
2016-02-13,1,73
2016-02-20,1,36
2016-02-27,1,30
2016-03-05,1,29
2016-03-12,1,30
2016-03-19,1,26
2016-03-26,1,27
2016-04-02,1,34
2016-04-09,1,28
2016-04-16,1,31
2016-04-23,1,26
2016-04-30,1,28
2016-05-07,1,24
2016-05-14,1,22
2016-05-21,1,23
2016-05-28,1,39
2016-06-04,1,30
2016-06-11,1,56
2016-06-18,1,42
2016-06-25,1,43
2016-07-02,1,39
2016-07-09,1,47
2016-07-16,1,99
2016-07-23,1,36
2016-07-30,1,29
2016-08-06,1,26
2016-08-13,1,23
2016-08-20,1,24
2016-08-27,1,28
2016-09-03,1,32
2016-09-10,1,23
