Week,Jennifer Lopez: (Worldwide),Taylor Swift: (Worldwide)
2011-09-24,27,22
2011-10-01,24,23
2011-10-08,22,23
2011-10-15,21,22
2011-10-22,23,21
2011-10-29,20,40
2011-11-05,21,33
2011-11-12,21,25
2011-11-19,32,35
2011-11-26,23,29
2011-12-03,19,27
2011-12-10,19,29
2011-12-17,19,30
2011-12-24,24,31
2011-12-31,20,28
2012-01-07,18,23
2012-01-14,19,24
2012-01-21,20,23
2012-01-28,18,23
2012-02-04,17,23
2012-02-11,18,42
2012-02-18,19,31
2012-02-25,45,32
2012-03-03,19,29
2012-03-10,19,27
2012-03-17,16,26
2012-03-24,17,25
2012-03-31,23,33
2012-04-07,26,25
2012-04-14,21,23
2012-04-21,20,23
2012-04-28,23,23
2012-05-05,25,21
2012-05-12,26,21
2012-05-19,27,22
2012-05-26,23,19
2012-06-02,22,25
2012-06-09,22,20
2012-06-16,26,20
2012-06-23,22,20
2012-06-30,20,20
2012-07-07,20,21
2012-07-14,20,21
2012-07-21,22,22
2012-07-28,20,23
2012-08-04,19,21
2012-08-11,19,46
2012-08-18,20,41
2012-08-25,18,37
2012-09-01,18,47
2012-09-08,17,43
2012-09-15,16,32
2012-09-22,16,37
2012-09-29,18,42
2012-10-06,18,44
2012-10-13,17,50
2012-10-20,15,94
2012-10-27,14,65
2012-11-03,13,50
2012-11-10,14,58
2012-11-17,15,56
2012-11-24,13,45
2012-12-01,12,66
2012-12-08,16,70
2012-12-15,12,62
2012-12-22,15,62
2012-12-29,14,65
2013-01-05,12,69
2013-01-12,16,58
2013-01-19,15,52
2013-01-26,13,46
2013-02-02,12,42
2013-02-09,16,64
2013-02-16,11,50
2013-02-23,12,53
2013-03-02,10,49
2013-03-09,10,48
2013-03-16,10,47
2013-03-23,10,45
2013-03-30,9,41
2013-04-06,9,43
2013-04-13,9,39
2013-04-20,9,37
2013-04-27,10,38
2013-05-04,13,36
2013-05-11,13,34
2013-05-18,16,44
2013-05-25,19,36
2013-06-01,14,41
2013-06-08,13,39
2013-06-15,13,40
2013-06-22,12,34
2013-06-29,13,36
2013-07-06,12,35
2013-07-13,13,35
2013-07-20,12,34
2013-07-27,11,32
2013-08-03,11,31
2013-08-10,10,32
2013-08-17,11,30
2013-08-24,10,61
2013-08-31,10,33
2013-09-07,9,29
2013-09-14,10,25
2013-09-21,9,24
2013-09-28,9,26
2013-10-05,9,23
2013-10-12,9,24
2013-10-19,9,24
2013-10-26,8,23
2013-11-02,9,30
2013-11-09,9,27
2013-11-16,8,27
2013-11-23,14,34
2013-11-30,10,28
2013-12-07,9,33
2013-12-14,8,26
2013-12-21,10,28
2013-12-28,12,28
2014-01-04,9,23
2014-01-11,12,25
2014-01-18,11,22
2014-01-25,11,50
2014-02-01,10,27
2014-02-08,10,27
2014-02-15,10,25
2014-02-22,9,22
2014-03-01,12,25
2014-03-08,13,25
2014-03-15,14,22
2014-03-22,12,22
2014-03-29,11,22
2014-04-05,12,24
2014-04-12,12,24
2014-04-19,13,22
2014-04-26,14,21
2014-05-03,13,22
2014-05-10,13,21
2014-05-17,20,21
2014-05-24,15,21
2014-05-31,17,25
2014-06-07,53,22
2014-06-14,31,20
2014-06-21,20,19
2014-06-28,17,18
2014-07-05,17,20
2014-07-12,17,18
2014-07-19,15,19
2014-07-26,13,18
2014-08-02,12,20
2014-08-09,14,23
2014-08-16,13,65
2014-08-23,15,50
2014-08-30,18,33
2014-09-06,19,37
2014-09-13,20,32
2014-09-20,20,30
2014-09-27,15,30
2014-10-04,13,31
2014-10-11,12,42
2014-10-18,11,44
2014-10-25,11,79
2014-11-01,12,77
2014-11-08,11,86
2014-11-15,10,66
2014-11-22,14,74
2014-11-29,9,67
2014-12-06,10,73
2014-12-13,10,62
2014-12-20,11,62
2014-12-27,14,76
2015-01-03,14,57
2015-01-10,22,52
2015-01-17,19,56
2015-01-24,14,60
2015-01-31,12,52
2015-02-07,11,73
2015-02-14,11,56
2015-02-21,16,57
2015-02-28,10,48
2015-03-07,11,45
2015-03-14,12,44
2015-03-21,14,48
2015-03-28,13,51
2015-04-04,12,53
2015-04-11,12,40
2015-04-18,10,43
2015-04-25,13,39
2015-05-02,14,42
2015-05-09,14,42
2015-05-16,15,100
2015-05-23,13,59
2015-05-30,13,55
2015-06-06,13,51
2015-06-13,11,49
2015-06-20,10,61
2015-06-27,11,50
2015-07-04,10,49
2015-07-11,11,48
2015-07-18,12,65
2015-07-25,18,46
2015-08-01,11,45
2015-08-08,10,43
2015-08-15,10,42
2015-08-22,10,47
2015-08-29,9,72
2015-09-05,9,47
2015-09-12,8,42
2015-09-19,11,41
2015-09-26,12,42
2015-10-03,9,40
2015-10-10,9,44
2015-10-17,9,41
2015-10-24,8,40
2015-10-31,9,39
2015-11-07,9,33
2015-11-14,9,31
2015-11-21,24,36
2015-11-28,10,33
2015-12-05,9,35
2015-12-12,10,41
2015-12-19,10,39
2015-12-26,12,43
2016-01-02,15,35
2016-01-09,14,30
2016-01-16,14,28
2016-01-23,15,27
2016-01-30,12,27
2016-02-06,10,32
2016-02-13,11,73
2016-02-20,11,36
2016-02-27,10,30
2016-03-05,9,29
2016-03-12,9,30
2016-03-19,9,26
2016-03-26,16,27
2016-04-02,13,34
2016-04-09,10,28
2016-04-16,9,31
2016-04-23,9,26
2016-04-30,9,28
2016-05-07,11,24
2016-05-14,10,22
2016-05-21,10,23
2016-05-28,10,39
2016-06-04,9,30
2016-06-11,9,56
2016-06-18,10,42
2016-06-25,10,43
2016-07-02,10,39
2016-07-09,11,47
2016-07-16,10,99
2016-07-23,14,36
2016-07-30,11,29
2016-08-06,11,26
2016-08-13,9,23
2016-08-20,11,24
2016-08-27,11,28
2016-09-03,9,32
2016-09-10,9,23
