Week,Jennifer Lopez: (Worldwide),Wiz Khalifa: (Worldwide)
2011-09-24,51,24
2011-10-01,46,23
2011-10-08,41,25
2011-10-15,40,24
2011-10-22,45,25
2011-10-29,39,24
2011-11-05,40,24
2011-11-12,39,26
2011-11-19,62,25
2011-11-26,43,25
2011-12-03,37,27
2011-12-10,36,29
2011-12-17,37,29
2011-12-24,45,28
2011-12-31,39,28
2012-01-07,34,27
2012-01-14,36,28
2012-01-21,37,28
2012-01-28,34,24
2012-02-04,33,23
2012-02-11,35,29
2012-02-18,35,28
2012-02-25,86,31
2012-03-03,37,25
2012-03-10,36,33
2012-03-17,31,27
2012-03-24,32,25
2012-03-31,44,25
2012-04-07,50,22
2012-04-14,40,26
2012-04-21,38,31
2012-04-28,44,31
2012-05-05,48,29
2012-05-12,49,26
2012-05-19,51,25
2012-05-26,43,24
2012-06-02,41,28
2012-06-09,41,25
2012-06-16,49,24
2012-06-23,43,25
2012-06-30,37,25
2012-07-07,38,28
2012-07-14,38,28
2012-07-21,41,28
2012-07-28,39,26
2012-08-04,36,26
2012-08-11,37,24
2012-08-18,37,24
2012-08-25,34,23
2012-09-01,34,31
2012-09-08,32,25
2012-09-15,31,24
2012-09-22,31,27
2012-09-29,34,22
2012-10-06,34,22
2012-10-13,32,29
2012-10-20,28,23
2012-10-27,27,21
2012-11-03,25,21
2012-11-10,27,21
2012-11-17,28,21
2012-11-24,24,23
2012-12-01,23,35
2012-12-08,30,28
2012-12-15,23,23
2012-12-22,28,24
2012-12-29,27,23
2013-01-05,22,23
2013-01-12,31,20
2013-01-19,28,18
2013-01-26,24,19
2013-02-02,23,20
2013-02-09,30,24
2013-02-16,21,24
2013-02-23,22,20
2013-03-02,20,18
2013-03-09,19,17
2013-03-16,18,18
2013-03-23,19,18
2013-03-30,18,17
2013-04-06,17,18
2013-04-13,17,19
2013-04-20,18,20
2013-04-27,20,19
2013-05-04,24,18
2013-05-11,25,17
2013-05-18,31,18
2013-05-25,37,21
2013-06-01,27,20
2013-06-08,25,20
2013-06-15,25,18
2013-06-22,23,18
2013-06-29,24,19
