Category: All categories

Week,Sia: (Worldwide),Wiz Khalifa: (Worldwide)
2011-09-24,12,18
2011-10-01,12,17
2011-10-08,12,18
2011-10-15,11,18
2011-10-22,11,18
2011-10-29,12,17
2011-11-05,12,18
2011-11-12,12,19
2011-11-19,13,18
2011-11-26,13,18
2011-12-03,13,19
2011-12-10,13,21
2011-12-17,13,21
2011-12-24,12,20
2011-12-31,14,20
2012-01-07,14,20
2012-01-14,16,20
2012-01-21,17,21
2012-01-28,18,17
2012-02-04,19,17
2012-02-11,20,21
2012-02-18,20,20
2012-02-25,19,22
2012-03-03,19,18
2012-03-10,18,24
2012-03-17,18,19
2012-03-24,18,18
2012-03-31,18,18
2012-04-07,18,16
2012-04-14,18,19
2012-04-21,17,22
2012-04-28,15,23
2012-05-05,16,21
2012-05-12,16,19
2012-05-19,15,18
2012-05-26,15,18
2012-06-02,15,20
2012-06-09,15,18
2012-06-16,15,18
2012-06-23,15,18
2012-06-30,15,18
2012-07-07,15,20
2012-07-14,15,20
2012-07-21,15,21
2012-07-28,15,19
2012-08-04,14,19
2012-08-11,14,18
2012-08-18,13,17
2012-08-25,14,17
2012-09-01,15,23
2012-09-08,14,18
2012-09-15,14,17
2012-09-22,15,19
2012-09-29,16,16
2012-10-06,15,16
2012-10-13,15,21
2012-10-20,15,17
2012-10-27,14,15
2012-11-03,14,15
2012-11-10,14,15
2012-11-17,14,15
2012-11-24,14,17
2012-12-01,14,25
2012-12-08,13,20
2012-12-15,12,17
2012-12-22,11,18
2012-12-29,12,16
2013-01-05,12,16
2013-01-12,13,14
2013-01-19,14,13
2013-01-26,14,14
2013-02-02,14,14
2013-02-09,13,17
2013-02-16,12,18
2013-02-23,12,15
2013-03-02,12,13
2013-03-09,11,12
2013-03-16,11,13
2013-03-23,11,13
2013-03-30,10,13
2013-04-06,11,13
2013-04-13,11,14
2013-04-20,11,14
2013-04-27,10,14
2013-05-04,10,13
2013-05-11,11,12
2013-05-18,11,13
2013-05-25,11,16
2013-06-01,11,15
2013-06-08,11,15
2013-06-15,11,13
2013-06-22,11,13
2013-06-29,11,13
2013-07-06,11,14
2013-07-13,11,13
2013-07-20,11,13
2013-07-27,13,13
2013-08-03,11,12
2013-08-10,11,11
2013-08-17,11,13
2013-08-24,10,13
2013-08-31,10,11
2013-09-07,10,11
2013-09-14,10,10
2013-09-21,10,12
2013-09-28,11,12
2013-10-05,11,11
2013-10-12,10,11
2013-10-19,10,11
2013-10-26,10,10
2013-11-02,11,10
2013-11-09,11,10
2013-11-16,11,10
2013-11-23,11,10
2013-11-30,11,10
2013-12-07,11,11
2013-12-14,10,11
2013-12-21,8,12
2013-12-28,9,11
2014-01-04,10,10
2014-01-11,11,10
2014-01-18,11,10
2014-01-25,11,12
2014-02-01,11,10
2014-02-08,11,11
2014-02-15,12,10
2014-02-22,11,11
2014-03-01,10,10
2014-03-08,11,10
2014-03-15,12,10
2014-03-22,11,10
2014-03-29,11,11
2014-04-05,12,11
2014-04-12,11,11
2014-04-19,12,12
2014-04-26,11,12
2014-05-03,16,11
2014-05-10,19,11
2014-05-17,29,13
2014-05-24,23,21
2014-05-31,25,15
2014-06-07,26,12
2014-06-14,31,12
2014-06-21,30,12
2014-06-28,34,12
2014-07-05,38,12
2014-07-12,36,12
2014-07-19,37,14
2014-07-26,38,14
2014-08-02,36,17
2014-08-09,36,17
2014-08-16,39,20
2014-08-23,40,19
2014-08-30,34,15
2014-09-06,32,14
2014-09-13,31,12
2014-09-20,33,23
2014-09-27,34,18
2014-10-04,32,15
2014-10-11,32,16
2014-10-18,31,13
2014-10-25,41,12
2014-11-01,40,11
2014-11-08,35,11
2014-11-15,30,11
2014-11-22,38,10
2014-11-29,34,14
2014-12-06,34,11
2014-12-13,31,13
2014-12-20,29,13
2014-12-27,29,11
2015-01-03,53,12
2015-01-10,52,12
2015-01-17,55,14
2015-01-24,48,11
2015-01-31,48,10
2015-02-07,100,11
2015-02-14,55,14
2015-02-21,51,11
2015-02-28,37,11
2015-03-07,34,12
2015-03-14,32,11
2015-03-21,40,11
2015-03-28,42,15
2015-04-04,48,36
2015-04-11,34,33
2015-04-18,35,29
2015-04-25,33,27
2015-05-02,31,26
2015-05-09,31,22
2015-05-16,31,23
2015-05-23,28,19
2015-05-30,28,19
2015-06-06,26,18
2015-06-13,27,17
2015-06-20,27,17
2015-06-27,27,17
2015-07-04,25,16
2015-07-11,23,15
2015-07-18,26,15
2015-07-25,24,14
2015-08-01,23,13
2015-08-08,23,13
2015-08-15,23,13
2015-08-22,22,16
2015-08-29,21,12
2015-09-05,21,13
2015-09-12,21,11
2015-09-19,24,11
2015-09-26,24,11
2015-10-03,23,12
2015-10-10,22,11
2015-10-17,22,11
2015-10-24,24,11
2015-10-31,26,10
2015-11-07,37,10
2015-11-14,24,9
2015-11-21,25,9
2015-11-28,46,9
2015-12-05,41,10
2015-12-12,30,11
2015-12-19,25,10
2015-12-26,25,11
2016-01-02,25,10
2016-01-09,25,10
2016-01-16,25,10
2016-01-23,39,27
2016-01-30,39,19
2016-02-06,29,12
2016-02-13,71,10
2016-02-20,44,9
2016-02-27,31,9
2016-03-05,30,8
2016-03-12,31,9
2016-03-19,53,9
2016-03-26,44,9
2016-04-02,40,9
2016-04-09,39,9
2016-04-16,43,9
2016-04-23,39,9
2016-04-30,37,12
2016-05-07,37,8
2016-05-14,46,8
2016-05-21,45,9
2016-05-28,40,8
2016-06-04,38,9
2016-06-11,38,8
2016-06-18,46,9
2016-06-25,44,9
2016-07-02,37,8
2016-07-09,36,8
2016-07-16,48,9
2016-07-23,47,9
2016-07-30,42,10
2016-08-06,38,9
2016-08-13,37,8
2016-08-20,35,8
2016-08-27,34,7
2016-09-03,54,8
2016-09-10,44,7
