Week,Sia: (Worldwide),Shakira: (Worldwide)
2011-09-24,9,35
2011-10-01,9,37
2011-10-08,8,30
2011-10-15,8,27
2011-10-22,8,26
2011-10-29,9,27
2011-11-05,8,31
2011-11-12,9,28
2011-11-19,9,26
2011-11-26,9,25
2011-12-03,9,30
2011-12-10,9,30
2011-12-17,9,29
2011-12-24,9,31
2011-12-31,10,28
2012-01-07,10,29
2012-01-14,11,27
2012-01-21,12,34
2012-01-28,13,33
2012-02-04,13,24
2012-02-11,14,27
2012-02-18,14,23
2012-02-25,14,21
2012-03-03,13,22
2012-03-10,13,21
2012-03-17,13,20
2012-03-24,13,20
2012-03-31,13,20
2012-04-07,13,19
2012-04-14,13,26
2012-04-21,12,20
2012-04-28,11,22
2012-05-05,11,21
2012-05-12,11,22
2012-05-19,11,21
2012-05-26,11,20
2012-06-02,11,22
2012-06-09,11,26
2012-06-16,11,29
2012-06-23,11,28
2012-06-30,11,29
2012-07-07,11,22
2012-07-14,11,22
2012-07-21,11,22
2012-07-28,10,24
2012-08-04,10,24
2012-08-11,10,33
2012-08-18,9,23
2012-08-25,10,26
2012-09-01,10,29
2012-09-08,10,24
2012-09-15,10,34
2012-09-22,10,22
2012-09-29,11,23
2012-10-06,10,21
2012-10-13,11,21
2012-10-20,10,18
2012-10-27,10,17
2012-11-03,10,17
2012-11-10,10,16
2012-11-17,10,16
2012-11-24,10,18
2012-12-01,10,16
2012-12-08,10,17
2012-12-15,9,16
2012-12-22,8,22
2012-12-29,9,19
2013-01-05,9,15
2013-01-12,9,25
2013-01-19,10,49
2013-01-26,10,23
2013-02-02,10,23
2013-02-09,9,18
2013-02-16,8,16
2013-02-23,8,16
2013-03-02,8,15
2013-03-09,8,16
2013-03-16,8,15
2013-03-23,8,26
2013-03-30,7,26
2013-04-06,8,24
2013-04-13,8,21
2013-04-20,8,20
2013-04-27,7,21
2013-05-04,7,20
2013-05-11,8,19
2013-05-18,8,17
2013-05-25,8,17
2013-06-01,8,16
2013-06-08,8,16
2013-06-15,8,17
2013-06-22,8,20
2013-06-29,8,21
2013-07-06,8,15
2013-07-13,8,14
2013-07-20,8,14
2013-07-27,9,15
2013-08-03,8,13
2013-08-10,8,14
2013-08-17,8,14
2013-08-24,7,13
2013-08-31,7,12
2013-09-07,7,12
2013-09-14,7,13
2013-09-21,7,12
2013-09-28,8,12
2013-10-05,7,12
