Week,Meghan Trainor: (Worldwide),Shakira: (Worldwide)
2011-09-24,0,35
2011-10-01,0,37
2011-10-08,0,30
2011-10-15,0,27
2011-10-22,0,26
2011-10-29,0,27
2011-11-05,0,31
2011-11-12,0,28
2011-11-19,0,26
2011-11-26,0,25
2011-12-03,0,30
2011-12-10,0,30
2011-12-17,0,29
2011-12-24,0,31
2011-12-31,0,28
2012-01-07,0,29
2012-01-14,0,27
2012-01-21,0,34
2012-01-28,0,33
2012-02-04,0,24
2012-02-11,0,27
2012-02-18,0,23
2012-02-25,0,21
2012-03-03,0,22
2012-03-10,0,21
2012-03-17,0,20
2012-03-24,0,20
2012-03-31,0,20
2012-04-07,0,19
2012-04-14,0,26
2012-04-21,0,20
2012-04-28,0,22
2012-05-05,0,21
2012-05-12,0,22
2012-05-19,0,21
2012-05-26,0,20
2012-06-02,0,22
2012-06-09,0,26
2012-06-16,0,29
2012-06-23,0,28
2012-06-30,0,29
2012-07-07,0,22
2012-07-14,0,22
2012-07-21,0,22
2012-07-28,0,24
2012-08-04,0,24
2012-08-11,0,33
2012-08-18,0,23
2012-08-25,0,26
2012-09-01,0,29
2012-09-08,0,24
2012-09-15,0,34
2012-09-22,0,22
2012-09-29,0,23
2012-10-06,0,21
2012-10-13,0,21
2012-10-20,0,18
2012-10-27,0,17
2012-11-03,0,17
2012-11-10,0,16
2012-11-17,0,16
2012-11-24,0,18
2012-12-01,0,16
2012-12-08,0,17
2012-12-15,0,16
2012-12-22,0,22
2012-12-29,0,19
2013-01-05,0,15
2013-01-12,0,25
2013-01-19,0,49
2013-01-26,0,23
2013-02-02,0,23
2013-02-09,0,18
2013-02-16,0,16
2013-02-23,0,16
2013-03-02,0,15
2013-03-09,0,16
2013-03-16,0,15
2013-03-23,0,26
2013-03-30,0,26
2013-04-06,0,24
2013-04-13,0,21
2013-04-20,0,20
2013-04-27,0,21
2013-05-04,0,20
2013-05-11,0,19
2013-05-18,0,17
2013-05-25,0,17
2013-06-01,0,16
2013-06-08,0,16
2013-06-15,0,17
2013-06-22,0,20
2013-06-29,0,21
2013-07-06,0,15
2013-07-13,0,14
2013-07-20,0,14
2013-07-27,0,15
2013-08-03,0,13
2013-08-10,0,14
2013-08-17,0,14
2013-08-24,0,13
2013-08-31,0,12
2013-09-07,0,12
2013-09-14,0,13
2013-09-21,0,12
2013-09-28,0,12
2013-10-05,0,12
2013-10-12,0,12
2013-10-19,0,12
2013-10-26,0,12
2013-11-02,0,13
2013-11-09,0,13
2013-11-16,0,13
2013-11-23,0,13
2013-11-30,0,14
2013-12-07,0,13
2013-12-14,0,12
2013-12-21,0,15
2013-12-28,0,14
2014-01-04,0,15
2014-01-11,0,24
2014-01-18,0,20
2014-01-25,0,37
2014-02-01,0,49
2014-02-08,0,31
2014-02-15,0,28
2014-02-22,0,32
2014-03-01,0,29
2014-03-08,0,30
2014-03-15,0,32
2014-03-22,0,49
2014-03-29,0,36
2014-04-05,0,32
2014-04-12,0,29
2014-04-19,0,29
2014-04-26,0,31
2014-05-03,0,32
2014-05-10,0,28
2014-05-17,0,43
2014-05-24,0,45
2014-05-31,0,41
2014-06-07,0,62
2014-06-14,0,60
2014-06-21,0,45
2014-06-28,0,46
2014-07-05,1,44
2014-07-12,1,100
2014-07-19,2,41
2014-07-26,3,36
2014-08-02,4,29
2014-08-09,5,26
2014-08-16,6,28
2014-08-23,7,27
2014-08-30,9,23
2014-09-06,12,22
2014-09-13,12,19
2014-09-20,11,19
2014-09-27,11,18
2014-10-04,11,17
2014-10-11,11,17
2014-10-18,11,18
2014-10-25,10,17
2014-11-01,13,16
2014-11-08,11,15
2014-11-15,11,15
2014-11-22,13,14
2014-11-29,12,14
2014-12-06,12,15
2014-12-13,13,15
2014-12-20,12,16
2014-12-27,15,17
2015-01-03,11,15
2015-01-10,12,14
2015-01-17,13,17
2015-01-24,11,24
2015-01-31,10,22
2015-02-07,10,18
2015-02-14,9,16
2015-02-21,9,16
2015-02-28,8,15
2015-03-07,9,15
2015-03-14,10,15
2015-03-21,8,15
2015-03-28,8,15
2015-04-04,7,14
2015-04-11,7,15
2015-04-18,7,15
2015-04-25,8,16
2015-05-02,7,15
2015-05-09,7,15
2015-05-16,10,15
2015-05-23,7,15
2015-05-30,6,17
2015-06-06,6,16
2015-06-13,5,14
2015-06-20,5,13
2015-06-27,6,14
2015-07-04,6,13
2015-07-11,6,13
2015-07-18,6,14
2015-07-25,6,13
2015-08-01,6,13
2015-08-08,7,15
2015-08-15,6,13
2015-08-22,5,12
2015-08-29,5,11
2015-09-05,5,12
2015-09-12,5,11
2015-09-19,5,12
2015-09-26,5,12
2015-10-03,5,11
2015-10-10,5,11
2015-10-17,7,11
2015-10-24,7,10
2015-10-31,6,11
2015-11-07,5,11
2015-11-14,5,13
2015-11-21,19,11
2015-11-28,6,10
2015-12-05,5,10
2015-12-12,5,11
2015-12-19,6,12
2015-12-26,6,13
2016-01-02,6,12
2016-01-09,5,12
2016-01-16,5,11
2016-01-23,5,12
2016-01-30,4,14
2016-02-06,4,11
2016-02-13,8,11
2016-02-20,4,12
2016-02-27,5,12
2016-03-05,7,12
2016-03-12,7,13
2016-03-19,11,12
2016-03-26,11,13
2016-04-02,12,12
2016-04-09,11,13
2016-04-16,11,12
2016-04-23,11,11
2016-04-30,10,11
2016-05-07,19,11
2016-05-14,14,12
2016-05-21,12,13
2016-05-28,9,12
2016-06-04,9,12
2016-06-11,8,15
2016-06-18,8,14
2016-06-25,8,15
2016-07-02,8,15
2016-07-09,7,16
2016-07-16,7,15
2016-07-23,7,15
2016-07-30,7,15
2016-08-06,7,14
2016-08-13,6,14
2016-08-20,6,14
2016-08-27,6,13
2016-09-03,5,13
2016-09-10,5,14
