Category: All categories

Week,Meghan Trainor: (Worldwide),Pitbull: (Worldwide)
2011-09-24,0,86
2011-10-01,0,87
2011-10-08,0,83
2011-10-15,0,80
2011-10-22,0,82
2011-10-29,0,83
2011-11-05,0,79
2011-11-12,0,76
2011-11-19,0,91
2011-11-26,0,79
2011-12-03,0,78
2011-12-10,0,79
2011-12-17,0,85
2011-12-24,0,91
2011-12-31,0,89
2012-01-07,0,76
2012-01-14,0,76
2012-01-21,0,77
2012-01-28,0,72
2012-02-04,0,74
2012-02-11,0,72
2012-02-18,0,73
2012-02-25,0,72
2012-03-03,0,68
2012-03-10,0,69
2012-03-17,0,68
2012-03-24,0,68
2012-03-31,0,72
2012-04-07,0,71
2012-04-14,0,68
2012-04-21,0,74
2012-04-28,0,73
2012-05-05,0,69
2012-05-12,0,72
2012-05-19,0,78
2012-05-26,0,76
2012-06-02,0,73
2012-06-09,0,70
2012-06-16,0,68
2012-06-23,0,71
2012-06-30,0,69
2012-07-07,0,65
2012-07-14,0,65
2012-07-21,0,62
2012-07-28,0,63
2012-08-04,0,60
2012-08-11,0,61
2012-08-18,0,60
2012-08-25,0,56
2012-09-01,0,54
2012-09-08,0,50
2012-09-15,0,49
2012-09-22,0,51
2012-09-29,0,47
2012-10-06,0,45
2012-10-13,0,46
2012-10-20,0,47
2012-10-27,0,43
2012-11-03,0,41
2012-11-10,0,45
2012-11-17,0,53
2012-11-24,0,44
2012-12-01,0,44
2012-12-08,0,43
2012-12-15,0,45
2012-12-22,0,49
2012-12-29,0,61
2013-01-05,0,44
2013-01-12,0,45
2013-01-19,0,45
2013-01-26,0,45
2013-02-02,0,45
2013-02-09,0,44
2013-02-16,0,45
2013-02-23,0,45
2013-03-02,0,41
2013-03-09,0,42
2013-03-16,0,44
2013-03-23,0,51
2013-03-30,0,56
2013-04-06,0,48
2013-04-13,0,48
2013-04-20,0,47
2013-04-27,0,47
2013-05-04,0,47
2013-05-11,0,46
2013-05-18,0,56
2013-05-25,0,50
2013-06-01,0,47
2013-06-08,0,45
2013-06-15,0,49
2013-06-22,0,46
2013-06-29,0,45
2013-07-06,0,46
2013-07-13,0,50
2013-07-20,0,47
2013-07-27,0,47
2013-08-03,0,47
2013-08-10,0,43
2013-08-17,0,42
2013-08-24,0,41
2013-08-31,0,39
2013-09-07,0,36
2013-09-14,0,35
2013-09-21,0,36
2013-09-28,0,35
2013-10-05,0,37
2013-10-12,0,38
2013-10-19,0,37
2013-10-26,0,37
2013-11-02,0,37
2013-11-09,0,38
2013-11-16,0,39
2013-11-23,0,52
2013-11-30,0,42
2013-12-07,0,44
2013-12-14,0,45
2013-12-21,0,52
2013-12-28,0,55
2014-01-04,0,46
2014-01-11,0,46
2014-01-18,0,48
2014-01-25,0,48
2014-02-01,0,46
2014-02-08,0,43
2014-02-15,0,41
2014-02-22,0,40
2014-03-01,0,40
2014-03-08,0,43
2014-03-15,0,42
2014-03-22,0,41
2014-03-29,0,44
2014-04-05,0,46
2014-04-12,0,43
2014-04-19,0,44
2014-04-26,0,43
2014-05-03,0,44
2014-05-10,0,44
2014-05-17,0,55
2014-05-24,0,52
2014-05-31,0,52
2014-06-07,0,100
2014-06-14,0,75
2014-06-21,1,58
2014-06-28,1,52
2014-07-05,2,48
2014-07-12,3,49
2014-07-19,4,43
2014-07-26,7,43
2014-08-02,10,42
2014-08-09,11,39
2014-08-16,15,39
2014-08-23,16,38
2014-08-30,22,37
2014-09-06,29,38
2014-09-13,28,37
