Category: All categories

Week,Drake: (Worldwide),Pitbull: (Worldwide)
2011-09-24,27,28
2011-10-01,30,28
2011-10-08,31,27
2011-10-15,37,26
2011-10-22,38,26
2011-10-29,38,27
2011-11-05,75,25
2011-11-12,73,24
2011-11-19,54,29
2011-11-26,50,25
2011-12-03,45,25
2011-12-10,49,25
2011-12-17,48,27
2011-12-24,48,29
2011-12-31,43,29
2012-01-07,49,24
2012-01-14,41,25
2012-01-21,39,25
2012-01-28,37,23
2012-02-04,34,24
2012-02-11,34,23
2012-02-18,33,23
2012-02-25,32,23
2012-03-03,29,22
2012-03-10,29,22
2012-03-17,32,22
2012-03-24,33,22
2012-03-31,34,23
2012-04-07,35,23
2012-04-14,30,22
2012-04-21,30,24
2012-04-28,30,23
2012-05-05,30,22
2012-05-12,28,23
2012-05-19,27,25
2012-05-26,27,25
2012-06-02,28,23
2012-06-09,61,22
2012-06-16,43,22
2012-06-23,32,23
2012-06-30,32,22
2012-07-07,27,21
2012-07-14,26,21
2012-07-21,27,20
2012-07-28,27,20
2012-08-04,29,19
2012-08-11,25,20
2012-08-18,24,19
2012-08-25,22,18
2012-09-01,25,17
2012-09-08,26,16
2012-09-15,23,16
2012-09-22,22,16
2012-09-29,21,15
2012-10-06,20,15
2012-10-13,21,15
2012-10-20,21,15
2012-10-27,19,14
2012-11-03,19,13
2012-11-10,19,15
2012-11-17,20,17
2012-11-24,20,14
2012-12-01,19,14
2012-12-08,19,14
2012-12-15,18,14
2012-12-22,20,16
2012-12-29,21,20
2013-01-05,18,14
2013-01-12,18,14
2013-01-19,18,14
2013-01-26,20,14
2013-02-02,22,14
2013-02-09,28,14
2013-02-16,26,14
2013-02-23,24,15
2013-03-02,26,13
2013-03-09,23,14
2013-03-16,23,14
2013-03-23,23,16
2013-03-30,22,18
2013-04-06,22,16
2013-04-13,29,15
2013-04-20,26,15
2013-04-27,23,15
2013-05-04,22,15
2013-05-11,20,15
2013-05-18,29,18
2013-05-25,21,16
2013-06-01,19,15
2013-06-08,19,15
2013-06-15,25,16
2013-06-22,28,15
2013-06-29,25,15
2013-07-06,24,15
2013-07-13,22,16
2013-07-20,23,15
2013-07-27,26,15
2013-08-03,30,15
2013-08-10,27,14
2013-08-17,26,14
2013-08-24,34,13
2013-08-31,28,13
2013-09-07,31,12
2013-09-14,66,11
2013-09-21,57,12
2013-09-28,44,11
2013-10-05,38,12
2013-10-12,37,12
2013-10-19,34,12
2013-10-26,36,12
2013-11-02,32,12
2013-11-09,35,12
2013-11-16,31,13
2013-11-23,29,17
2013-11-30,30,13
2013-12-07,29,14
2013-12-14,30,15
2013-12-21,30,17
2013-12-28,32,18
2014-01-04,27,15
2014-01-11,29,15
2014-01-18,35,15
2014-01-25,31,15
2014-02-01,24,15
2014-02-08,26,14
2014-02-15,26,13
2014-02-22,27,13
2014-03-01,26,13
2014-03-08,25,14
2014-03-15,27,14
2014-03-22,27,13
2014-03-29,30,14
2014-04-05,28,15
2014-04-12,27,14
2014-04-19,26,14
2014-04-26,25,14
2014-05-03,25,14
2014-05-10,23,14
2014-05-17,22,18
2014-05-24,20,17
