Week,Eminem: (Worldwide),Rihanna: (Worldwide)
2011-09-24,31,65
2011-10-01,31,54
2011-10-08,32,59
2011-10-15,34,66
2011-10-22,29,65
2011-10-29,29,66
2011-11-05,29,72
2011-11-12,27,71
2011-11-19,27,78
2011-11-26,30,65
2011-12-03,29,61
2011-12-10,27,57
2011-12-17,26,60
2011-12-24,27,66
2011-12-31,25,57
2012-01-07,25,53
2012-01-14,25,54
2012-01-21,24,53
2012-01-28,23,45
2012-02-04,24,45
2012-02-11,23,60
2012-02-18,22,68
2012-02-25,22,47
2012-03-03,21,47
2012-03-10,22,50
2012-03-17,22,44
2012-03-24,21,45
2012-03-31,21,44
2012-04-07,21,45
2012-04-14,21,49
2012-04-21,20,44
2012-04-28,23,50
2012-05-05,21,51
2012-05-12,21,52
2012-05-19,21,47
2012-05-26,21,45
2012-06-02,21,43
2012-06-09,20,50
2012-06-16,21,44
2012-06-23,20,44
2012-06-30,21,41
2012-07-07,21,39
2012-07-14,20,37
2012-07-21,20,38
2012-07-28,20,34
2012-08-04,20,33
2012-08-11,21,37
2012-08-18,22,43
2012-08-25,20,44
2012-09-01,20,46
2012-09-08,21,50
2012-09-15,20,35
2012-09-22,19,45
2012-09-29,19,47
2012-10-06,18,46
2012-10-13,25,45
2012-10-20,19,45
2012-10-27,19,43
2012-11-03,18,53
2012-11-10,18,75
2012-11-17,18,78
2012-11-24,22,73
2012-12-01,21,66
2012-12-08,22,67
2012-12-15,20,63
2012-12-22,21,76
2012-12-29,21,71
2013-01-05,20,58
2013-01-12,20,57
2013-01-19,20,54
2013-01-26,21,55
2013-02-02,20,57
2013-02-09,20,98
2013-02-16,19,82
2013-02-23,18,68
2013-03-02,18,67
2013-03-09,18,65
2013-03-16,19,59
2013-03-23,19,59
2013-03-30,18,55
2013-04-06,18,54
2013-04-13,18,51
2013-04-20,18,52
2013-04-27,18,51
2013-05-04,20,53
2013-05-11,33,47
2013-05-18,20,47
2013-05-25,19,52
2013-06-01,19,48
2013-06-08,18,47
2013-06-15,20,46
2013-06-22,20,44
2013-06-29,22,45
2013-07-06,20,46
2013-07-13,19,43
2013-07-20,19,42
2013-07-27,20,37
2013-08-03,20,42
2013-08-10,29,36
2013-08-17,39,35
2013-08-24,46,39
2013-08-31,30,33
2013-09-07,42,33
2013-09-14,28,32
2013-09-21,26,39
2013-09-28,25,49
2013-10-05,32,43
2013-10-12,47,39
2013-10-19,35,37
2013-10-26,55,42
2013-11-02,73,37
2013-11-09,65,40
2013-11-16,51,45
2013-11-23,45,47
2013-11-30,40,37
2013-12-07,38,35
2013-12-14,42,38
2013-12-21,41,42
2013-12-28,37,39
2014-01-04,32,37
2014-01-11,31,44
2014-01-18,30,46
2014-01-25,31,49
2014-02-01,27,48
2014-02-08,27,37
2014-02-15,30,42
2014-02-22,28,45
2014-03-01,26,42
2014-03-08,25,36
2014-03-15,27,37
2014-03-22,26,34
2014-03-29,24,32
2014-04-05,25,41
2014-04-12,27,36
2014-04-19,23,33
