Week,Drake: (Worldwide),Ed Sheeran: (Worldwide)
2011-09-24,27,4
2011-10-01,30,4
2011-10-08,31,5
2011-10-15,37,6
2011-10-22,38,6
2011-10-29,38,6
2011-11-05,75,6
2011-11-12,73,7
2011-11-19,54,6
2011-11-26,50,6
2011-12-03,45,6
2011-12-10,49,5
2011-12-17,48,4
2011-12-24,48,4
2011-12-31,43,5
2012-01-07,49,5
2012-01-14,41,5
2012-01-21,39,8
2012-01-28,37,6
2012-02-04,34,7
2012-02-11,34,7
2012-02-18,33,10
2012-02-25,32,8
2012-03-03,29,6
2012-03-10,29,6
2012-03-17,32,6
2012-03-24,33,6
2012-03-31,34,6
2012-04-07,35,5
2012-04-14,30,6
2012-04-21,30,6
2012-04-28,30,6
2012-05-05,30,6
2012-05-12,28,6
2012-05-19,27,5
2012-05-26,27,6
2012-06-02,28,8
2012-06-09,61,7
2012-06-16,43,7
2012-06-23,32,6
2012-06-30,32,6
2012-07-07,27,6
2012-07-14,26,5
2012-07-21,27,5
2012-07-28,27,6
2012-08-04,29,6
2012-08-11,25,10
2012-08-18,24,6
2012-08-25,22,6
2012-09-01,25,6
2012-09-08,26,6
2012-09-15,23,7
2012-09-22,22,7
2012-09-29,21,6
2012-10-06,20,6
2012-10-13,21,7
2012-10-20,21,7
2012-10-27,19,8
2012-11-03,19,7
2012-11-10,19,10
2012-11-17,20,8
2012-11-24,20,8
2012-12-01,19,10
2012-12-08,19,9
2012-12-15,18,8
2012-12-22,20,9
2012-12-29,21,10
2013-01-05,18,9
2013-01-12,18,9
2013-01-19,18,9
2013-01-26,20,9
2013-02-02,22,8
2013-02-09,28,12
2013-02-16,26,9
2013-02-23,24,9
2013-03-02,26,9
2013-03-09,23,8
2013-03-16,23,7
2013-03-23,23,7
2013-03-30,22,7
2013-04-06,22,7
2013-04-13,29,6
2013-04-20,26,6
2013-04-27,23,6
2013-05-04,22,6
2013-05-11,20,6
2013-05-18,29,7
2013-05-25,21,6
2013-06-01,19,8
2013-06-08,19,9
2013-06-15,25,9
2013-06-22,28,7
2013-06-29,25,7
2013-07-06,24,7
2013-07-13,22,6
2013-07-20,23,5
2013-07-27,26,6
2013-08-03,30,5
2013-08-10,27,5
2013-08-17,26,5
2013-08-24,34,7
2013-08-31,28,5
2013-09-07,31,5
2013-09-14,66,5
2013-09-21,57,5
2013-09-28,44,4
2013-10-05,38,5
2013-10-12,37,7
2013-10-19,34,5
