Category: All categories

Week,Avicii: (Worldwide),Ed Sheeran: (Worldwide)
2011-09-24,12,12
2011-10-01,12,12
2011-10-08,11,13
2011-10-15,12,17
2011-10-22,13,18
2011-10-29,15,18
2011-11-05,13,17
2011-11-12,15,20
2011-11-19,16,17
2011-11-26,19,16
2011-12-03,20,16
2011-12-10,21,14
2011-12-17,20,12
2011-12-24,22,13
2011-12-31,22,13
2012-01-07,22,15
2012-01-14,23,15
2012-01-21,21,23
2012-01-28,20,17
2012-02-04,17,19
2012-02-11,16,19
2012-02-18,15,29
2012-02-25,17,22
2012-03-03,16,18
2012-03-10,13,17
2012-03-17,13,16
2012-03-24,18,16
2012-03-31,15,16
2012-04-07,13,15
2012-04-14,13,16
2012-04-21,13,18
2012-04-28,13,18
2012-05-05,11,17
2012-05-12,11,16
2012-05-19,11,15
2012-05-26,13,16
2012-06-02,13,23
2012-06-09,13,21
2012-06-16,11,21
2012-06-23,12,18
2012-06-30,10,18
2012-07-07,10,16
2012-07-14,9,15
2012-07-21,10,15
2012-07-28,11,16
2012-08-04,11,17
2012-08-11,11,29
2012-08-18,10,18
2012-08-25,10,17
2012-09-01,11,18
2012-09-08,11,17
2012-09-15,10,19
2012-09-22,9,19
2012-09-29,8,18
2012-10-06,8,17
2012-10-13,8,19
2012-10-20,7,21
2012-10-27,7,23
2012-11-03,8,21
2012-11-10,7,29
2012-11-17,7,24
2012-11-24,7,24
2012-12-01,7,29
2012-12-08,7,27
2012-12-15,7,24
2012-12-22,9,27
2012-12-29,11,29
2013-01-05,9,25
2013-01-12,10,26
2013-01-19,9,25
2013-01-26,10,25
2013-02-02,10,23
2013-02-09,10,35
2013-02-16,11,27
2013-02-23,11,26
2013-03-02,11,25
2013-03-09,11,22
2013-03-16,11,20
2013-03-23,11,21
2013-03-30,10,19
2013-04-06,9,19
2013-04-13,10,18
2013-04-20,10,16
2013-04-27,9,17
2013-05-04,9,17
2013-05-11,9,16
2013-05-18,8,20
2013-05-25,8,16
2013-06-01,7,22
2013-06-08,8,26
2013-06-15,14,27
2013-06-22,18,21
2013-06-29,24,19
2013-07-06,29,20
2013-07-13,32,16
2013-07-20,37,15
2013-07-27,52,16
2013-08-03,53,15
2013-08-10,54,16
2013-08-17,50,16
2013-08-24,48,19
2013-08-31,48,15
2013-09-07,50,14
2013-09-14,59,13
2013-09-21,51,13
2013-09-28,48,12
2013-10-05,45,14
2013-10-12,46,19
2013-10-19,43,15
2013-10-26,45,15
2013-11-02,43,18
2013-11-09,40,15
2013-11-16,37,13
2013-11-23,40,12
2013-11-30,37,13
2013-12-07,39,14
2013-12-14,39,18
2013-12-21,40,19
2013-12-28,41,20
2014-01-04,35,23
2014-01-11,35,18
2014-01-18,36,18
2014-01-25,35,20
2014-02-01,31,17
2014-02-08,32,18
2014-02-15,33,18
2014-02-22,33,15
2014-03-01,31,14
2014-03-08,29,14
2014-03-15,28,13
2014-03-22,32,14
2014-03-29,32,20
2014-04-05,26,26
2014-04-12,24,31
2014-04-19,23,23
2014-04-26,22,26
2014-05-03,20,26
2014-05-10,20,28
2014-05-17,20,34
2014-05-24,18,33
2014-05-31,17,32
2014-06-07,16,37
2014-06-14,16,46
2014-06-21,20,59
