Week,Avicii: (Worldwide),Psy: (Worldwide)
2011-09-24,6,4
2011-10-01,6,4
2011-10-08,6,4
2011-10-15,6,4
2011-10-22,7,4
2011-10-29,8,4
2011-11-05,7,4
2011-11-12,8,4
2011-11-19,8,4
2011-11-26,10,4
2011-12-03,10,4
2011-12-10,11,4
2011-12-17,10,4
2011-12-24,11,4
2011-12-31,11,4
2012-01-07,11,4
2012-01-14,12,4
2012-01-21,11,4
2012-01-28,10,4
2012-02-04,9,4
2012-02-11,8,4
2012-02-18,8,4
2012-02-25,9,4
2012-03-03,8,4
2012-03-10,7,4
2012-03-17,7,4
2012-03-24,9,4
2012-03-31,8,4
2012-04-07,7,4
2012-04-14,7,4
2012-04-21,7,4
2012-04-28,7,4
2012-05-05,6,4
2012-05-12,6,4
2012-05-19,6,3
2012-05-26,7,4
2012-06-02,7,4
2012-06-09,7,3
2012-06-16,6,3
2012-06-23,6,3
2012-06-30,5,3
2012-07-07,5,4
2012-07-14,5,5
2012-07-21,5,5
2012-07-28,6,7
2012-08-04,6,8
2012-08-11,6,10
2012-08-18,5,15
2012-08-25,5,16
2012-09-01,6,22
2012-09-08,6,33
2012-09-15,5,45
2012-09-22,5,49
2012-09-29,4,50
2012-10-06,4,46
2012-10-13,4,48
2012-10-20,4,46
2012-10-27,4,42
2012-11-03,4,42
2012-11-10,4,46
2012-11-17,4,46
2012-11-24,4,43
2012-12-01,4,40
2012-12-08,3,42
2012-12-15,4,44
2012-12-22,5,46
2012-12-29,6,50
2013-01-05,5,29
2013-01-12,5,26
2013-01-19,5,24
2013-01-26,5,24
2013-02-02,5,26
2013-02-09,5,25
2013-02-16,6,21
2013-02-23,6,23
2013-03-02,6,18
2013-03-09,6,16
2013-03-16,6,15
2013-03-23,6,15
2013-03-30,5,15
2013-04-06,5,32
2013-04-13,5,100
2013-04-20,5,55
2013-04-27,5,47
2013-05-04,4,35
2013-05-11,5,31
2013-05-18,4,30
2013-05-25,4,30
2013-06-01,4,24
2013-06-08,4,22
2013-06-15,7,21
2013-06-22,9,19
2013-06-29,13,18
2013-07-06,15,16
2013-07-13,17,15
2013-07-20,19,14
2013-07-27,27,14
2013-08-03,28,12
2013-08-10,28,12
2013-08-17,26,11
2013-08-24,25,11
2013-08-31,25,10
2013-09-07,26,10
2013-09-14,31,9
2013-09-21,27,9
2013-09-28,25,9
2013-10-05,23,9
2013-10-12,24,9
2013-10-19,22,9
2013-10-26,23,9
2013-11-02,22,8
2013-11-09,20,8
2013-11-16,19,8
2013-11-23,21,8
2013-11-30,19,8
2013-12-07,20,8
2013-12-14,20,8
2013-12-21,21,9
2013-12-28,21,10
2014-01-04,18,8
2014-01-11,18,8
2014-01-18,19,8
2014-01-25,18,7
2014-02-01,16,7
2014-02-08,16,7
2014-02-15,17,7
2014-02-22,17,7
2014-03-01,16,6
2014-03-08,15,6
2014-03-15,15,6
2014-03-22,17,6
2014-03-29,16,6
2014-04-05,14,6
2014-04-12,13,6
2014-04-19,12,6
2014-04-26,12,6
2014-05-03,11,6
2014-05-10,10,6
2014-05-17,11,6
2014-05-24,10,6
2014-05-31,9,7
2014-06-07,8,18
2014-06-14,8,10
2014-06-21,11,8
2014-06-28,8,8
2014-07-05,8,7
2014-07-12,8,7
2014-07-19,9,7
2014-07-26,8,7
2014-08-02,8,7
2014-08-09,7,7
2014-08-16,7,6
2014-08-23,7,6
2014-08-30,6,6
2014-09-06,8,6
2014-09-13,6,6
2014-09-20,6,6
2014-09-27,9,6
