Category: All categories

Week,Ellie Goulding: (Worldwide),Psy: (Worldwide)
2011-09-24,3,4
2011-10-01,3,4
2011-10-08,3,4
2011-10-15,3,4
2011-10-22,3,4
2011-10-29,2,4
2011-11-05,3,4
2011-11-12,3,4
2011-11-19,3,4
2011-11-26,3,4
2011-12-03,3,4
2011-12-10,3,4
2011-12-17,3,4
2011-12-24,3,4
2011-12-31,3,4
2012-01-07,3,4
2012-01-14,3,4
2012-01-21,3,4
2012-01-28,3,4
2012-02-04,3,4
2012-02-11,4,4
2012-02-18,3,4
2012-02-25,3,4
2012-03-03,3,4
2012-03-10,3,4
2012-03-17,3,4
2012-03-24,3,4
2012-03-31,3,4
2012-04-07,4,4
2012-04-14,3,4
2012-04-21,3,4
2012-04-28,3,4
2012-05-05,3,4
2012-05-12,3,4
2012-05-19,4,3
2012-05-26,4,4
2012-06-02,5,4
2012-06-09,5,3
2012-06-16,5,3
2012-06-23,5,3
2012-06-30,5,3
2012-07-07,6,4
2012-07-14,7,5
2012-07-21,6,5
2012-07-28,6,7
2012-08-04,7,8
2012-08-11,7,10
2012-08-18,7,15
2012-08-25,6,16
2012-09-01,7,22
2012-09-08,7,33
2012-09-15,7,45
2012-09-22,8,49
2012-09-29,10,50
2012-10-06,12,46
2012-10-13,11,48
2012-10-20,9,46
2012-10-27,8,42
2012-11-03,7,42
2012-11-10,8,46
2012-11-17,9,46
2012-11-24,7,43
2012-12-01,8,40
2012-12-08,8,42
2012-12-15,8,44
2012-12-22,8,46
2012-12-29,9,50
2013-01-05,7,29
2013-01-12,7,26
2013-01-19,7,24
2013-01-26,7,24
2013-02-02,7,26
2013-02-09,7,25
2013-02-16,7,21
2013-02-23,7,23
2013-03-02,7,18
2013-03-09,7,16
2013-03-16,7,15
2013-03-23,7,15
2013-03-30,6,15
2013-04-06,6,32
2013-04-13,10,100
2013-04-20,8,55
2013-04-27,8,47
2013-05-04,7,35
2013-05-11,6,31
2013-05-18,7,30
2013-05-25,9,30
2013-06-01,7,24
2013-06-08,6,22
2013-06-15,6,21
2013-06-22,6,19
