Week,Ellie Goulding: (Worldwide),Zayn Malik: (Worldwide)
2011-09-24,4,2
2011-10-01,3,3
2011-10-08,3,2
2011-10-15,3,2
2011-10-22,3,2
2011-10-29,3,2
2011-11-05,3,3
2011-11-12,3,4
2011-11-19,4,4
2011-11-26,3,4
2011-12-03,3,4
2011-12-10,3,4
2011-12-17,3,5
2011-12-24,4,7
2011-12-31,4,6
2012-01-07,3,8
2012-01-14,4,8
2012-01-21,4,7
2012-01-28,3,8
2012-02-04,3,7
2012-02-11,5,8
2012-02-18,4,9
2012-02-25,4,13
2012-03-03,4,11
2012-03-10,4,12
2012-03-17,3,12
2012-03-24,3,12
2012-03-31,4,17
2012-04-07,4,23
2012-04-14,4,20
2012-04-21,4,19
2012-04-28,4,17
2012-05-05,4,16
2012-05-12,4,15
2012-05-19,5,18
2012-05-26,5,15
2012-06-02,6,15
2012-06-09,6,15
2012-06-16,6,17
2012-06-23,6,16
2012-06-30,7,16
2012-07-07,8,16
2012-07-14,8,17
2012-07-21,8,17
2012-07-28,8,17
2012-08-04,9,17
2012-08-11,9,20
2012-08-18,8,24
2012-08-25,8,16
2012-09-01,8,16
2012-09-08,9,16
2012-09-15,9,14
2012-09-22,10,16
2012-09-29,12,15
2012-10-06,16,14
2012-10-13,13,14
2012-10-20,11,14
2012-10-27,10,14
2012-11-03,9,16
2012-11-10,10,15
2012-11-17,11,17
2012-11-24,9,15
2012-12-01,10,16
2012-12-08,10,15
2012-12-15,10,15
2012-12-22,10,20
2012-12-29,11,20
2013-01-05,9,26
2013-01-12,9,18
2013-01-19,9,16
2013-01-26,9,22
2013-02-02,9,17
2013-02-09,9,14
2013-02-16,9,15
2013-02-23,8,15
2013-03-02,9,14
2013-03-09,8,14
2013-03-16,8,14
2013-03-23,8,15
2013-03-30,7,15
2013-04-06,7,13
2013-04-13,12,13
2013-04-20,10,12
2013-04-27,10,12
2013-05-04,9,12
2013-05-11,8,12
2013-05-18,8,12
2013-05-25,11,12
2013-06-01,8,11
2013-06-08,7,12
2013-06-15,7,12
2013-06-22,7,13
2013-06-29,9,13
2013-07-06,14,12
2013-07-13,11,13
2013-07-20,11,16
2013-07-27,13,15
2013-08-03,12,14
2013-08-10,13,14
2013-08-17,18,33
2013-08-24,18,19
2013-08-31,15,15
2013-09-07,16,13
2013-09-14,14,12
2013-09-21,14,11
2013-09-28,13,11
2013-10-05,13,10
2013-10-12,17,10
2013-10-19,13,10
2013-10-26,13,10
2013-11-02,12,13
2013-11-09,15,11
2013-11-16,15,11
2013-11-23,15,13
2013-11-30,13,11
2013-12-07,15,12
2013-12-14,15,12
2013-12-21,14,16
2013-12-28,14,17
2014-01-04,14,15
2014-01-11,13,18
2014-01-18,13,11
2014-01-25,13,11
2014-02-01,13,10
2014-02-08,13,10
2014-02-15,15,10
2014-02-22,14,10
2014-03-01,12,10
2014-03-08,12,9
2014-03-15,11,9
2014-03-22,12,8
2014-03-29,12,10
2014-04-05,14,8
2014-04-12,15,9
2014-04-19,12,9
2014-04-26,11,9
2014-05-03,10,9
2014-05-10,8,9
2014-05-17,9,9
2014-05-24,9,14
2014-05-31,8,10
2014-06-07,8,9
2014-06-14,7,9
2014-06-21,8,9
2014-06-28,9,9
2014-07-05,8,10
2014-07-12,8,10
2014-07-19,8,10
2014-07-26,7,11
2014-08-02,8,9
2014-08-09,7,10
2014-08-16,7,9
2014-08-23,6,8
2014-08-30,6,7
2014-09-06,6,7
2014-09-13,6,7
2014-09-20,6,7
2014-09-27,6,7
2014-10-04,5,7
2014-10-11,5,8
2014-10-18,7,7
2014-10-25,6,8
2014-11-01,7,8
2014-11-08,7,10
2014-11-15,8,14
2014-11-22,7,12
2014-11-29,8,10
2014-12-06,9,10
2014-12-13,7,9
2014-12-20,8,12
2014-12-27,9,13
2015-01-03,10,11
2015-01-10,10,15
2015-01-17,13,10
2015-01-24,14,8
2015-01-31,14,8
2015-02-07,15,8
2015-02-14,18,8
2015-02-21,19,8
2015-02-28,18,8
2015-03-07,23,8
2015-03-14,19,23
2015-03-21,17,100
2015-03-28,17,51
2015-04-04,15,20
2015-04-11,13,21
2015-04-18,13,18
2015-04-25,13,15
2015-05-02,12,17
2015-05-09,11,12
2015-05-16,12,11
2015-05-23,11,9
2015-05-30,12,10
2015-06-06,10,14
2015-06-13,9,14
2015-06-20,9,12
2015-06-27,9,10
2015-07-04,9,10
2015-07-11,8,14
2015-07-18,8,11
2015-07-25,8,12
2015-08-01,8,23
2015-08-08,8,15
2015-08-15,7,18
2015-08-22,7,13
2015-08-29,7,12
2015-09-05,8,10
2015-09-12,10,9
2015-09-19,13,9
2015-09-26,12,10
2015-10-03,13,8
2015-10-10,12,8
2015-10-17,11,8
2015-10-24,14,8
2015-10-31,19,8
2015-11-07,18,8
2015-11-14,12,11
2015-11-21,12,13
2015-11-28,11,13
2015-12-05,14,10
2015-12-12,12,12
2015-12-19,11,13
2015-12-26,14,12
2016-01-02,11,14
2016-01-09,10,14
2016-01-16,10,9
2016-01-23,11,30
2016-01-30,10,29
2016-02-06,11,19
2016-02-13,14,20
2016-02-20,9,18
2016-02-27,8,15
2016-03-05,9,16
2016-03-12,8,17
2016-03-19,8,22
2016-03-26,8,19
2016-04-02,7,18
2016-04-09,7,14
2016-04-16,7,13
2016-04-23,6,12
2016-04-30,6,14
2016-05-07,6,15
2016-05-14,6,12
2016-05-21,5,10
2016-05-28,6,11
2016-06-04,11,11
2016-06-11,6,10
2016-06-18,6,9
2016-06-25,6,9
2016-07-02,5,9
2016-07-09,5,9
2016-07-16,5,10
2016-07-23,5,8
2016-07-30,4,8
2016-08-06,4,8
2016-08-13,4,10
2016-08-20,5,7
2016-08-27,5,7
2016-09-03,5,7
2016-09-10,5,7
