Category: All categories

Week,Ludacris: (Worldwide),Zayn Malik: (Worldwide)
2011-09-24,5,2
2011-10-01,5,3
2011-10-08,5,2
2011-10-15,5,2
2011-10-22,5,2
2011-10-29,5,2
2011-11-05,5,3
2011-11-12,10,4
2011-11-19,8,4
2011-11-26,7,4
2011-12-03,6,4
2011-12-10,6,4
2011-12-17,6,5
2011-12-24,6,6
2011-12-31,5,6
2012-01-07,5,8
2012-01-14,5,8
2012-01-21,5,7
2012-01-28,4,8
2012-02-04,4,7
2012-02-11,4,7
2012-02-18,4,9
2012-02-25,4,13
2012-03-03,5,11
2012-03-10,5,12
2012-03-17,6,12
2012-03-24,5,12
2012-03-31,5,17
2012-04-07,5,22
2012-04-14,4,20
2012-04-21,4,19
2012-04-28,8,17
2012-05-05,8,16
2012-05-12,5,15
2012-05-19,5,17
2012-05-26,4,15
2012-06-02,4,15
2012-06-09,4,15
2012-06-16,4,17
2012-06-23,4,16
2012-06-30,4,16
2012-07-07,4,16
2012-07-14,4,17
2012-07-21,4,16
2012-07-28,4,16
2012-08-04,4,17
2012-08-11,4,20
2012-08-18,4,24
2012-08-25,4,16
2012-09-01,4,16
2012-09-08,4,15
2012-09-15,3,14
2012-09-22,4,16
2012-09-29,3,14
2012-10-06,3,14
2012-10-13,3,13
2012-10-20,3,13
2012-10-27,5,14
2012-11-03,5,15
2012-11-10,6,15
2012-11-17,6,16
2012-11-24,6,15
2012-12-01,5,15
2012-12-08,5,15
2012-12-15,5,15
2012-12-22,6,20
2012-12-29,5,19
2013-01-05,5,25
2013-01-12,4,17
2013-01-19,4,16
2013-01-26,4,22
2013-02-02,4,17
2013-02-09,4,14
2013-02-16,4,14
2013-02-23,3,14
2013-03-02,3,14
2013-03-09,3,14
2013-03-16,3,13
2013-03-23,3,14
2013-03-30,3,15
2013-04-06,3,13
2013-04-13,3,13
2013-04-20,3,12
2013-04-27,3,12
2013-05-04,3,12
2013-05-11,3,12
2013-05-18,5,12
2013-05-25,6,12
2013-06-01,4,11
2013-06-08,4,12
2013-06-15,4,12
2013-06-22,3,13
2013-06-29,3,13
2013-07-06,4,12
2013-07-13,4,13
2013-07-20,4,16
2013-07-27,5,15
2013-08-03,3,14
2013-08-10,4,14
2013-08-17,3,32
2013-08-24,3,19
2013-08-31,3,15
2013-09-07,3,13
2013-09-14,3,11
2013-09-21,3,11
2013-09-28,3,10
2013-10-05,3,10
2013-10-12,3,10
2013-10-19,3,10
2013-10-26,2,10
2013-11-02,3,13
2013-11-09,3,11
2013-11-16,3,10
2013-11-23,3,13
2013-11-30,8,11
2013-12-07,4,12
2013-12-14,4,12
2013-12-21,3,15
2013-12-28,5,16
2014-01-04,4,15
2014-01-11,3,18
2014-01-18,3,11
2014-01-25,3,11
2014-02-01,3,10
2014-02-08,3,10
2014-02-15,3,10
2014-02-22,3,10
2014-03-01,3,10
2014-03-08,3,9
2014-03-15,3,9
2014-03-22,3,8
2014-03-29,3,9
2014-04-05,3,8
2014-04-12,3,9
2014-04-19,3,9
2014-04-26,4,9
2014-05-03,3,9
2014-05-10,4,9
2014-05-17,4,9
2014-05-24,3,13
2014-05-31,3,10
2014-06-07,3,9
2014-06-14,3,9
2014-06-21,3,9
2014-06-28,3,9
2014-07-05,3,10
2014-07-12,3,10
2014-07-19,3,10
2014-07-26,3,11
2014-08-02,3,9
2014-08-09,3,10
2014-08-16,3,9
2014-08-23,2,8
2014-08-30,2,7
2014-09-06,2,7
2014-09-13,2,7
2014-09-20,2,7
2014-09-27,2,7
2014-10-04,2,7
2014-10-11,2,7
2014-10-18,2,7
2014-10-25,2,7
2014-11-01,3,7
2014-11-08,2,9
2014-11-15,2,13
2014-11-22,2,12
2014-11-29,2,10
2014-12-06,2,9
2014-12-13,3,9
2014-12-20,4,11
2014-12-27,4,12
2015-01-03,5,11
2015-01-10,3,15
2015-01-17,2,10
2015-01-24,4,8
2015-01-31,3,8
2015-02-07,2,8
2015-02-14,3,8
2015-02-21,2,8
2015-02-28,3,8
2015-03-07,3,8
2015-03-14,3,23
2015-03-21,4,100
2015-03-28,10,51
2015-04-04,9,20
2015-04-11,6,20
2015-04-18,5,18
2015-04-25,4,14
2015-05-02,3,17
2015-05-09,3,11
2015-05-16,4,11
2015-05-23,3,9
2015-05-30,3,10
2015-06-06,2,13
2015-06-13,2,14
2015-06-20,2,11
2015-06-27,2,10
2015-07-04,2,10
2015-07-11,2,14
2015-07-18,2,10
2015-07-25,2,11
2015-08-01,2,22
2015-08-08,2,15
2015-08-15,2,18
2015-08-22,2,13
2015-08-29,2,11
2015-09-05,2,10
2015-09-12,2,9
2015-09-19,2,9
2015-09-26,2,10
2015-10-03,2,8
2015-10-10,2,8
2015-10-17,2,8
2015-10-24,2,8
2015-10-31,2,8
2015-11-07,2,8
2015-11-14,2,11
2015-11-21,2,13
2015-11-28,2,13
2015-12-05,2,10
2015-12-12,2,11
2015-12-19,2,13
2015-12-26,2,12
2016-01-02,2,14
2016-01-09,2,14
2016-01-16,2,9
2016-01-23,2,30
2016-01-30,2,29
2016-02-06,2,19
2016-02-13,2,20
2016-02-20,2,18
2016-02-27,2,15
2016-03-05,2,16
2016-03-12,2,17
2016-03-19,2,21
2016-03-26,2,19
2016-04-02,2,17
2016-04-09,2,14
2016-04-16,2,13
2016-04-23,2,12
2016-04-30,2,13
2016-05-07,2,15
2016-05-14,2,11
2016-05-21,2,10
2016-05-28,2,11
2016-06-04,2,11
2016-06-11,2,10
2016-06-18,2,9
2016-06-25,2,9
2016-07-02,2,9
2016-07-09,2,9
2016-07-16,2,9
2016-07-23,2,8
2016-07-30,2,8
2016-08-06,2,8
2016-08-13,2,9
2016-08-20,2,7
2016-08-27,2,7
2016-09-03,2,7
2016-09-10,2,7
