Category: All categories

Week,Ludacris: (Worldwide),Zendaya: (Worldwide)
2011-09-24,18,9
2011-10-01,18,8
2011-10-08,19,8
2011-10-15,17,7
2011-10-22,17,8
2011-10-29,17,8
2011-11-05,18,10
2011-11-12,36,10
2011-11-19,28,10
2011-11-26,24,8
2011-12-03,21,8
2011-12-10,20,8
2011-12-17,21,12
2011-12-24,21,13
2011-12-31,19,12
2012-01-07,19,12
2012-01-14,16,11
2012-01-21,16,10
2012-01-28,16,9
2012-02-04,14,8
2012-02-11,14,9
2012-02-18,14,10
2012-02-25,14,10
2012-03-03,17,10
2012-03-10,20,12
2012-03-17,20,12
2012-03-24,17,12
2012-03-31,17,13
2012-04-07,16,18
2012-04-14,15,16
2012-04-21,14,14
2012-04-28,27,16
2012-05-05,27,15
2012-05-12,17,15
2012-05-19,17,15
2012-05-26,15,15
2012-06-02,16,15
2012-06-09,15,15
2012-06-16,15,14
2012-06-23,15,14
2012-06-30,14,15
2012-07-07,14,16
2012-07-14,14,17
2012-07-21,15,16
2012-07-28,16,18
2012-08-04,15,18
2012-08-11,15,18
2012-08-18,13,18
2012-08-25,13,16
2012-09-01,14,16
2012-09-08,14,13
2012-09-15,12,12
2012-09-22,14,11
2012-09-29,12,10
2012-10-06,12,9
2012-10-13,12,9
2012-10-20,12,10
2012-10-27,17,10
2012-11-03,17,10
2012-11-10,23,9
2012-11-17,22,12
2012-11-24,20,11
2012-12-01,18,10
2012-12-08,17,10
2012-12-15,18,11
2012-12-22,21,15
2012-12-29,18,15
2013-01-05,17,11
2013-01-12,15,11
2013-01-19,14,12
2013-01-26,14,10
2013-02-02,14,10
2013-02-09,13,9
2013-02-16,13,11
2013-02-23,12,18
2013-03-02,11,14
2013-03-09,11,15
2013-03-16,11,31
2013-03-23,11,31
2013-03-30,12,27
2013-04-06,11,23
2013-04-13,12,23
2013-04-20,12,19
2013-04-27,12,19
2013-05-04,12,22
2013-05-11,12,21
2013-05-18,17,35
2013-05-25,20,15
2013-06-01,16,15
2013-06-08,14,15
2013-06-15,14,13
2013-06-22,12,13
2013-06-29,12,14
2013-07-06,14,16
2013-07-13,13,20
2013-07-20,13,18
2013-07-27,17,17
2013-08-03,12,16
2013-08-10,13,23
2013-08-17,12,30
2013-08-24,11,25
2013-08-31,11,26
2013-09-07,11,22
2013-09-14,11,26
2013-09-21,9,22
2013-09-28,10,20
2013-10-05,10,22
2013-10-12,10,20
2013-10-19,9,17
2013-10-26,9,16
2013-11-02,9,15
2013-11-09,9,16
2013-11-16,9,14
2013-11-23,10,21
2013-11-30,29,16
2013-12-07,13,16
2013-12-14,13,16
2013-12-21,12,19
2013-12-28,16,20
2014-01-04,14,17
2014-01-11,11,16
2014-01-18,10,17
2014-01-25,11,20
2014-02-01,10,16
2014-02-08,11,17
2014-02-15,12,17
2014-02-22,12,15
2014-03-01,11,15
2014-03-08,11,14
2014-03-15,10,14
2014-03-22,11,15
2014-03-29,11,16
2014-04-05,12,14
2014-04-12,12,20
2014-04-19,12,15
2014-04-26,13,21
2014-05-03,12,16
2014-05-10,14,16
2014-05-17,14,16
2014-05-24,11,16
2014-05-31,11,16
2014-06-07,10,15
2014-06-14,10,39
2014-06-21,11,32
2014-06-28,11,38
2014-07-05,11,23
2014-07-12,10,21
2014-07-19,10,24
2014-07-26,10,20
2014-08-02,11,20
2014-08-09,9,26
2014-08-16,9,21
2014-08-23,9,19
2014-08-30,8,22
2014-09-06,8,16
2014-09-13,8,16
2014-09-20,8,19
2014-09-27,8,16
2014-10-04,8,15
2014-10-11,8,14
2014-10-18,7,13
2014-10-25,8,12
2014-11-01,9,12
2014-11-08,9,13
2014-11-15,8,21
2014-11-22,8,18
2014-11-29,8,13
2014-12-06,9,13
2014-12-13,10,11
2014-12-20,13,14
2014-12-27,13,19
2015-01-03,19,15
2015-01-10,10,14
2015-01-17,9,17
